Lower Sorbian	Štokavian	probability
a	a	1.0
b	b	1.0
bʲ	b	1.0
d	d	1.0
i	i	1.0
j	j	1.0
m	m	1.0
n	n	1.0
pʲ	p	1.0
s	s	1.0
v	ʋ	1.0
x	x	1.0
z	z	1.0
ɡ	ɡ	1.0
ʐ	ʒ	1.0
ʑ	d	1.0
ʨ	t	1.0
ˈɨ	î	1.0
rʲ	r	0.791
vʲ	ʋ	0.861
w	l	0.601
ˈa	ê	0.21
ˈu	û	0.1
ˈu	ǔː	0.211
mʲ	m_j	0.292
p	p	0.662
r	r	0.972
ɲ	n	0.692
ʦ	ʨ	0.072
kʲ	k	0.353
ɔ	e	0.143
ˈa	a	0.173
ˈa	â	0.513
ˈe	r̩̂	0.353
ˈi	îː	0.323
ˈɔ	ǒ	0.103
k	ɡ	0.104
ɕ	t_i	0.24
ɛ	e	0.494
ɨ	o	0.914
ˈa	-	0.104
ˈɛ	ǒ	0.444
e	j_e	0.255
k	k	0.855
l	l	0.695
t	d	0.135
t	t	0.865
ɕ	t	0.675
ʂ	ʒ	0.275
ʂ	-	0.725
ˈɔ	ôː	0.235
e	e	0.246
ɕ	-	0.06
ɛ	eː	0.316
ɨ	a	0.086
ˈɔ	ǎː	0.06
ˈɪ	êː	0.136
ˈɪ	ê	0.306
kʲ	a_k	0.647
ɔ	o	0.857
ˈi	î	0.677
ˈɔ	âː	0.167
e	eː	0.498
mʲ	m	0.708
p	b	0.338
ɲ	ɲ	0.308
ˈe	ê	0.178
ˈɔ	â	0.108
ˈɔ	ô	0.188
ˈɛ	ôː	0.168
ˈɛ	ô	0.388
l	l_j	0.079
l	ʎ	0.179
rʲ	r_j	0.209
vʲ	ʋ_j	0.139
w	-	0.399
ɛ	a	0.19
ʦ	ʧ	0.079
ʦ	ʦ	0.849
ˈe	ě	0.469
ˈu	ûː	0.689
ˈɔ	ě	0.139
ˈɪ	ěː	0.169
ˈɪ	j_êː	0.39
