Ligurian	Western Lombard	probability
ˈy_ŋ	ˈỹ	1.0
ˈy	ˈyː	1.0
ˈu_ŋ	ˈũ	1.0
ˈi_ʤ	j_ˈøː	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_ŋ	ˈẽ	1.0
ˈe_j	ˈeː	1.0
ˈaː_r	ˈa_l	1.0
ˈa_ʃ	ˈa_s	1.0
ˈa_ŋ	ˈã	1.0
ʒ_e	s	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɥ	u_d	1.0
ɔː	u	1.0
ŋ	n	1.0
z_u	s	1.0
z_e	ʧ	1.0
z	-	1.0
y	y	1.0
v_j	v_j	1.0
u_ŋ	ũ	1.0
t_ˈe	t_ˈɛ	1.0
t_a	t_a	1.0
sː	s	1.0
s_e	s	1.0
s_a	s_a	1.0
r_s	r_s	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l	l	1.0
k_r	k_r	1.0
k	k	1.0
j_a	r_a	1.0
i_ŋ	ĩ	1.0
f	f	1.0
e	e	1.0
d_u	t	1.0
b	b	1.0
a_ŋ	ã	1.0
r	r	0.962
a	a	0.96
n	n	0.959
v	v	0.943
t	t	0.866
ˈøː	ˈøː	0.832
ɡ	ɡ	0.81
ˈɔ	ˈɔ	0.778
ˈɔː	ˈɔ	0.759
d	d	0.732
ˈi	ˈiː	0.702
s	s	0.685
ˈyː	ˈyː	0.633
ˈa	ˈɑː	0.626
ˈu	ˈu	0.592
ˈuː	ˈuː	0.583
ˈaː	ˈɑː	0.524
ˈɛ	ˈɛ	0.523
r_u	e_r	0.515
ˈø	ˈɔ	0.504
r_u	r	0.485
ˈɛː	ˈɛ	0.484
ˈɛ	-	0.477
i	i	0.468
ˈe	ˈɛ	0.467
j	-	0.437
ʒ	z	0.424
ˈiː	ˈi	0.423
ˈuː	ˈu	0.417
ʧ	p_j	0.416
ˈu	-	0.408
ʒ	-	0.402
ˈiː	ˈiː	0.376
ˈyː	ˈy	0.367
ˈɛː	ˈa	0.326
ˈeː	ˈeː	0.323
i	-	0.318
ʧ	ʃ	0.306
ˈø	-	0.298
ˈi	ˈi	0.298
ˈeː	ˈɛ	0.298
ˈe	ˈeː	0.294
ˈa	ˈa	0.293
ʤ	ʧ	0.293
ʧ	ʧ	0.278
w	w	0.278
ˈaː	ˈa	0.276
d	t	0.268
u	r	0.255
w	-	0.243
j	e	0.243
ˈɔː	ˈoː	0.241
ˈɔ	ˈo	0.222
ˈeː	-	0.221
ʤ	j	0.219
i	e	0.214
ˈiː	-	0.201
w	u_r	0.201
ˈø	ˈœ	0.197
ɡ	d	0.19
ʤ	b_j	0.183
s	ʧ	0.18
ʒ	z_ɡ	0.174
u	-	0.174
ʤ	ʤ	0.172
ˈøː	-	0.168
j	a	0.161
u	i	0.159
j	l	0.159
ˈeː	ˈe	0.158
u	u	0.144
w	ˈɑː_d	0.139
w	u	0.139
ˈe	-	0.135
t	-	0.134
ʤ	ʒ	0.133
ˈaː	ˈɔ_l	0.124
u	y	0.111
ˈe	ˈe	0.104
ˈɛː	ˈɑː	0.095
ˈɛː	e	0.095
u	o	0.082
s	-	0.082
ˈa	-	0.081
u	ˈuː_r	0.076
ˈaː	ˈa_l	0.075
v	f	0.057
s	z	0.052
