Gascon	Gascon	probability
ˈɛ_w	ˈiː_l	1.0
ˈɛ_j	ˈa	1.0
ˈy_#>	ˈuː_r_#>	1.0
ˈa_ŋ	ˈa_n	1.0
ˈa_#>	ˈaː_#>	1.0
ʦ_#>	#>	1.0
ʦ	s	1.0
ʤ	d	1.0
ʎ_#>	l_i_#>	1.0
ʃ	s	1.0
ɾ_e	a_r	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ	ŋ	1.0
ð	d	1.0
y	-	1.0
w_t	l_t	1.0
t_ˈu	d_ˈu	1.0
t_#>	l_#>	1.0
s_ˈa	s_ˈa	1.0
s_#>	#>	1.0
r_t	r_t	1.0
r	r	1.0
p_#>	f_#>	1.0
p	p	1.0
n_d	n	1.0
n_#>	n_t_#>	1.0
mː	e_m	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
k_ɾ	k_r	1.0
j_ˈe	j	1.0
j_ʃ	s	1.0
j_t	t	1.0
j_r	r_i	1.0
i_#>	#>	1.0
i	i	1.0
h	f	1.0
e_s	s	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_j	1.0
<#_ʎ	<#_j	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a_w	<#_o	1.0
<#_a_r	<#_r	1.0
ɔ	e	0.938
n	n	0.85
ˈi	ˈi	0.846
s	s	0.846
<#_n	<#_n	0.846
t	t	0.842
k_#>	k_#>	0.833
ɾ	r	0.8
u	o	0.714
ˈa	ˈa	0.7
a	a	0.682
ɣ	ɡ	0.667
β	v	0.6
ˈi_#>	ˈiː_#>	0.6
z	-	0.6
w_ˈe	v_ˈɔ	0.6
w_#>	f_#>	0.6
ʒ	ʤ	0.583
b	v	0.583
ˈu	ˈo	0.567
j	-	0.538
ˈa_w	ˈɔ	0.5
ˈa_w	ˈuː_f	0.5
w	w	0.5
k	c	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
ˈy	ˈu	0.458
ˈe	ˈe	0.455
ʎ	-	0.429
b	b	0.417
e	i	0.413
k	k	0.405
ˈi_#>	#>	0.4
z	z	0.4
w_ˈe	ˈɔ	0.4
w_#>	#>	0.4
ˈɛ	j_ˈɛ	0.357
w	l	0.35
ɣ	-	0.333
j	j	0.308
#>	r_#>	0.3
#>	e_#>	0.3
ˈy	ˈo	0.292
ʎ	l	0.286
ʎ	i	0.286
u	u	0.286
ˈa	ˈaː	0.26
ʒ	-	0.25
ˈɔ	w_ˈɛ	0.235
ˈɔ	w_ˈa	0.235
a	e	0.227
e	-	0.217
ˈɛ	ˈɛ	0.214
ˈɛ	j	0.214
β	b	0.2
β	-	0.2
#>	t_#>	0.2
#>	l_#>	0.2
ˈe	ˈɛ	0.182
ˈɔ	ˈuː	0.176
ˈɔ	ˈo	0.176
ˈɔ	-	0.176
ˈy	ˈuː	0.167
ʒ	j	0.167
k_#>	#>	0.167
t	ˈɛ_l	0.158
j	ˈɛ	0.154
<#_n	<#_ɲ	0.154
n	ɲ	0.15
ˈe	ˈi	0.136
ɾ	-	0.133
e	r_i	0.13
e	e	0.13
ˈɛ	ˈiː	0.107
ˈɛ	-	0.107
s	ʧ	0.103
ˈu	ˈɔ	0.1
ˈu	ˈoː	0.1
ˈu	w_ˈi	0.1
w	ˈuː	0.1
ˈe	ˈeː	0.091
ˈe	-	0.091
a	i	0.091
ˈy	-	0.083
ˈi	ˈiː	0.077
ˈi	-	0.077
ˈu	ˈu	0.067
ˈu	ˈoː_r	0.067
ɾ	a_r	0.067
e	r	0.065
ɔ	n_e	0.062
s	p	0.051
