American English	Icelandic	probability
b	b̥	0.973
b	tʰ	0.035
d	d̥	0.52
d	ð	0.324
d	-	0.084
d	ð_a	0.043
d	n	0.028
f	f	0.826
f	v_ʏ	0.11
f	ɡ̊	0.045
f	-	0.027
h	h	0.83
h	ç	0.152
h	-	0.028
i	u	0.33
i	ɑu̯	0.177
i	ɛː	0.177
i	ʏ	0.095
j	ˈu	0.322
j	ˈɑːu̯	0.322
j	ˈʏː	0.173
j	ˈaː	0.059
k	k	0.642
k	ʰk	0.257
k	c	0.089
kʰ	kʰ	0.82
kʰ	cʰ	0.133
l	l	0.806
l	l̥	0.152
l	ˈɔː	0.041
m	m	0.618
m	m_ʏ	0.284
m	-	0.065
m	n̥	0.035
n	n	0.59
n	-	0.152
n	t_n̥	0.1
n	nː	0.074
n	n̥	0.048
n	ŋ	0.027
oʊ̯	a	0.415
oʊ̯	-	0.194
oʊ̯	ʏ	0.194
p	p	0.419
p	ʰp	0.286
p	p_ʏ	0.14
p	v	0.071
s	s	0.942
s	sː	0.034
s	s_j	0.033
t	t	0.269
t	t_ʏ	0.251
t	ʰt	0.119
t	ʰt_ʏ	0.093
t	t_a	0.075
t	t_j	0.06
t	s	0.04
t	ð	0.04
t	ɣ	0.04
tʰ	tʰ	1.0
v	v	0.331
v	v_a	0.266
v	f	0.102
v	-	0.094
v	m	0.065
v	p	0.063
w	v	0.545
w	-	0.16
w	ˈɔ	0.124
w	ç	0.049
w	ˈu	0.049
w	ˈou̯	0.041
w	ˈai̯	0.03
z	s	0.561
z	v	0.425
ð	ð	0.481
ð	ð_ʏ	0.229
ð	nː	0.112
ð	θ	0.112
ŋ	ŋ	0.91
ŋ	ɲ	0.068
ŋ_k	ʰk	1.0
ə	-	0.169
ə	ˈœː	0.169
ə	ʏ	0.091
ə	ˈɛ	0.091
ə	a	0.074
ɚ	r̥	0.5
ɚ	ɪ	0.355
ɚ	a	0.051
ɚ	r	0.046
ɚ	n̥	0.034
ɚ	ˈœ	0.029
ɡ	ɡ̊	0.711
ɡ	ɟ̊	0.149
