Czech	Lower Sorbian	probability
ˈɛː	ˈɪ	1.0
ˈu	ˈu	1.0
ˈr̩	r	1.0
ˈou̯	ˈu	1.0
ˈl̩	w	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɲ	ɲ	1.0
ɪ	i	1.0
ɟ	ʑ	1.0
z	z	1.0
v_j	vʲ	1.0
s	s	1.0
r̝̊	ɕ	1.0
r̝	rʲ	1.0
o	ɔ	1.0
n_#>	ɲ_#>	1.0
m̩	ɨ_m	1.0
m_ɲ	mʲ	1.0
j_ˈɛ	ˈɪ	1.0
j	j	1.0
c	ɕ	1.0
b	b	1.0
a	a	1.0
<#_v	<#	1.0
r	r	0.875
k	k	0.87
n	n	0.857
ɦ	ɡ	0.846
iː	ɨ	0.842
d	d	0.833
ˈuː	ˈɔ	0.667
m	m	0.636
p	p	0.615
ˈɪ	ˈi	0.571
ˈiː	ˈɪ	0.556
x	x	0.556
v	v	0.556
ˈo	ˈɔ	0.55
t	t	0.515
ˈaː	ˈɔ	0.5
ˈaː	ˈa	0.5
l	w	0.5
x	k	0.444
v	vʲ	0.444
l	l	0.441
ˈɪ	ˈɨ	0.429
ˈa	ˈɔ	0.4
ˈa	ˈa	0.4
t	ɕ	0.394
p	pʲ	0.385
m	mʲ	0.364
ˈo	ˈɛ	0.35
ɛ	e	0.35
ˈɛ	ˈe	0.346
ˈuː	ˈɛ	0.333
ɛ	ɛ	0.3
ˈɛ	ˈa	0.269
ˈiː	ˈɨ	0.222
ˈiː	ˈi	0.222
ˈa	ˈɪ	0.2
d	ʑ	0.167
iː	i	0.158
ˈɛ	ˈɪ	0.154
ˈɛ	ˈɔ	0.154
ɦ	-	0.154
ɛ	ɔ	0.15
n	ɲ	0.143
k	kʲ	0.13
r	ʂ	0.125
ˈo	v_ˈɛ	0.1
ɛ	a	0.1
ɛ	-	0.1
t	ʨ	0.091
ˈɛ	ˈɛ	0.077
l	-	0.059
