Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɔː	ˈuː_ɐ	1.0
ˈɔʊ̯	-	1.0
ˈøʏ̯	ˈiː	1.0
ˈu	-	1.0
ˈoː_#>	ˈʏ_#>	1.0
ʦ_#>	t_#>	1.0
ʃ_l	s_l	1.0
ɫ_d̥_#>	l_#>	1.0
ɫ_d̥	lʲ	1.0
ɫ_#>	l_#>	1.0
ɪ	ɪ	1.0
ɣ̊	x	1.0
ə_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_ə	nʲ	1.0
z̥_#>	s_#>	1.0
v̥_#>	f_#>	1.0
t	t	1.0
s_t	s_t	1.0
n_d̥	ˈuː_n	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈeː	l	1.0
l	l	1.0
k_#>	ç_#>	1.0
h	h	1.0
f_ə	p	1.0
e	aɪ̯	1.0
d_ə	ɾ	1.0
d_ɐ	ɾ_ɐ	1.0
b	b	1.0
z	s	0.947
f	f	0.929
ʀ	r	0.926
n	n	0.821
ɫ	l	0.8
ɐ	ɐ	0.792
ə	ə	0.786
<#_n	<#_n	0.778
ʦ	tʰ	0.75
#>	t_#>	0.75
ʋ	v	0.739
p	p	0.714
s	t	0.688
ˈɪ	ˈɪ	0.636
x	x	0.625
d	d	0.621
j	ɡ	0.615
ˈyː	ˈyː	0.6
v	v	0.6
ʃ	s	0.591
ɡ̊	-	0.583
ˈøː	-	0.571
ˈɛː	-	0.556
ˈœ	ˈɛ	0.556
k	kʰ	0.556
d̥	ɾ	0.538
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ˈuː	ˈʏ	0.5
ˈeɪ̯	ˈiː	0.5
ˈeɪ̯	-	0.5
ŋ	ŋ	0.5
ˈœ	-	0.444
ˈøː	ˈɛ	0.429
ɕ	k	0.429
ˈiː	-	0.417
ʃ	s_k	0.409
ŋ	n	0.409
ˈɛ	ˈɛ	0.4
ˈyː	ˈʏ	0.4
v	-	0.4
ˈe	ˈɛ	0.375
x	k	0.375
ˈuː	ˈɔa̯	0.357
ˈo	ˈʊ	0.357
ˈo	-	0.357
ɕ	ç	0.357
ˈeː	ˈiː	0.353
ˈiː	ˈɪ	0.333
k	k	0.333
ˈe	ˈɪ	0.312
ˈeː	ˈɛ	0.294
ˈaː	ˈɔː	0.286
ˈaː	ˈa	0.286
ˈaː	-	0.286
p	pʰ	0.286
d	tʰ	0.276
ˈɛ	ˈeː	0.267
ˈa	ˈa	0.259
ˈiː	ˈiː	0.25
ʦ	t	0.25
ɡ̊	ɾ	0.25
#>	x_#>	0.25
j	j	0.231
d̥	x_t	0.231
d̥	t	0.231
ˈɛː	ˈiː	0.222
ˈɛː	ˈaɪ̯	0.222
<#_n	<#	0.222
ə	-	0.214
ɕ	ç_t	0.214
ˈɛ	ˈa	0.2
ˈoː	ˈoː	0.2
ɫ	ə_l	0.2
ˈe	ˈʊ	0.188
s	d	0.188
ˈa	ˈɔː	0.185
ˈɪ	ˈɛ	0.182
ˈɪ	-	0.182
ˈeː	ˈeː	0.176
ˈeː	-	0.176
ʋ	v_ˈeː	0.174
ɡ̊	nʲ	0.167
j	-	0.154
ˈoː	ˈʊ	0.15
ˈoː	ˈɔː	0.15
ˈoː	ˈœ	0.15
ˈoː	ˈeː	0.15
ˈa	-	0.148
ˈuː	-	0.143
ˈo	ˈʏ	0.143
ˈo	ˈœ	0.143
ˈaː	n	0.143
ˈɛ	ˈaː	0.133
ˈe	-	0.125
ɐ	r_ə	0.125
s	s	0.125
ˈa	ˈʊ	0.111
ˈa	ˈɔa̯	0.111
ˈa	ˈuː	0.111
k	-	0.111
n	-	0.107
ˈoː	ˈɔ	0.1
ˈoː	ˈiː	0.1
ŋ	ˈɪ	0.091
ʋ	-	0.087
ɐ	ə	0.083
ˈa	ˈœ	0.074
ʀ	-	0.074
n	ˈœ_n	0.071
f	p	0.071
d	-	0.069
z	z	0.053
