Doculect,Classification
Lithuanian,Balto-Slavic > Baltic
Latvian,Balto-Slavic > Baltic
Proto-Slavic,Balto-Slavic > Proto-Slavic
Russian,Balto-Slavic > Proto-Slavic > Slavic > East Slavic
Belarusian,Balto-Slavic > Proto-Slavic > Slavic > East Slavic > Ruthenian
Ukrainian,Balto-Slavic > Proto-Slavic > Slavic > East Slavic > Ruthenian
Polish,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Lechitic
Kashubian,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Lechitic
Lower Sorbian,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Sorbian
Upper Sorbian,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Sorbian
Czech,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Czech-Slovak
Slovak,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Czech-Slovak
Slovenian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southwest Slavic > Slovenian
Štokavian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southwest Slavic > Štokavian-Čakavian
Čakavian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southwest Slavic > Štokavian-Čakavian
Macedonian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southeast Slavic
Bulgarian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southeast Slavic
