Icelandic	Gothic	probability
a	a	0.578
a	oː	0.238
a	aː	0.063
b̥	b	0.917
b̥	-	0.083
c	k	1.0
d̥	d	0.96
f	f	1.0
h	h	1.0
j	-	0.584
j	j	0.111
j	ˈɛ	0.089
j	ˈiu̯	0.084
j	ˈi	0.073
k	k	0.883
k	ɡ	0.096
kʰ	k	0.669
kʰ	kʷ	0.198
kʰ	ʍ	0.133
l	l	1.0
l̥	l	0.879
l̥	h_l	0.121
m	m	0.955
n	n	1.0
nː	n	0.684
nː	nː	0.316
n̥	oː	0.5
n̥	n	0.392
n̥	-	0.108
p	p	0.687
p	m	0.264
r	r	0.809
r	-	0.124
r̥	r	0.484
r̥	s	0.387
r̥	-	0.129
s	s	0.942
sː	ŋ	1.0
t	t	0.812
t	-	0.188
tʰ	t	0.809
tʰ	b	0.191
u	ˈɔː	0.652
u	j	0.174
u	ˈi	0.174
v	w	0.426
v	β	0.214
v	f	0.174
v	-	0.129
x	k	1.0
ç	h	1.0
ð	θ	0.734
ð	ð	0.174
ð	nː	0.057
ŋ	ŋ	0.743
ŋ	h	0.257
ɛ	i	1.0
ɟ̊	ɡ	0.676
ɟ̊	ɡʷ	0.324
ɡ̊	ɡ	0.77
ɡ̊	-	0.132
ɡ̊	x	0.057
ɡ̊ː	d	1.0
ɣ	x	0.416
ɣ	ɡ	0.416
ɣ	ɣ	0.169
ɪ	a	0.791
ɪ	-	0.125
ɪ	oː	0.084
ɲ	ŋ	1.0
ʏ	u	0.427
ʏ	-	0.234
ʏ	a	0.14
ʏ	oː	0.111
ʏ	iː	0.087
ʰk	k	1.0
ʰp	p	1.0
ʰt	h_t	0.802
ʰt	t	0.198
ˈa	ˈa	0.837
ˈa	ˈɛ	0.104
ˈa	-	0.059
ˈai̯	j	1.0
ˈau̯	ˈi	0.523
ˈau̯	ˈa	0.477
ˈaː	ˈa	0.803
ˈaː	-	0.147
ˈaː	ˈɛː	0.051
ˈaːi̯	ˈa	0.866
ˈaːi̯	ˈoː	0.134
ˈaːu̯	a	0.641
ˈaːu̯	ˈeː	0.359
ˈeːi̯	ˈɛː	1.0
ˈi	ˈi	0.641
ˈi	ˈu	0.16
ˈi	ˈiː	0.159
ˈiː	ˈiː	0.478
ˈiː	ˈiu̯	0.416
ˈiː	-	0.091
ˈou̯	w	1.0
ˈoːu̯	w	0.496
ˈoːu̯	ˈoː	0.28
ˈoːu̯	ˈu	0.115
ˈoːu̯	-	0.109
ˈu	ˈuː	0.534
ˈu	ˈu	0.398
ˈu	ˈɛː	0.068
ˈuː	ˈiu̯	0.555
ˈuː	ˈuː	0.445
ˈœ	ˈa	0.39
ˈœ	ˈɛ	0.384
ˈœ	ˈu	0.172
ˈœ	ˈi	0.055
ˈœː	u	0.408
ˈœː	ˈɛː	0.349
ˈœː	ˈɔ	0.243
ˈœːy̯	ˈɔ	0.598
ˈœːy̯	ˈɔː	0.402
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈeː	0.524
ˈɑːu̯	ˈɔː	0.243
ˈɑːu̯	ʍ	0.233
ˈɔ	ˈɔ	0.498
ˈɔ	w_ˈɔ	0.296
ˈɔ	ˈi	0.085
ˈɔ	ˈeː	0.055
ˈɔu̯	ˈi	0.456
ˈɔu̯	ˈoː	0.206
ˈɔu̯	ˈɔː	0.206
ˈɔu̯	ˈa	0.131
ˈɔː	ˈu	0.511
ˈɔː	ˈi	0.277
ˈɔː	ˈeː	0.212
ˈɛ	ˈɛ	0.417
ˈɛ	ˈa	0.307
ˈɛ	ˈɛː	0.213
ˈɛ	ˈi	0.062
ˈɛi̯	ˈɛː	1.0
ˈɛː	ˈi	0.29
ˈɛː	ˈeː	0.284
ˈɛː	ˈa	0.273
ˈɛː	ˈiː	0.088
ˈɛː	ˈuː	0.065
ˈɛːi̯	ˈɛː	0.587
ˈɛːi̯	ˈɔː	0.413
ˈɪ	ˈi	1.0
ˈɪː	ˈi	0.784
ˈɪː	ˈɔː	0.216
ˈʏ	ˈu	0.961
ˈʏː	ˈoː	0.808
ˈʏː	ˈu	0.192
θ	θ	0.937
θ	j	0.063
