Middle Chinese	Middle Chinese	probability
˧˥	˧˥	1.0
˦	˦	1.0
˥˩	˥˩	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʥ	ʥ	1.0
ʤ	ʤ	1.0
ʣ	ʣ	1.0
ʔˠ	ʔˠ	1.0
ʔ	ʔ	1.0
ʑ	ʑ	1.0
ʌ	ʌ	1.0
ʉ	ʉ	1.0
ʈˠ	ʈˠ	1.0
ʈ	ʈ	1.0
ʃˠ	ʃˠ	1.0
ʃ	ʃ	1.0
ɳ	ɳ	1.0
ɪ	ɪ	1.0
ɨ_˥˩	ɨ_˥˩	1.0
ɨ	ɨ	1.0
ɦˠ	ɦˠ	1.0
ɦ	ɦ	1.0
ɡˠ	ɡˠ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ə	ə	1.0
ɖˠ	ɖˠ	1.0
ɖ	ɖ	1.0
ɕˠ	ɕˠ	1.0
ɕ	ɕ	1.0
ɑ_˦	ɑ_˦	1.0
ɑ	ɑ	1.0
ɐ	ɐ	1.0
ȵ	ȵ	1.0
ŋˠ	ŋˠ	1.0
ŋ	ŋ	1.0
æ	æ	1.0
w	w	1.0
u_˦	u_˦	1.0
u	u	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	sˠ	1.0
s	s	1.0
p̚	p̚	1.0
pˠ	pˠ	1.0
pʰˠ	pʰˠ	1.0
pʰ	pʰ	1.0
p	p	1.0
o	o	1.0
n	n	1.0
mˠ	mˠ	1.0
m	m	1.0
lˠ	lˠ	1.0
l	l	1.0
k̚	k̚	1.0
kˠ	kˠ	1.0
kʰˠ	kʰˠ	1.0
kʰ	kʰ	1.0
k	k	1.0
i_˦	i_˦	1.0
i_u	i_u	1.0
i	i	1.0
hˠ	hˠ	1.0
h	h	1.0
e	e	1.0
d	d	1.0
bˠ	bˠ	1.0
b	b	1.0
a	a	1.0
