North Frisian	Westphalian	probability
b	b	0.888
b	-	0.112
d	d	0.626
d	t	0.202
d	-	0.102
d	ɡ	0.054
dʲ	d	0.9
dʲ	t	0.1
f	f	0.864
f	v	0.086
h	h	0.98
i	ɪ	0.578
i	-	0.422
j	-	0.241
j	ɡ	0.187
j	ç	0.179
j	x	0.156
j	r	0.117
j	ˈiɛ̯	0.064
k	k	0.913
k	-	0.077
l	l	0.953
lʲ	l	0.827
lʲ	-	0.173
m	m	0.933
m	-	0.067
n	n	0.972
nʲ	n	1.0
p	p	0.896
p	b	0.104
r	ɐ	0.524
r	r	0.34
r	-	0.136
s	s	0.678
s	ʃ	0.171
s	-	0.099
t	t	0.836
t	d	0.164
tʲ	t	0.868
tʲ	d	0.132
v	w	0.48
v	v	0.411
v	f	0.052
w	ə	0.473
w	ɣ	0.382
w	ɡ	0.145
x	x	0.529
x	ç	0.471
z	t	0.582
z	z	0.291
z	s	0.106
ŋ	ŋ	0.715
ŋ	-	0.127
ŋ	ç	0.096
ŋ	n	0.062
ə	n	0.741
ə	-	0.179
ə	ə	0.08
ɛi̯	aɪ̯	1.0
ɡ	x	1.0
ʃ	ʃ	0.933
ʃ	k	0.061
ˈa	ˈɛː	0.363
ˈa	ˈɪ	0.138
ˈa	ˈʊ	0.11
ˈa	ˈɛ	0.11
ˈa	ˈa	0.082
ˈa	ɐ	0.079
ˈa	ˈʏ	0.054
ˈai̯	ˈɪ	0.531
ˈai̯	ˈiɛ̯	0.194
ˈai̯	ˈiː	0.194
ˈai̯	ˈeː	0.081
ˈaː	ˈuə̯	0.395
ˈaː	ˈuːə̯	0.243
ˈaː	ˈɪə̯	0.2
ˈaː	ˈiɛ̯	0.113
ˈeː	ˈiː	0.287
ˈeː	ˈɛ	0.208
ˈeː	ˈɪə̯	0.13
ˈeː	ˈa	0.106
ˈeː	ˈɛː	0.085
ˈeː	ˈɔː	0.06
ˈi	ˈiː	0.491
ˈi	ˈɪ	0.423
ˈi	ˈɪɛ̯	0.086
ˈiː	ˈaɪ̯	0.382
ˈiː	ˈeː	0.194
ˈiː	ˈiː	0.132
ˈiː	ˈœː	0.081
ˈiː	ˈɪ	0.072
ˈiː	ˈøː	0.06
ˈu	ˈuːə̯	0.5
ˈu	ˈɪ	0.5
ˈuː	ˈaʊ̯	0.484
ˈuː	ˈa	0.194
ˈuː	ˈɔː	0.17
ˈuː	ˈeː	0.091
ˈuː	ˈuː	0.061
ˈyː	ˈuː	0.241
ˈyː	ˈaʊ̯	0.224
ˈyː	ˈɔː	0.166
ˈyː	ˈʊ	0.123
ˈyː	ˈø	0.103
ˈøː	ˈyː	0.564
ˈøː	ˈuə̯	0.243
ˈøː	ˈuː	0.154
ˈœ	ˈa	0.52
ˈœ	ˈoː	0.16
ˈœ	ˈuːə̯	0.088
ˈœ	ˈɪ	0.069
ˈœ	ˈɪɛ̯	0.054
ˈœi̯	ˈoː	1.0
ˈɒ	ˈa	0.54
ˈɒ	ˈeː	0.16
ˈɒ	ˈɛ	0.136
ˈɒ	ˈaː	0.066
ˈɒ	ˈɔ	0.058
ˈɒː	ˈa	0.39
ˈɒː	ˈaː	0.289
ˈɒː	ˈɒː	0.231
ˈɒː	ˈeː	0.09
ˈɔ	ˈœː	0.47
ˈɔ	ˈuːə̯	0.265
ˈɔ	ˈøː	0.265
ˈɔi̯	ˈaɪ̯	1.0
ˈɔu̯	ˈɔː	0.416
ˈɔu̯	ˈeː	0.143
ˈɔu̯	ˈuːə̯	0.143
ˈɔu̯	ˈɛ	0.138
ˈɔu̯	ˈoː	0.068
ˈɔu̯	ˈuː	0.068
ˈɔː	ˈyə̯	0.16
ˈɔː	ˈɔː	0.16
ˈɔː	ˈa	0.144
ˈɔː	ˈɔ	0.123
ˈɔː	ˈɪə̯	0.117
ˈɔː	ˈaɪ̯	0.089
ˈɔː	ˈɛː	0.089
ˈɔː	ˈɪɛ̯	0.067
ˈɔː	ˈuːə̯	0.05
ˈɛ	ˈøː	0.439
ˈɛ	ˈɪ	0.281
ˈɛ	ˈɪɛ̯	0.281
ˈɛi̯	ˈøː	0.362
ˈɛi̯	ˈɔː	0.335
ˈɛi̯	ˈa	0.156
ˈɛi̯	ˈaɪ̯	0.087
ˈɛi̯	ˈɛ	0.061
ˈɛː	ˈɪɛ̯	0.556
ˈɛː	ˈɔː	0.205
ˈɛː	ˈaː	0.19
ˈʊ	ˈʊ	0.461
ˈʊ	ˈa	0.125
ˈʊ	ˈɪ	0.122
ˈʊ	ˈuːə̯	0.067
ˈʊ	ˈɛ	0.065
ˈʊ	w_ˈʊ	0.058
ˈʏ	ˈʏ	0.635
ˈʏ	ˈyː	0.311
ˈʏ	ˈuː	0.054
