Latvian	Belarusian	probability
ʧ	ʧ	1.0
ʦ	k	1.0
ʣ_ɛ	ʐ̊	1.0
ʣ	ʐ	1.0
ʃ	-	1.0
ɲ	-	1.0
ɛː	e	1.0
ɛ_ʃ	ʂ	1.0
ɛ_n	a	1.0
æː	æ	1.0
w	ɨ	1.0
uː	ɨ	1.0
t_s	ɨ	1.0
r̩	r	1.0
l̩	ɫ	1.0
j	e_r	1.0
iː	ɨ	1.0
e	æ_ʦ	1.0
d̥	d̥	1.0
d_u	d̥	1.0
b̥	b̥	1.0
ai̯	æ	1.0
r	r	0.866
uɔ̯	u	0.793
ɡ̊	x	0.771
i	-	0.705
u	-	0.679
z	zʲ	0.659
au̯	u	0.647
ɡ	ɣ	0.582
b	bʲ	0.572
m	m	0.556
t	t	0.549
iɛ̯	i	0.549
d	ʣʲ	0.547
z̥	z_a	0.515
v	v	0.513
aː	o	0.511
p	p	0.505
æ	o	0.5
p	-	0.495
aː	a_ˈ	0.489
v	vʲ	0.487
z̥	z̥	0.485
d	d	0.453
t	ʦʲ	0.451
iɛ̯	e	0.451
n	n	0.432
b	b	0.428
ɡ	-	0.418
k	ʧ	0.379
s	a	0.373
a	o	0.37
a	a_ˈ	0.368
k	k	0.355
l	lʲ	0.354
au̯	ʉ	0.353
z	z	0.341
u	d̥ʲ	0.321
l	ɫ	0.318
ɛ	e	0.31
æ	-	0.294
n	-	0.294
n	nʲ	0.273
m	mʲ	0.271
k	-	0.266
ɛ	a	0.253
ɡ̊	ɣʲ	0.229
s	s	0.227
s	sʲ	0.216
l	w	0.212
uɔ̯	-	0.207
æ	ɵ	0.206
ɛ	æ	0.187
a	a	0.185
m	-	0.173
s	ɨ	0.15
ɛ	-	0.137
r	r_a	0.134
l	ɫ_a	0.116
i	ɛ_ˈ	0.116
ɛ	æ_ˈ	0.113
i	o	0.105
a	e_ˈ	0.076
i	æ	0.074
