Lower Sorbian	Čakavian	probability
b	b	1.0
d	d	1.0
e	e	1.0
i	i	1.0
j	j	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
s	s	1.0
v	ʋ	1.0
vʲ	ʋ	1.0
x	x	1.0
z	z	1.0
ɡ	ɡ	1.0
ɨ	a	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʑ	d	1.0
ʨ	t	1.0
ˈi	îː	1.0
ˈɨ	î	1.0
ˈa	-	0.171
ˈu	ǔː	0.161
r	r̩̂	0.152
ˈa	ê	0.092
ˈɔ	ê	0.072
ˈɔ	o	0.092
ˈɛ	o	0.482
ˈɪ	ǐː	0.12
a	a	0.463
ɕ	a_t	0.063
ɛ	î	0.263
ˈa	ǎː	0.293
ˈɪ	êː	0.133
w	l	0.614
ɔ	ô	0.094
ɲ	n	0.494
ˈe	e	0.4
ˈu	ûː	0.454
ˈɔ	â	0.094
ˈɔ	âː	0.14
ˈɔ	ô	0.34
ˈɛ	ô	0.234
ʦ	ʧ	0.095
ʦ	ʦ	0.905
ˈu	û	0.385
ˈɔ	ǎː	0.055
ˈɛ	-	0.095
ˈɪ	î	0.5
l	l	0.956
w	-	0.386
ɲ	ɲ	0.506
ˈa	î	0.136
ˈe	ê	0.6
a	â	0.537
k	k	0.947
t	t	0.957
ɕ	t_i	0.317
ɛ	e	0.737
ˈa	â	0.307
ˈɪ	îː	0.247
m	m	0.98
r	r	0.848
ɔ	e	0.158
ɔ	o	0.748
ɕ	t	0.598
ˈɔ	ôː	0.208
ˈɛ	ôː	0.19
