Old Frisian	Palatine German	probability
θ	d̥	1.0
ˈu_n	ˈõː	1.0
ˈu_lː	ˈɔ_l	1.0
ˈi̯uː_ɣ	ˈɑ̃ɪ̯	1.0
ˈi̯uː	ˈaɪ̯	1.0
ˈi̯aː_n	ˈẽː	1.0
ˈeː_n	ˈĩː	1.0
ˈe_t	ˈɑ_s	1.0
ˈaː_j	ˈɑːɪ̯	1.0
ʦ	kʰ	1.0
ʣ	-	1.0
ə_r	ɐ	1.0
ð	r	1.0
z	s	1.0
tː	ʣ̥	1.0
t_ə	s	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
r_t	ɐ_ʣ̥	1.0
r_n	ɐ_n	1.0
pː	b̥	1.0
p	f	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
l_d	l_d̥	1.0
l	l	1.0
kː	ɡ̊	1.0
j_ə	ə	1.0
j	-	1.0
iː	eː	1.0
i	ɪ	1.0
h_w	β	1.0
h_r	r	1.0
h_l	l	1.0
h	h	1.0
f_r	f_r	1.0
dː	r	1.0
d_r	d̥_r	1.0
bː	n	1.0
b	b̥	1.0
w	β	0.929
f	f	0.875
d	d̥	0.864
n	n	0.859
ŋ	ŋ	0.813
ˈi̯aː	ˈiː	0.799
ˈiː	ˈaɪ̯	0.794
ˈa	ˈɑ	0.752
d_ə	r	0.747
ˈi	ˈɪ	0.737
ɣ̥	ʃ	0.726
ɡ	ɡ̊	0.722
ˈu	ˈu	0.717
ˈuː	ˈau̯	0.715
s	s	0.685
ˈoː	ˈuː	0.626
v	β	0.621
t	s	0.609
ˈe_j	ˈɛː	0.593
r	ɐ	0.583
k_ə	x	0.536
ə	-	0.535
k	ɡ̊	0.519
ˈo	ˈɔ	0.5
x	ʃ	0.5
x	x	0.5
ˈaː	ˈoː	0.483
ˈɛː	ˈeː	0.475
ˈe	ˈɛ	0.467
k_ə	ɡ̊_ə	0.464
ˈɔː	ˈɔ	0.462
ə	ə	0.452
ɣ	j	0.445
ˈɛː	ˈɛː	0.41
ˈe_j	ˈɑː_ɣ̊	0.407
ˈɔː	ˈɑ	0.385
v	b̥	0.379
r	r	0.372
ˈaː	ˈɑː	0.33
ˈo	-	0.329
ɣ	ɣ̊	0.317
s	ʃ	0.315
ɡ	-	0.278
ɣ̥	-	0.274
ˈeː	ˈoː	0.268
k	ʃ	0.254
d_ə	ə	0.253
ˈa	ˈɑː	0.248
ɣ	-	0.237
ˈeː	-	0.232
t	d̥	0.232
k	x	0.227
ˈoː	ˈu	0.222
ˈeː	ˈiː	0.216
ˈiː	-	0.206
ŋ	-	0.187
ˈu	-	0.182
ˈeː	ˈɛː	0.175
ˈe	ˈɪ	0.173
ˈo	ˈu	0.172
t	ʣ̥	0.159
ˈɔː	ˈoː	0.152
ˈoː	ˈɑ	0.152
n	-	0.141
d	r	0.136
ˈi̯aː	-	0.135
ˈuː	-	0.127
f	f_r	0.125
ˈaː	ˈeː	0.116
ˈɛː	-	0.114
ˈuː	ˈuː	0.105
ˈi	ˈɛ	0.104
ˈu	ˈoː	0.101
ˈe	ˈɑː	0.099
ˈe	ˈeː	0.083
ˈi	-	0.08
ˈi	ˈaɪ̯	0.079
ˈeː	ˈuː	0.076
ˈaː	ˈɛː	0.072
w	β_ˈɔ	0.071
ˈi̯aː	ˈi	0.066
ˈe	ˈɛː	0.065
ˈe	ˈɑ	0.062
ˈuː	ˈau̯̯	0.053
ˈe	-	0.051
