Standard German	Standard German	probability
ˈʏ	ˈʏ	1.0
ˈʊ_ɐ	ˈuːə̯	1.0
ˈɛː	-	1.0
ˈœ	ˈyə̯	1.0
ˈaː_z	ˈɒː	1.0
ʦ	t	1.0
ʃ_#>	ʃ_k_#>	1.0
ʃ	ʃ	1.0
ʁ_ə	ɐ	1.0
ɪ	ɪ	1.0
ɡ̊	x	1.0
ɐ_ʦ	t	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
tʰ	d	1.0
t_ɐ	ɐ	1.0
t_n	d_n	1.0
s_t	s_t	1.0
s_n	t_n	1.0
s	t	1.0
p͡f	p	1.0
p	p	1.0
n_z̥_#>	s_#>	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k_s	s	1.0
k_n	ç	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f_n	p_n	1.0
eː	aɪ̯	1.0
d̥	d̥	1.0
b_n	v_n	1.0
a	-	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
ʁ	r	0.903
f	f	0.889
d	d	0.882
b	b	0.88
ɐ	ɐ	0.861
ˈɪ	ˈɪ	0.808
z	s	0.789
v	v	0.778
ˈa	ˈa	0.75
f_#>	p_#>	0.714
ˈiː	ˈaɪ̯	0.692
ˈʊ	ˈʊ	0.636
ˈyː	ˈøː	0.625
ˈuː	ˈoː	0.583
ˈɔʏ̯	-	0.571
ɡ	x	0.545
ç	k	0.538
t	d̥	0.517
ˈɛ	ˈɛ	0.5
ˈɔ	-	0.5
ˈiː_ɐ	ˈiː	0.5
ˈiː_ɐ	ɐ	0.5
ə	ə	0.5
ə	-	0.5
x	x	0.5
x	k	0.5
ˈaː	ˈɔː	0.474
ˈoː	ˈaʊ̯	0.462
ç	ç	0.462
ˈɔʏ̯	ˈyː	0.429
ˈaɪ̯	ˈiː	0.423
ˈaʊ̯	ˈuː	0.412
ˈeː	-	0.4
b̥	ʋ	0.4
b̥	v	0.4
ˈaɪ̯	ˈeː	0.385
ˈɛ	ˈɪɛ̯	0.375
ˈyː	-	0.375
ˈʊ	-	0.364
ˈɔ	ˈʊ	0.357
ˈaʊ̯	ˈaʊ̯	0.353
t	t	0.345
ˈeː	ˈɪɛ̯	0.3
ˈeː	ˈaɪ̯	0.3
f_#>	#>	0.286
ɡ	ɡ	0.273
ˈuː	-	0.25
ˈaʊ̯	ˈʊ	0.235
ˈoː	ˈɔː	0.231
v	ʋ	0.222
z	z	0.211
b̥	v̥	0.2
ɡ	-	0.182
ˈuː	ˈøː	0.167
ˈaː	ˈaː	0.158
ˈaː	ˈa	0.158
ˈoː	ˈuːə̯	0.154
ˈoː	-	0.154
ˈiː	ˈiː	0.154
ˈiː	-	0.154
ˈɔ	ˈɔ	0.143
ɐ	-	0.139
ˈɛ	ˈɛː	0.125
b	v	0.12
d	-	0.118
ˈɪ	-	0.115
ˈaɪ̯	ˈɪ	0.115
f	-	0.111
ˈaː	ˈɛ	0.105
ˈaː	-	0.105
ʁ	-	0.097
ˈa	ˈɔ	0.094
ˈa	ˈaː	0.094
ˈɪ	ˈɛ	0.077
ˈaɪ̯	ˈaɪ̯	0.077
t	d	0.069
t	-	0.069
ˈa	-	0.062
