Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d̥	1.0
β_ɑ̃	v̥	1.0
β	v	1.0
ˈɛː	ˈɔː	1.0
ˈɑː	-	1.0
ˈɑ_ŋ	ˈa	1.0
ˈu_ŋ	ˈʊ	1.0
ˈu_r	ˈuːə̯	1.0
ˈĩː	ˈɪ	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈi_ŋ	ˈɪ	1.0
ˈeː	ˈiː	1.0
ˈeu̯	ˈaɪ̯	1.0
ˈe_k	ˈɪ_k	1.0
ɣ_j	ɡ	1.0
ɡʷ	ŋ	1.0
ɡ	ŋ	1.0
ɛː	ɐ	1.0
ɔːu̯	-	1.0
ɔː_#>	#>	1.0
ɑ̃_#>	#>	1.0
ɑi̯	-	1.0
ɑ_z_#>	#>	1.0
ɑ_n	m	1.0
ŋ	ŋ	1.0
ð_ɛː	d_ɐ	1.0
ð_i	d̥	1.0
z_#>	#>	1.0
z	-	1.0
x_t	x_t	1.0
w_ˈi	v	1.0
u	-	1.0
tː	t	1.0
t_ɑ	t	1.0
s_ˈe	s	1.0
s_ɑ̃	z̥	1.0
s_w	ʃ_ʋ	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɑ̃	ɐ	1.0
r_ɑ	ɐ	1.0
r_u	ɐ	1.0
r_#>	#>	1.0
pː	p	1.0
p	p	1.0
n_θ	n	1.0
n_s	s	1.0
n_d	n	1.0
mː	-	1.0
lː	l	1.0
l	l	1.0
kʷ	-	1.0
k	k	1.0
iː	-	1.0
e_x	aɪ̯	1.0
e_r	ɐ	1.0
d_u	d̥	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɣ	<#_x	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
#>	ə_#>	1.0
n	n	0.972
ɸ	f	0.923
i	-	0.923
j	-	0.917
b	b	0.917
t	t	0.893
m	m	0.875
ɑ	-	0.833
nː	n	0.75
ˈɑu̯	ˈaʊ̯	0.733
ˈɑi̯	ˈeː	0.733
ɔː	-	0.714
θ	d	0.708
ˈi	ˈɪ	0.708
ˈuː	ˈuː	0.7
x	h	0.692
d	d	0.684
ð	d̥	0.643
ɔ̃ː	ə	0.6
w	v	0.567
ɔːː	-	0.545
r	r	0.524
β_ɑ	ʋ	0.5
β_ɑ	v	0.5
ˈɔː	ˈoː	0.5
ɑ̃	ɐ	0.5
ɑ̃	n	0.5
xʷ	v	0.5
xʷ	-	0.5
s	s	0.5
ɔːː	ə	0.455
ˈɑ	ˈa	0.435
ɔ̃ː	-	0.4
ˈɔː	ˈøː	0.375
ˈe	ˈɪɛ̯	0.348
ˈu	ˈʊ	0.333
w	-	0.333
d	d̥	0.316
x	-	0.308
ˈuː	ˈʊ	0.3
s	ʃ	0.3
ɔː	ə	0.286
r	ɐ	0.286
ˈɑu̯	-	0.267
ˈɑi̯	-	0.267
ɣ	ɡ	0.267
ɣ	ç	0.267
nː	ˈyə̯	0.25
ˈɑ	-	0.217
ˈe	-	0.217
ð	-	0.214
θ	d̥	0.208
ɣ	x	0.2
r	-	0.19
ˈe	ˈɛ	0.174
ˈu	ˈʏ	0.167
ˈu	-	0.167
ˈi	ˈiː	0.167
ˈɑ	ˈɛ	0.152
s	z	0.15
ð	d	0.143
ˈu	ˈuːə̯	0.133
ɣ	ŋ	0.133
ɣ	-	0.133
ˈɑ	ˈaː	0.13
ˈe	ˈɪə̯	0.13
ˈe	ˈɛː	0.13
ˈɔː	-	0.125
ˈi	-	0.125
m	-	0.125
t	-	0.107
ˈu	ˈɔ	0.1
w	ʋ	0.1
θ	-	0.083
j	j	0.083
b	-	0.083
ɸ	-	0.077
i	ə	0.077
ˈu	ˈuə̯	0.067
ɑ	ɪ	0.056
ɑ	ɐ	0.056
ɑ	k	0.056
