Proto-Balto-Slavic	Čakavian	probability
ʃ_a	x	1.0
ʃ	x	1.0
ɡ_a	ɡ̊	1.0
ŋ	-	1.0
zʲ	z	1.0
z	z	1.0
w	ʋ	1.0
t_a	t	1.0
sʲ	s	1.0
r_i	r	1.0
r_a	r	1.0
p	p	1.0
o	-	1.0
n_aː	n_a	1.0
k_t	c	1.0
k_a	k	1.0
j_au̯	uː	1.0
j	-	1.0
i_r	r̩	1.0
ei̯	i	1.0
e_́	e	1.0
aː	a	1.0
au̯	uː	1.0
́ˀ	̂	0.842
m	m	0.823
d	d	0.792
u	-	0.79
oː	a	0.78
r	r	0.772
b	b	0.758
t	t	0.734
ai̯	iː	0.73
i	-	0.7
s	-	0.667
uː	iː	0.651
ɡ	ɡ	0.618
́	̂	0.581
l	l	0.569
eː	-	0.546
a_́	uː	0.537
ˀ	̂	0.5
ˀ	-	0.5
a_́	̂	0.463
l	-	0.431
e	e	0.418
n	-	0.415
́	-	0.372
k	k	0.362
uː	i	0.349
k	ʧ	0.34
a	o	0.335
s	s	0.333
eː	iː	0.308
i	e	0.3
k	ʦ	0.297
e	eː	0.281
a	-	0.272
ai̯	-	0.27
t	-	0.266
n	n	0.248
b	b̥	0.242
r	-	0.228
oː	-	0.22
e	-	0.211
u	a_k	0.21
d	d̥	0.208
ɡ	-	0.193
ɡ	ʒ	0.189
m	-	0.177
n	t	0.169
n	a	0.168
a	oː	0.167
́ˀ	̌	0.158
eː	l_a	0.146
a	aː	0.115
e	eː_̂	0.091
a	o_̂	0.073
