Swiss German	Nynorsk Norwegian	probability
b̥	b	0.591
b̥	ʋ	0.277
b̥	-	0.083
d̥	d	0.348
d̥	-	0.346
d̥	tʰ	0.225
d̥	ɕ	0.051
f	f	0.645
f	ʋ	0.106
f	p	0.1
f	-	0.064
f	m	0.055
fː	p	1.0
h	h	0.76
h	j	0.145
h	-	0.095
i	e	0.58
i	ŋ	0.21
i	ɑ	0.21
j	-	1.0
k	ʰkː	0.738
k	ɕ	0.262
kː	ɕː	1.0
l	l	0.869
l	lː	0.063
lː	lː	1.0
m	m	0.801
m	-	0.175
mː	m	1.0
n	n	0.628
n	-	0.202
n	nː	0.17
nː	nː	1.0
p	ʋ	1.0
p͡f	pʰ	0.59
p͡f	p	0.41
r	ɾ	0.905
r	-	0.063
rː	ˈœ	1.0
s	s	0.77
s	ʃ	0.163
sː	t	0.902
sː	ʰtː	0.09
t	d	0.386
t	t	0.309
t	-	0.172
t	s	0.061
tː	-	0.864
tː	d	0.136
æ	e	1.0
ŋ	ŋː	0.513
ŋ	-	0.269
ŋ	nː	0.158
ə	ɑ	0.526
ə	e	0.194
ə	-	0.17
ə	ə	0.052
ɡ̊	ɡ	0.711
ɡ̊	j	0.176
ɡ̊	-	0.113
ɡ̊ː	ɡː	0.756
ɡ̊ː	jː	0.244
ʃ	s	0.753
ʃ	ʃ	0.247
ʃː	k	1.0
ʋ	ʋ	0.7
ʋ	-	0.214
ʋ	v	0.086
ʦ	tʰ	0.58
ʦ	t	0.169
ʦ	tː	0.152
ˈau̯	ˈæʉ̯	0.509
ˈau̯	ˈeː	0.272
ˈau̯	ˈoː	0.106
ˈau̯	ˈœʏ̯	0.106
ˈe	ˈɛ	0.697
ˈe	ˈʉː	0.19
ˈe	ˈeː	0.113
ˈeː	ˈoː	0.421
ˈeː	ˈøː	0.319
ˈeː	ˈæː	0.26
ˈi	ˈɪ	0.572
ˈi	ˈiː	0.139
ˈi	ˈeː	0.091
ˈi	ˈʏ	0.088
ˈiə̯	ˈyː	0.431
ˈiə̯	ˈuː	0.157
ˈiə̯	ˈɛ	0.157
ˈiə̯	ˈiː	0.128
ˈiə̯	ˈʉː	0.066
ˈiə̯	ˈeː	0.062
ˈiː	ˈiː	0.854
ˈiː	ˈɛ	0.086
ˈiː	ˈyː	0.06
ˈo	ˈʉ	0.279
ˈo	ˈʊ	0.257
ˈo	ˈoː	0.129
ˈo	ˈuː	0.121
ˈo	ˈʏ	0.082
ˈo	ˈʉː	0.062
ˈoː	ˈæʉ̯	0.424
ˈoː	ˈuː	0.175
ˈoː	ˈoː	0.17
ˈoː	ˈɔ	0.106
ˈoː	ˈʉː	0.095
ˈu	ˈʉ	0.477
ˈu	ˈɔ	0.176
ˈu	ˈʏ	0.125
ˈu	ˈœ	0.066
ˈu	ˈʊ	0.06
ˈu	ˈʉː	0.052
ˈuə̯	ˈuː	0.811
ˈuə̯	ˈøː	0.125
ˈuə̯	ˈʉː	0.064
ˈuː	ˈʉː	0.84
ˈuː	ˈɔ	0.101
ˈuː	ˈʉ	0.059
ˈy	ˈɔ	0.3
ˈy	ˈʏ	0.285
ˈy	ˈiː	0.145
ˈy	ˈyː	0.145
ˈy	ˈɛ	0.063
ˈy	ˈɪ	0.062
ˈyə̯	ˈøː	0.773
ˈyə̯	ˈuː	0.227
ˈyː	ˈyː	0.327
ˈyː	ˈɛ	0.199
ˈyː	ˈʉː	0.161
ˈyː	ˈeː	0.126
ˈyː	ˈiː	0.08
ˈæ	ˈɛ	0.355
ˈæ	j	0.217
ˈæ	ˈɑ	0.092
ˈæ	ˈeː	0.069
ˈæ	ˈæː	0.064
ˈæ	ˈøː	0.062
ˈæi̯	ˈæɪ̯	0.953
ˈæː	ˈiː	0.53
ˈæː	ˈɑ	0.245
ˈæː	ˈeː	0.139
ˈæː	ˈɛ	0.086
ˈø	ˈʉ	0.452
ˈø	ˈɔ	0.245
ˈø	ˈɛ	0.229
ˈø	ˈʏ	0.073
ˈøi̯	ˈyː	0.553
ˈøi̯	ˈœʏ̯	0.242
ˈøi̯	ˈuː	0.136
ˈøi̯	ˈɔ	0.069
ˈøː	ˈʊ	0.785
ˈøː	ˈøː	0.157
ˈøː	ˈœʏ̯	0.058
ˈɒ	ˈɑ	0.727
ˈɒ	ˈɑː	0.149
ˈɒː	ˈoː	0.532
ˈɒː	ˈɑː	0.277
ˈɒː	ˈɑ	0.192
χ	kʰ	0.322
χ	k	0.307
χ	-	0.214
χ	ɕ	0.097
χ	ɡ	0.059
