Old Church Slavonic	Old Church Slavonic	probability
ˈʊ	ˈʊ	1.0
ˈɯ	ˈɯ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ̃	ˈɛ̃	1.0
ˈɛ	ˈɛ	1.0
ˈɔ̃	ˈɔ̃	1.0
ˈɔ	ˈɔ	1.0
ˈɑ	ˈɑ	1.0
ˈæ	ˈæ	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʊ	ʊ	1.0
ʃ	ʃ	1.0
ɯ	ɯ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ɛ̃	ɛ̃	1.0
ɛ	ɛ	1.0
ɔ̃	ɔ̃	1.0
ɔ	ɔ	1.0
ɑ	ɑ	1.0
æ	æ	1.0
z	z	1.0
x	x	1.0
v	v	1.0
u	u	1.0
t	t	1.0
s_l	s_l	1.0
s	s	1.0
rʲ	rʲ	1.0
r_ʊ	r_ʊ	1.0
r	r	1.0
p	p	1.0
nʲ	nʲ	1.0
n	n	1.0
m	m	1.0
lʲ	lʲ	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	i	1.0
d	d	1.0
b	b	1.0
