Lower Sorbian	Lower Sorbian	probability
ʨ	t	1.0
ʒ	ʒ	1.0
ʐ̊	-	1.0
ʐ	ʒ	1.0
ʂ	r	1.0
ɪ	ɛ_ˈ	1.0
ɨ_#>	#>	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_#>	ɛ_#>	1.0
ɔ_#>	o_#>	1.0
z̥	z̥	1.0
z	z	1.0
x	v	1.0
vʲ	v	1.0
v_ɨ	f	1.0
t	t	1.0
s_a	s_a	1.0
r_ɨ	a_r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	o_k	1.0
k_ɛ	k_o	1.0
k	k	1.0
j	j	1.0
i_#>	#>	1.0
i	i	1.0
f	f	1.0
e_ɕ	ɛ_t	1.0
d̥	d̥	1.0
d_w	ɫ	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_r	r̩	1.0
<#_ɕ	<#_t	1.0
<#_v_ɛ	<#_o	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#	1.0
<#_j_a	<#_ɛ	1.0
<#	<#_v	1.0
#>	ɛ_#>	1.0
s	s	0.938
w	ɫ	0.9
a	a	0.86
ɲ	n	0.857
rʲ	r	0.857
ɨ	i	0.818
r	r	0.818
ʑ	d	0.8
v	v	0.786
e	ɛ	0.75
l	l	0.706
x_ɨ	f	0.667
ɛ	ɛ	0.565
u	u	0.556
ʦ	ʦ	0.5
ɔ	o	0.462
ɕ	t	0.455
ʦ	ʧ	0.4
x_ɨ	x	0.333
u	a_ˈ	0.333
l	ɫ	0.294
ɔ	a_ˈ	0.282
v	-	0.214
ʑ	ɟ	0.2
ɨ	u	0.182
ɕ	ˈ_ɛ	0.182
ɕ	ɛ	0.182
ɕ	r	0.182
r	r̩	0.182
ɛ	ɔ_ˈ	0.174
ɛ	o	0.174
ɔ	ɛ_ˈ	0.154
ɲ	ɲ	0.143
rʲ	ɾ	0.143
a	ɛ_ˈ	0.14
e	r̩	0.125
e	-	0.125
u	-	0.111
ɔ	ɛ	0.103
ʦ	c	0.1
w	o	0.1
ɛ	-	0.087
s	-	0.062
