Saterland Frisian	Pennsylvania German	probability
a	ə	0.5
a	ˈiː	0.5
b	b	0.914
b	-	0.053
b	v	0.045
d	t	0.502
d	d	0.391
d	-	0.083
f	f	0.941
f	p	0.059
f_j	f	0.494
h	h	1.0
j	j	0.34
j	ɡ	0.329
j	ˈeː	0.143
j	-	0.124
j_ə	ə	1.0
j_ˈuː	ˈaɪ̯	0.494
j_ˈʊ	ˈɪ	1.0
k	k	0.294
k	kʰ	0.258
k	ç	0.125
k	x	0.115
k	ɪ_ç	0.115
l	l	0.978
m	m	1.0
n	n	0.752
n	-	0.246
p	f	0.678
p	p	0.254
p	p͡f	0.064
r	ɾ	0.728
r	ɑ	0.119
r	d_ɑ	0.081
r	-	0.046
r_j	ɾ	1.0
r_ə	ɑ	0.494
s	s	0.502
s	ʃ	0.441
s	kʰ	0.055
s_k	ʃ	1.0
t	t	0.373
t	s	0.281
t	d	0.142
t	ʦ	0.141
t	-	0.042
v	ʋ	0.764
v	v	0.148
v	-	0.049
v	f	0.043
w	f	0.361
w	ʋ	0.361
w	v	0.205
x	ç	0.443
x	x	0.252
x	k	0.169
x	f	0.061
x	p	0.053
z	s	0.805
z	ɾ	0.156
ŋ	ŋ	1.0
ə	-	0.54
ə	ə	0.428
ə	ɪ	0.035
ə_r	ɑ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	0.464
ɣ	k	0.181
ɣ	-	0.167
ɣ	ɣ	0.093
ɣ	f	0.061
ɪ	ɪ	0.78
ɪ	-	0.219
ɫ	l	0.494
ˈa	ˈa	0.644
ˈa	ˈɛ	0.241
ˈaː	ˈa	0.538
ˈaː	ˈeː	0.208
ˈaː	ˈɛː	0.144
ˈaːi̯	ˈɔː	0.425
ˈaːi̯	ˈa	0.241
ˈaːi̯	ˈeː	0.137
ˈaːu̯	ˈɔː	0.574
ˈaːu̯	ˈiː	0.284
ˈeː	ˈeː	0.769
ˈeː	ˈɛ	0.158
ˈeː	ˈɔː	0.065
ˈeːu̯	ˈɛ	1.0
ˈi	ˈaɪ̯	0.408
ˈi	ˈɛ	0.215
ˈi	ˈɪ	0.163
ˈi	-	0.107
ˈi	ˈiː	0.08
ˈiː	ˈɪ	0.364
ˈiː	ˈɛː	0.214
ˈiː	ˈaɪ̯	0.162
ˈiː	ˈɔː	0.096
ˈiː	ˈaː	0.071
ˈiːu̯	ˈɛ	1.0
ˈoː	ˈɔː	0.27
ˈoː	ˈoː	0.264
ˈoː	ˈa	0.111
ˈoː	ə	0.075
ˈoː	ˈiː	0.073
ˈoːu̯	ˈa	0.384
ˈoːu̯	ˈuː	0.233
ˈoːu̯	ˈɔ	0.181
ˈoːu̯	ˈaː	0.077
ˈoːu̯	ˈʊ	0.058
ˈu	ˈʊ	0.392
ˈu	ˈaʊ̯	0.223
ˈu	ˈuː	0.223
ˈuː	ˈʊ	0.319
ˈuː	ˈaʊ̯	0.267
ˈuː	ˈuː	0.141
ˈuː	ˈaɪ̯	0.111
ˈuː	ˈoː	0.071
ˈyː	ˈaɪ̯	1.0
ˈœː	ˈeː	1.0
ˈɔ	ˈɔ	0.279
ˈɔ	ˈa	0.18
ˈɔ	ˈaː	0.136
ˈɔ	ˈɛ	0.136
ˈɔ	ˈɪ	0.136
ˈɔː	ˈa	0.538
ˈɔː	ˈɔː	0.122
ˈɔː	ˈɛː	0.081
ˈɔː	ˈɛ	0.07
ˈɔː	ˈaː	0.058
ˈɔːɪ̯	ˈɔɪ̯	0.494
ˈɛ	ˈa	0.262
ˈɛ	ˈoː	0.173
ˈɛ	ˈaɪ̯	0.122
ˈɛ	ˈɛ	0.122
ˈɛ	ˈɔː	0.118
ˈɛɪ̯	ˈiː	0.305
ˈɛɪ̯	ˈaɪ̯	0.188
ˈɛɪ̯	ˈoː	0.188
ˈɛɪ̯	ˈeː	0.097
ˈɛɪ̯	ˈɛ	0.074
ˈɛː	ˈɪ	0.341
ˈɛː	ˈaː	0.215
ˈɛː	ˈɔː	0.123
ˈɛː	ˈɛː	0.123
ˈɛː	ˈɛ	0.092
ˈɪ	ˈɪ	0.721
ˈɪ	ˈa	0.201
ˈɪ	ˈaɪ̯	0.075
ˈʊ	ˈʊ	0.424
ˈʊ	ˈɔ	0.215
ˈʊ	ˈɛ	0.21
ˈʊ	ˈɪ	0.071
ˈʊ	ˈaː	0.05
