Northern Low Saxon	Danish	probability
h	h	1.0
k	-	1.0
kʰ	kʰ	1.0
r	ʁ	1.0
tʰ	ʦʰ	1.0
z	s	1.0
ˈeː	ˈiː	1.0
ˈøː	ˈoˀ	1.0
l	l	0.731
t	ð̞ˠ	0.231
ˈoː	ˈɔː	0.171
ˈɔʏ̯	ˈøː	0.421
ˈɪ	ˈe	0.761
v	ʋ	0.942
ŋ	ə	0.252
ˈa	ˈɛ	0.12
ˈa	ˈa	0.252
ˈuː	ˈuˀ	0.662
ˈɔ	ˈœ	0.2
ˈʊ	ˈu	0.292
d	ʦʰ	0.153
f	-	0.163
n	nˀ	0.103
s	s_t	0.053
ç	ɡ̊	0.393
ŋ	ŋ_ə	0.33
ɡ	-	0.053
ɡ	ɡ̊	0.453
ʃ	s_k	0.643
ˈa	ˈɑ	0.23
ˈa	ə_#>	0.373
ˈaɪ̯	ˈeˀ	0.533
ˈaʊ̯	ˈoˀ	0.23
ˈiː	ˈiː	0.273
ˈoː	ˈœˀ	0.083
ˈoː	ˈɑː	0.193
ˈyː	ˈyˀ	0.843
ˈɛ	ˈe	0.763
ˈʏ	ˈø	0.443
d	d̥	0.184
m	m_ə	0.084
m	-	0.254
m	m	0.584
n	n_ə	0.14
x	j	0.84
ɡ	w	0.074
ˈaɪ̯	ˈyː	0.244
ˈɪ	ˈiˀ	0.114
b	b̥	0.915
n	-	0.245
ˈaʊ̯	ˈɔˀ	0.155
ˈaː	ˈa	0.445
ˈaː	ˈɑˀ	0.555
ˈoː	ˈʌ	0.075
ˈɔʏ̯	ˈœˀ	0.5
l	lˀ	0.206
n	n	0.496
x	t	0.16
ɐ	ə	0.06
ɐ	ʌ	0.186
ɐ	ɐ	0.746
ɡ	k	0.186
ɡ	j	0.206
ˈaʊ̯	ˈʌ	0.156
ˈoː	ˈɔˀ	0.386
ˈɪ	ˈeˀ	0.076
d	ð̞ˠ	0.57
s	s	0.947
ç	-	0.607
ʃ	s	0.357
ˈiː	ˈiˀ	0.727
ˈoː	-	0.057
ˈyː	ˈy	0.157
ˈɛ	j	0.237
ˈʏ	ˈœ	0.557
d	-	0.058
m	mˀ	0.078
v	-	0.058
ˈaɪ̯	ˈyˀ	0.198
ˈaʊ̯	ˈœˀ	0.18
ˈaʊ̯	ˈo	0.198
ˈuː	ˈuː	0.338
ˈɔ	ˈɛ	0.8
ˈʊ	ˈʌ	0.228
ˈʊ	ˈɔ	0.48
b	p	0.079
f	f	0.789
t	t	0.769
ŋ	ŋˀ	0.419
ˈɔʏ̯	ˈœ	0.079
