Min Bei	Min Bei	probability
⁵⁵	³²	1.0
⁵⁴	³³	1.0
ɥ	-	1.0
y_j	u	1.0
x_w	f	1.0
u_⁴²	m̩	1.0
tʰ	h	1.0
o	ɔ	1.0
m	ᵐb	1.0
l	l	1.0
kʰ	h	1.0
e_j	i	1.0
e	e_w	1.0
a_³³	a_²²	1.0
a_j	a	1.0
<#_ŋ	<#_ᵑɡ	1.0
<#_w	<#	1.0
<#_t	<#	1.0
#>	⁵⁵_#>	1.0
k	k	0.9
a	a	0.833
w	w	0.786
³³	²²	0.741
s	ɬ	0.583
²¹	⁵⁵	0.576
x	h	0.571
ʦʰ	tʰ	0.556
ʦ	t	0.556
n	ᵑɡ	0.556
⁴²	k̚_³²	0.5
œ	ᵑɡ_e	0.5
œ	-	0.5
t	ʦʰ	0.5
t	ʦ	0.5
j	j	0.471
p	p	0.455
ʦʰ	ʦʰ	0.444
n	ⁿd	0.444
ŋ	ŋ	0.438
ŋ	n	0.438
ɛ	ɔ_j	0.429
²⁴	t̚_⁵⁵	0.429
²⁴	k̚_⁵⁵	0.429
x	f	0.429
s	s	0.417
u	w	0.4
ɔ	ɵ	0.368
u	u	0.333
i	e_j	0.333
⁴²	³²	0.3
j	i	0.294
ɛ	-	0.286
y	ɵ	0.286
y	u_j	0.286
y	u	0.286
p	pʰ	0.273
p	f	0.273
i	e	0.267
ɔ	ɔ	0.263
²¹	²²	0.242
ʦ	ʦ	0.222
ʦ	tʰ	0.222
w	v	0.214
⁴²	-	0.2
ɔ	j_a	0.158
²¹	²¹	0.152
³³	³³	0.148
ɛ	j	0.143
ɛ	a	0.143
²⁴	k̚_³³	0.143
y	-	0.143
u	ɵ_k̚	0.133
u	-	0.133
i	u	0.133
i	j	0.133
i	-	0.133
ŋ	m	0.125
j	ɔ	0.118
j	a	0.118
³³	j_³³	0.111
ɔ	h_ɔ	0.105
ɔ	-	0.105
k	kʰ	0.1
a	ɔ	0.083
a	e	0.083
