East Franconian	Bokmål Norwegian	probability
β	-	1.0
ˈɘ	ˈøː	1.0
ˈuː_d̥	ˈøː	1.0
ˈaʊ̯	ˈʉː	1.0
ˈaɪ̯_d̥	ˈiː	1.0
ˈa	k_ˈɑ	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	ɾ	1.0
ɾ	ˈæː	1.0
ɪ	ɪ	1.0
ɣ	ˈæɪ̯	1.0
ɡ̊_n	ɡː	1.0
ə	ɾ	1.0
ɐ_ʦ	ʈː	1.0
ɐ_ç	ɾ_ɡ	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ɾ	1.0
ç_d̥	tː	1.0
z̥_n	t_ə	1.0
z̥	s_ə	1.0
x_d̥	tː	1.0
x	k	1.0
r	ɾ	1.0
n_ˈoː	n	1.0
n_d̥	nː	1.0
l_f	l_ʋ	1.0
l_d̥	lː	1.0
kʰ	kʰ	1.0
eː	ə_n	1.0
b̥͡v̥	pʰ	1.0
b̥	b	1.0
a	ə	1.0
v	ʋ	0.899
s	s	0.848
h	h	0.805
l	l	0.791
ˈuː	ˈuː	0.782
f	f	0.748
ˈoː	ˈoː	0.719
ˈeː	-	0.717
ˈɒ	ˈɑ	0.632
m	m	0.575
ˈʊ	ˈʉ	0.569
d̥	d	0.561
ç	-	0.559
ɡ̊	ɡ	0.548
ˈaɪ̯	ˈiː	0.533
ɐ	ɾ	0.533
ˈɛ	ˈɛ	0.532
ʃ	s	0.516
ˈɪ	ˈɪ	0.51
ʦ	tʰ	0.464
ɡ̊	-	0.452
ŋ	ŋː	0.45
ç	k	0.441
ˈaː	ˈæɪ̯	0.433
ʦ	tː	0.417
ˈiː	ˈyː	0.415
ˈɛ	-	0.398
n	nː	0.375
n	n	0.333
m	mː	0.301
ˈɔ	ˈʉ	0.293
ˈeː	ˈæɪ̯	0.283
d̥	-	0.278
ʃ	ʂ	0.277
ˈɔ	ˈuː	0.276
f	p	0.235
n	ə	0.233
ˈʊ	ˈɔ	0.227
ˈuː	ˈøː	0.218
ˈɪ	ˈʏ	0.216
ˈɔ	ˈɑ	0.216
ˈɔ	ˈœ	0.216
l	lː	0.209
ʃ	s_k	0.207
ˈaɪ̯	ˈɛ	0.203
ˈaː	ˈɛ	0.199
h	j	0.194
ˈiː	-	0.188
ˈɪ	-	0.183
ɐ	ə_ɾ	0.181
ˈoː	-	0.175
ŋ	ə	0.169
ŋ	ɡ_ə	0.161
ˈaɪ̯	ˈyː	0.153
s	tː	0.152
ˈaː	ˈøː	0.14
ˈɒ	ˈɔ	0.139
ˈʊ	-	0.134
ˈɒ	ˈɑː	0.133
ɐ	ɳ	0.125
m	ʋ	0.125
ŋ	n	0.123
ʦ	-	0.119
ˈiː	ˈœ	0.112
ˈiː	ˈiː	0.111
ˈaɪ̯	-	0.111
ˈiː	ˈeː	0.108
ˈoː	ˈɑ_nː	0.106
ɐ	ə	0.106
v	-	0.101
ˈɒ	ˈoː	0.096
ˈaː	ˈuː	0.096
ŋ	-	0.096
ˈɪ	ˈɛ	0.091
ˈaː	ˈeː	0.091
d̥	t	0.089
d̥	s	0.072
ˈʊ	ˈʏ	0.07
ˈɛ	j	0.07
ˈiː	ˈøː	0.067
ɐ	ɾ_ə	0.055
