Bellunese	Occitan	probability
f	f	1.0
m	m	1.0
n	n	1.0
p	p	1.0
u	y	1.0
w	-	1.0
ɲ	ɲ	1.0
ʧ	-	1.0
a	a	0.171
a	ɔ	0.721
b	b	0.981
o	-	0.1
r	ɾ	0.461
v	β	0.301
z	-	0.381
ŋ	n	0.121
d	-	0.152
t	-	0.072
t	t	0.72
ɡ	ɣ	0.362
ˈo	ɥ_ˈɛ	0.072
ˈo	ˈɔ	0.232
ˈo	ˈu	0.642
e	-	0.173
j	ʎ	0.133
j	l	0.663
r	-	0.163
v	v	0.533
ŋ	ɲ	0.083
ˈe	ˈɛ	0.253
ˈi	ˈi	0.983
l	-	0.104
t	w_t	0.084
ɡ	ʤ	0.134
ˈa	e	0.064
ˈo	ˈy	0.054
ˈɛ	ˈɛ	0.754
θ	s	0.914
a	-	0.055
r	r	0.255
s	e_s	0.165
ˈɔ	ˈɔ	0.655
i	-	0.076
i	i	0.736
l	l	0.896
o	w	0.226
s	j_s	0.06
s	s	0.736
v	-	0.166
z	ʦ	0.06
ŋ	m	0.26
ˈa	ˈa	0.936
ˈu	ˈu	0.326
ˈu	ˈy	0.636
ˈɔ	ˈa_w	0.296
i	e	0.187
k	k	0.97
o	ˈu	0.117
ˈe	ˈe	0.747
ˈɛ	e	0.147
o	u	0.278
ŋ	-	0.058
ŋ	ŋ	0.478
d	ð	0.289
d	d	0.559
e	ɾ_e	0.219
e	e	0.609
j	-	0.179
o	e	0.279
r	j_ɾ	0.09
t	ʧ	0.089
z	z	0.559
ð	ʒ	0.979
ɡ	ɡ	0.439
ˈɛ	j_ˈɛ	0.099
