Middle High German	Yiddish	probability
ˈɑː	ˈɔ	1.0
ˈøy̯	ˈɔɪ̯	1.0
ˈæː	ˈɛ	1.0
ˈyː	ˈaɪ̯	1.0
ˈyə̯	ˈɪ	1.0
ˈuː	ˈɔɪ̯	1.0
ˈuə̯	ˈʊ	1.0
ˈoː	ˈɔɪ̯	1.0
ˈou̯	ˈɔɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯	ˈɪ	1.0
ˈi	ˈɪ	1.0
ˈeː	ˈɛɪ̯	1.0
ˈe	ˈɛ	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɡ_r	ɡ_ʀ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ɑː	ˈɛ	1.0
ɑ	ə	1.0
ŋ	ŋ	1.0
xː	χ	1.0
x_s	k_s	1.0
x	χ	1.0
t	t	1.0
s̻ː	s	1.0
s̻	s	1.0
s_t	s_t	1.0
r	ʀ	1.0
p͡f	p	1.0
p	p	1.0
oː	a	1.0
nː_ə	n_ə	1.0
n_ə	n	1.0
n_d̥	n_t	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	k	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
fː	f	1.0
f	f	1.0
d	d	1.0
b	b	1.0
v	f	0.958
w	v	0.923
s	z	0.921
ˈu	ˈʊ	0.883
ˈɛ	ˈɛ	0.859
ˈei̯	ˈɛɪ̯	0.806
t_ə	t_ə	0.801
d̥	d	0.801
h	h	0.78
ˈo	ˈɔ	0.762
ˈɑ	ˈa	0.734
ɡ̊	ɡ	0.717
ˈy	ˈɪ	0.707
ə	-	0.699
r_ə	ʀ	0.617
r_ə	ə_ʀ	0.383
ˈy	ˈɛ	0.293
ə	ə	0.291
ɡ̊	k	0.283
ˈɑ	ˈɔ	0.266
h	-	0.22
t_ə	t	0.199
d̥	t	0.199
ˈei̯	-	0.194
ˈo	ˈʊ	0.162
ˈɛ	ˈa	0.141
ˈu	ˈɔ	0.117
s	-	0.079
w	-	0.077
ˈo	ˈɔɪ̯	0.076
