Polish	Kashubian	probability
a	a	1.0
b	b	1.0
d	d	1.0
f	f	1.0
i	i	1.0
l	l	1.0
n	n	1.0
p	p	1.0
s	s	1.0
t	t	1.0
v	v	1.0
w	w	1.0
w̃	-	1.0
x	x	1.0
z	z	1.0
ɕ	s	1.0
ʂ	ʃ	1.0
ʈ͡ʂ	ʧ	1.0
ʑ	z	1.0
ʥ	ʣ	1.0
ʦ	ʦ	1.0
ʨ	ʦ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈə	1.0
ɛ	-	0.351
ʐ	ʐ	0.811
ˈa	ˈa	0.531
m	m	0.82
ɔ	ɔ	0.542
ˈu	ˈu	0.92
ˈɔ	ˈu	0.072
ˈɛ	ˈa	0.192
ɡ	ʤ	0.223
ˈɔ	u̯ˈɛ	0.433
ˈɛ	ˈe	0.163
ˈɛ	ˈɛ	0.483
j	j	0.844
k	-	0.144
ɔ	u̯ˈɛ	0.134
ɛ	ɛ	0.384
ˈɛ	ˈə	0.104
ɨ	ə	0.155
ɨ	i	0.845
ɲ	ŋ	0.195
ɲ	-	0.25
ɲ	ɲ	0.555
j	-	0.156
k	k	0.856
ɛ	e	0.136
ɔ	õ	0.147
ɔ	u̯ɛ	0.177
ɡ	ɡ	0.777
ˈɔ	ˈɔ	0.407
m	m_ə	0.18
r	r	0.968
ˈu	w_ˈʉ	0.08
ˈɔ	ˈõ	0.088
ˈɛ	ˈɞ	0.058
ɛ	a	0.129
ʐ	ʒ	0.189
ˈa	ˈɞ	0.469
