Latin	Megleno-Romanian	probability
e	-	1.0
eː	i	1.0
f	f	1.0
i	-	1.0
j	ʒ	1.0
lʲː	-	1.0
m	m	1.0
nː	n	1.0
oː	ˈo	1.0
p	p	1.0
rː	r	1.0
tː	t	1.0
ɔ	u	1.0
ˈeː	e̯ˈa	1.0
ˈiː	ˈi	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
n	-	0.1
ŋ	n	0.81
ˈɔ	ˈo	0.451
ˈɛ	ˈa	0.381
ˈʊ	ˈu	0.931
ãː	ə	0.822
k	p	0.082
kʷ	ʦ	0.832
s	s	0.582
t	ʦ	0.182
ɡ	ɡ	0.452
ɡ	-	0.502
ˈa	ˈɔ	0.282
ˈoː	-	0.102
ˈɔ	w_ˈo	0.202
k	k	0.473
l	l	0.93
s	ʃ	0.183
ŋ	m	0.163
ʊ	u	0.063
b	b	0.664
k	ʦ	0.404
n	j_n	0.074
ɛ	-	0.134
ɫ	r	0.34
ˈɛ	e̯ˈa	0.054
a	-	0.385
a	ə	0.615
ãː	-	0.145
w	v	0.585
ʊ̃ː	ə	0.255
ˈɪ	ˈe	0.315
b	-	0.336
n	n	0.826
r	r	0.986
s	-	0.236
w	-	0.236
ɛ	i	0.866
ɛ̃ː	i	0.716
ɪ	-	0.066
ɪ	i	0.826
ˈaː	-	0.056
ˈɪ	ˈi	0.126
d	z	0.367
l	-	0.07
ɛ̃ː	-	0.107
ɫ	ʎ	0.137
ʊ	-	0.937
ʊ̃ː	ˈo	0.127
ˈa	ˈa	0.677
ˈaː	ˈa	0.237
ˈaː	ˈɔ	0.707
ˈɛ	ˈi	0.327
kʷ	p	0.168
t	t	0.818
ɛ̃ː	ə	0.178
ɪ	ə	0.108
ˈoː	o̯ˈa	0.898
ˈɔ	ˈu	0.288
ˈɛ	ˈe	0.238
ˈɪ	e̯ˈa	0.558
d	d	0.589
w	w	0.179
ɫ	l	0.479
ʊ̃ː	u	0.619
ˈɔ	o̯ˈa	0.059
ˈʊ	-	0.069
