Dutch	Scots	probability
b	b	0.941
b	-	0.059
d	d	0.635
d	θ	0.228
d	ð	0.133
f	f	0.636
f	-	0.265
f	v	0.075
j	j	1.0
k	k	0.588
k	kʰ	0.278
k	ʧ	0.067
k	-	0.06
l	l	1.0
m	m	1.0
n	n	0.6
n	-	0.399
n_s	s	1.0
n_t	θ	0.492
p	p	0.922
p	pʰ	0.07
s	s	0.718
s	ʃ	0.113
s	k_s	0.104
s	-	0.052
s	z	0.032
s_χ	ʃ	1.0
t	t	0.522
t	d	0.288
t	tʰ	0.104
t	θ	0.039
t	l_d	0.034
v	f	0.864
v	v	0.099
v	-	0.04
w	ˈɑː	0.66
w	ˈʉ	0.16
z	s	0.92
z	z	0.07
ŋ	ŋ	0.92
ŋ	-	0.077
ə	-	0.631
ə	ə	0.257
ə	əi̯	0.05
ɦ	h	1.0
ɪ	ˈɪ	0.282
ɪ	əi̯	0.282
ɫ	l	0.785
ɫ	ɫ	0.113
ɫ	-	0.093
ɾ	r	0.981
ʋ	w	0.844
ʋ	ʍ	0.152
ˈaː	ˈe	0.391
ˈaː	ˈiː	0.136
ˈaː	ˈɑ	0.097
ˈaː	j	0.082
ˈaː	ˈa	0.082
ˈeː	ˈe	0.379
ˈeː	ˈei̯	0.194
ˈeː	ˈɛ	0.089
ˈeː	ˈɪ	0.085
ˈeː	ˈəi̯	0.056
ˈi	ˈiː	0.406
ˈi	ˈɛ	0.153
ˈi	ˈe	0.141
ˈi	ˈɑː	0.081
ˈi	ˈʌʉ̯	0.056
ˈoː	ˈei̯	0.349
ˈoː	ˈɔ	0.218
ˈoː	ˈiː	0.121
ˈoː	ˈe	0.082
ˈoː	ˈəi̯	0.044
ˈu	ˈɪ	0.373
ˈu	ˈø	0.336
ˈu	ˈiː	0.129
ˈu	ˈi	0.085
ˈu	ˈʉ	0.066
ˈyː	ˈəi̯	0.276
ˈyː	ˈei̯	0.24
ˈyː	ˈe	0.136
ˈøː	ˈɔ	0.492
ˈœy̯	ˈʉ	0.758
ˈœy̯	ˈaːɪ̯	0.138
ˈœy̯	ˈɪ	0.093
ˈɑ	ˈɑː	0.224
ˈɑ	ˈɑ	0.182
ˈɑ	ˈɛ	0.167
ˈɑ	ˈɪ	0.142
ˈɑ	ˈe	0.119
ˈɑ_ɫ	ˈɑː	1.0
ˈɑu̯	ˈɑː	0.74
ˈɑu̯	ˈʌʉ̯	0.193
ˈɔ	ˈɔ	0.494
ˈɔ	ˈʉ	0.226
ˈɔ	ˈʌ	0.149
ˈɔ	ˈʌʉ̯	0.073
ˈɔ	ˈɪ	0.049
ˈɔ_ɾ	r	1.0
ˈɛ	ˈɪ	0.254
ˈɛ	ˈɛ	0.221
ˈɛ	ˈeː	0.151
ˈɛ	ˈi	0.087
ˈɛ	ˈɑ	0.087
ˈɛi̯	ˈəi̯	0.415
ˈɛi̯	ˈiː	0.197
ˈɛi̯	ˈe	0.142
ˈɛi̯	ˈɪ	0.068
ˈɛi̯	ˈɛ	0.064
ˈɪ	ˈɪ	0.805
ˈɪ	ˈəi̯	0.082
ˈɪ	ˈe	0.057
ˈɪ	ˈɛ	0.057
ˈʏ	ˈɪ	1.0
χ	-	0.423
χ	ɡ	0.317
χ	x	0.253
