Dutch	Scots	probability
b	b	1.0
f	v	1.0
j	j	1.0
m	m	1.0
v̥	f	1.0
ɦ	h	1.0
ˈyː	ə	1.0
ˈɑu̯	ˈɑː_l	1.0
ˈɪ	ˈɪ	1.0
ˈʏ	ˈɪ	1.0
s	ʃ	0.111
z	s	0.961
ʋ	w	0.821
ˈaː	ˈi	0.191
ˈeː	ˈiː	0.081
ˈoː	ˈiː	0.161
ˈoː	ˈi	0.261
ˈu	ˈø	0.411
ˈœy̯	ˈuː	0.141
ˈɛ	-	0.061
k	k	0.592
p	pʰ	0.262
ɾ	r	0.982
χ	-	0.302
d	ð	0.263
d	d	0.453
d̥	-	0.063
k	kʰ	0.283
t	tʰ	0.143
v	f	0.863
ʋ	ʍ	0.113
ˈeː	ˈe	0.493
ˈœy̯	ˈəi̯	0.093
ˈɑ	ˈɛ	0.173
ˈɔ	ˈu	0.063
ˈɛ	ˈeː	0.113
d	θ	0.284
ə	ə	0.494
ˈi	ˈi	0.44
χ	ç	0.194
k	ʧ	0.125
ˈaː	ˈeː	0.225
ˈeː	ˈeː	0.145
ˈoː	ˈɪ	0.25
ˈɑ	ˈɪ	0.065
ˈɑ	ˈeː	0.095
χ	ɡ	0.415
s	s	0.856
ə	-	0.506
ʋ	-	0.066
ˈi	ˈiː	0.56
ˈœy̯	ˈu	0.766
ˈɔ	ˈo	0.216
ˈɛi̯	ˈɛ	0.096
ˈɛi̯	ˈiː	0.276
t	t	0.857
v	v	0.067
v	-	0.07
ˈaː	ˈe	0.257
ˈɛ	ˈɪ	0.257
d̥	d	0.768
n	n	0.98
p	p	0.738
ˈaː	ˈa	0.08
ˈaː	ˈiː	0.128
ˈɛ	ˈɛ	0.528
ˈɛi̯	ˈəi̯	0.628
d̥	θ	0.169
ŋ	ŋ	0.989
ɫ	l	0.969
ˈaː	ˈʌ	0.119
ˈeː	ˈɛ	0.179
ˈoː	ˈo	0.29
ˈu	ˈɪ	0.199
ˈu	ˈi	0.39
ˈɑ	ˈɑː	0.179
ˈɑ	ˈa	0.449
ˈɔ	ˈʌ	0.69
χ	x	0.089
