Westphalian	Luxembourgish	probability
b	b	0.971
d	d	0.54
d	t	0.395
f	f	1.0
h	h	1.0
j	j	1.0
k	kʰ	0.371
k	ɕ	0.233
k	k	0.224
k	χ	0.144
l	l	0.993
m	m	0.937
n	n	0.924
p	f	0.708
p	p	0.216
p	f_ə	0.076
r	ʀ	0.956
s	z	0.502
s	s	0.358
s	ʃ	0.139
t	t	0.347
t	s	0.271
t	ʦ	0.249
t	s_ə	0.099
v	v_ə	0.428
v	-	0.304
v	w	0.167
v	v	0.086
w	v	0.737
w	w	0.263
x	ɡ	0.648
x	ɕ	0.201
x	χ	0.143
z	ʀ	0.601
z	z	0.303
z	s	0.095
ç	ɕ	1.0
ŋ	ŋ	0.841
ŋ	ə	0.107
ŋ	-	0.052
ɐ	ɐ	0.891
ɐ	ə	0.07
ɡ	-	1.0
ɣ	-	0.391
ɣ	k	0.391
ɣ	ŋ	0.218
ɪ	ə	1.0
ʃ	ʃ	1.0
ˈa	ˈɑ	0.468
ˈa	ˈaː	0.384
ˈa	ˈu	0.081
ˈaɪ̯	ˈəɪ̯	0.519
ˈaɪ̯	ˈi	0.173
ˈaɪ̯	ˈe	0.133
ˈaɪ̯	ˈeː	0.127
ˈaʊ̯	ˈaː	0.482
ˈaʊ̯	ˈəʊ̯	0.403
ˈaʊ̯	ˈæ	0.057
ˈaʊ̯	ˈəɪ̯	0.057
ˈaː	ˈaː	0.909
ˈaː	ˈoː	0.091
ˈeː	ˈeː	0.944
ˈeː	ˈəɪ̯	0.056
ˈiə̯	ˈə	1.0
ˈiɛ̯	ˈiə̯	1.0
ˈiː	ˈæːɪ̯	0.505
ˈiː	ˈə	0.205
ˈiː	ˈæɪ̯	0.161
ˈiː	ˈɑɪ̯	0.099
ˈoː	ˈu	0.646
ˈoː	ˈʊ	0.245
ˈoː	ˈəʊ̯	0.109
ˈuə̯	ˈu	0.5
ˈuə̯	ˈʊ	0.5
ˈuː	ˈæːʊ̯	0.56
ˈuː	ˈɑɪ̯	0.356
ˈuːə̯	ˈuː_ɐ	0.719
ˈuːə̯	ˈo	0.18
ˈuːə̯	ˈuə̯	0.101
ˈyə̯	ˈə	1.0
ˈyː	ˈɑɪ̯	0.573
ˈyː	ɐ	0.28
ˈyː	ˈæːɪ̯	0.146
ˈyːœ̯	ˈi	1.0
ˈø	ˈə	1.0
ˈøː	ˈəɪ̯	0.76
ˈøː	ˈe	0.14
ˈøː	ˈi	0.101
ˈœː	ˈəɪ̯	0.578
ˈœː	ʀ	0.422
ˈɒː	ˈuə̯	1.0
ˈɔ	ˈɑ	0.353
ˈɔ	ˈaː	0.277
ˈɔ	ˈuː	0.268
ˈɔ	ˈʊɪ̯	0.101
ˈɔː	ˈoː	0.646
ˈɔː	ˈəʊ̯	0.15
ˈɔː	ˈu	0.079
ˈɔː	ˈuː	0.078
ˈɛ	ˈɑ	0.242
ˈɛ	ˈə	0.242
ˈɛ	ˈɛ	0.16
ˈɛ	ˈiː	0.126
ˈɛ	ˈeː	0.093
ˈɛ	ˈaː	0.051
ˈɛː	ˈɛː	0.623
ˈɛː	ˈiː	0.244
ˈɛː	ˈaː	0.134
ˈɪ	ˈɑ	0.552
ˈɪ	ˈe	0.208
ˈɪ	ˈə	0.134
ˈɪə̯	ˈi	0.353
ˈɪə̯	ˈiː	0.353
ˈɪə̯	ˈuə̯	0.215
ˈɪə̯	ˈe	0.08
ˈɪɛ̯	ˈiə̯	0.346
ˈɪɛ̯	ˈiː	0.167
ˈɪɛ̯	ˈeː	0.149
ˈɪɛ̯	ˈəɪ̯	0.094
ˈɪɛ̯	ˈə	0.091
ˈɪɛ̯	ˈɛː	0.09
ˈɪɛ̯	ˈɛ	0.063
ˈʊ	ˈo	0.386
ˈʊ	ˈɔ	0.302
ˈʊ	ˈʊ	0.178
ˈʊ	ˈæːʊ̯	0.134
ˈʏ	ˈə	0.465
ˈʏ	ˈo	0.297
ˈʏ	ˈe	0.238
