Westphalian	Old West Norse	probability
ˈɪə̯	-	1.0
ˈɛː	j_ˈɔ	1.0
ˈɛ_m	mː	1.0
ˈɔ	ˈɑ	1.0
ˈɒː	ˈe_r	1.0
ˈœː	-	1.0
ˈøː	ˈøː	1.0
ˈyːœ̯	ˈy	1.0
ˈyː	ˈyː	1.0
ˈyə̯	ˈu	1.0
ˈuə̯	ˈo	1.0
ˈaː	ˈɑ	1.0
ɪ	-	1.0
ɣ	-	1.0
ŋ_k	kː	1.0
z	s	1.0
t_ʃ	ʦ	1.0
s	s	1.0
r	r	1.0
n_n	nː_ɑ	1.0
j	-	1.0
f	f	1.0
d_ɐ	ð_i	1.0
d_n	ð_ɑ	1.0
b	b	1.0
aɪ̯	ɑː	1.0
m	m	0.95
ˈʊ	ˈu	0.916
p	p	0.912
h	h	0.86
t	t	0.84
v	v	0.806
ˈeː	ˈɛi̯	0.79
ˈoː	ˈoː	0.785
ʋ	v	0.769
ŋ	ŋ	0.752
ˈɔː	ˈɑː	0.745
ˈuː	ˈuː	0.736
l	l	0.724
x	-	0.716
ˈiː	ˈiː	0.68
ˈiɛ̯	-	0.6
ʃ	s	0.591
ˈuːə̯	ˈo_r	0.564
ɐ	r	0.563
ˈa	ˈɑ	0.55
k	k	0.54
ˈɪ	ˈi	0.535
ə	ɑ	0.515
ˈʏ	-	0.506
ˈʏ	ˈy	0.494
ɡ	ɣ	0.489
ˈaʊ̯	ˈɑu̯	0.487
ˈɪɛ̯	ˈe	0.473
d̥	ð	0.471
ˈaʊ̯	-	0.445
ˈuːə̯	ˈo	0.436
ˈaɪ̯	-	0.43
d	d	0.414
ˈɛ	ˈe	0.407
n	n	0.402
ˈiɛ̯	ˈe	0.4
d	θ	0.383
ç	ɣ_r̥	0.343
ç	r̥	0.343
ˈɛ	-	0.328
ç	-	0.314
ɡ	ɟː	0.311
ˈaɪ̯	j_ˈuː	0.31
ə	-	0.303
x	ˈɑː	0.284
ˈɪɛ̯	j_ˈɔ	0.271
ˈɛ	ˈɑ	0.265
ˈuː	ˈu	0.264
ˈaɪ̯	j_ˈoː	0.26
ˈɪɛ̯	ˈɛ	0.257
ˈɔː	-	0.255
ʃ	s_c	0.253
ŋ	ɣ	0.248
k	c	0.243
ʋ	-	0.231
ˈɪ	-	0.224
l	lː	0.223
ˈoː	ˈɔː	0.215
ˈeː	-	0.21
d	ð	0.203
n	ɑ	0.202
ɡ	ʝː	0.2
ˈiː	ˈeː	0.194
ə	r̥	0.182
t	tː	0.16
ˈa	ˈɔ	0.159
ˈa	-	0.159
n	nː	0.157
ʃ	s_k	0.156
ˈɪ	ˈe	0.153
d̥	ð_r̥	0.147
ɐ	i_r̥	0.145
h	ç	0.14
ˈiː	ˈyː	0.127
k	cʰ	0.126
ɐ	r̥	0.122
d̥	d_r̥	0.122
v	-	0.118
k	cː	0.091
d̥	d	0.091
ˈɪ	ˈy	0.088
p	pː	0.088
ˈʊ	ˈuː	0.084
ɐ	r̥ː	0.082
n	n_d	0.078
v	x_w	0.076
ˈaʊ̯	ˈɒu̯	0.068
ˈa	ˈɑː	0.066
ˈa	ˈɛ	0.065
n	-	0.062
d̥	ɑ_ð	0.057
d̥	r̥	0.057
d̥	d_i	0.057
l	l̥	0.053
m	v_n	0.05
