Bellunese	Galician	probability
m	m	1.0
w	w	1.0
a	ɐ	0.721
d	ð	0.361
i	e	0.261
n	-	0.11
o	ɪ	0.091
ˈe	ˈɛ	0.071
ˈe	ˈi	0.111
ˈo	ˈɔ	0.231
ˈo	ˈo	0.721
ˈu	ˈo	0.111
ˈu	ˈu	0.671
d	d	0.602
o	-	0.102
r	r	0.112
t	t_ʊ	0.142
t	t_ɪ	0.2
z	-	0.202
ʧ	ʧ	0.122
ˈa	ˈe	0.062
ˈɔ	ˈo_j	0.072
ˈɔ	ˈɔ	0.672
ˈɛ	-	0.072
b	β	0.053
e	ˈe	0.213
e	e	0.263
j	ʧ	0.483
ŋ	-	0.053
ˈa	ˈa	0.683
ˈi	ˈi	0.913
k	k	0.94
o	ʊ	0.464
s	ʃ_ʊ	0.084
s	θ	0.174
t	ð	0.124
t	t	0.464
ð	ʃ	0.54
ŋ	n	0.304
ɲ	ɲ	0.224
ˈa	ˈɑ	0.214
ˈɛ	ˈe	0.084
f	f	0.975
l	l_ʊ	0.235
l	l	0.675
n	n	0.745
o	o	0.255
p	p	0.815
v	β	0.485
v	b	0.515
z	s	0.145
z	θ	0.485
ŋ	ɲ_ʊ	0.065
ŋ	ŋ	0.485
θ	-	0.055
θ	θ	0.945
e	i	0.076
e	j	0.126
ð	-	0.46
ɲ	-	0.776
ˈu	<#_a	0.06
ˈɛ	ˈe_j	0.076
a	a	0.147
b	b	0.947
e	ɪ	0.247
j	ʎ	0.477
ˈi	ˈe	0.087
ˈɔ	ˈo_w	0.117
a	-	0.078
n	ɲ	0.108
o	w	0.088
z	ʃ	0.168
ɡ	ɡ	0.398
ʧ	ʎ	0.878
ˈe	ˈe	0.818
ˈu	<#_e	0.158
ˈɔ	ˈo	0.138
ˈɛ	ˈɛ	0.768
i	i	0.739
l	-	0.09
p	-	0.149
r	ɾ	0.829
s	s	0.699
ɡ	ɣ	0.569
