Saterland Frisian	American English	probability
ˈʊ_x	ˈʌɪ̯	1.0
ˈɪ_x	ˈʌɪ̯	1.0
ˈɛː_r	ɹ	1.0
ˈɛɪ̯_t	ˈi_ʔ	1.0
ˈɛ_t	ʔ	1.0
ˈɛ	-	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoː_ɣ_ə_#>	#>	1.0
ˈoː_l	ˈoʊ̯_ɫ	1.0
ˈoː_k	ˈi_k	1.0
ˈiː_d	ˈaɪ̯_d	1.0
ˈi_#>	ˈi_#>	1.0
ˈeː_#>	ˈoʊ̯_#>	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈeɪ̯	1.0
ɪ_x	i	1.0
ɪ	-	1.0
ɣ	-	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
x_#>	#>	1.0
w	v	1.0
v_ə	v	1.0
t_ə	ɾ	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p	p	1.0
m	m	1.0
k_ə	k	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoː	ˈi	1.0
h	h	1.0
f	f	1.0
d_ə	ɹ	1.0
d_r	d_ɹ	1.0
b	b	1.0
a	-	1.0
<#_ˈa	<#	1.0
<#_ɣ	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_p	<#_pʰ	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#	<#_ɡ	1.0
n	n	0.915
s	s	0.9
v	w	0.893
ˈɪ	ˈɪ	0.846
ə	-	0.836
k	k	0.8
<#_k	<#_kʰ	0.8
d	d	0.765
ə_r	ɚ	0.714
ˈɛɪ̯	ˈi	0.688
j	-	0.667
l	ɫ	0.595
ˈʊ	ˈʌ	0.545
t	ʔ	0.51
ˈɛː	ˈɪ	0.5
ˈa	ˈɛ	0.5
ˈa	ˈæ	0.5
z	z	0.5
z	-	0.5
r	ɹ	0.447
ˈeː	ˈoʊ̯	0.438
ˈuː	ˈaʊ̯	0.435
ˈɔ	-	0.429
r	ɚ	0.421
ˈiː	ˈi	0.357
ˈiː	ˈaɪ̯	0.357
ˈuː	ˈʌ	0.348
ˈɔː	-	0.333
ˈaː	ˈɛ	0.333
ˈaː	ˈæ	0.333
ˈaː	-	0.333
ˈeː	ˈɛ	0.312
ˈoː	ˈɛ	0.304
l	l	0.297
ˈɔ	ˈɛə̯	0.286
ˈɔ	ˈɑ	0.286
ə_r	d_ɚ	0.286
t	t	0.286
ˈɔː	ˈɑ	0.278
ˈɔː	ˈeɪ̯	0.278
ˈʊ	ˈʊ	0.273
ˈoːu̯	ˈu	0.273
ˈoː	ˈi	0.261
ˈɛː	ˈæ	0.25
ˈɛː	-	0.25
ˈi	ˈʌɪ̯	0.25
ˈi	ˈɪ	0.25
ˈi	ˈi	0.25
ˈi	ˈaɪ̯	0.25
ˈeː	ˈi	0.25
x	ˈʌɪ̯	0.25
x	ʤ	0.25
x	f	0.25
x	-	0.25
k	-	0.2
j	ˈaɪ̯	0.2
<#_k	<#	0.2
d	θ	0.196
ˈɛɪ̯	-	0.188
ˈʊ	-	0.182
ˈoːu̯	ˈɛə̯	0.182
ˈoːu̯	-	0.182
ˈoː	-	0.174
t	θ	0.163
ˈɪ	ˈɛ	0.154
ˈiː	ˈɪ	0.143
ˈiː	ˈɑ	0.143
ˈoːu̯	ˈʊ	0.136
ˈoːu̯	ˈɔ	0.136
j	ˈɪ	0.133
ˈuː	ˈʌ_ð	0.13
ˈoː	ˈoʊ̯	0.13
ˈoː	ˈeɪ̯	0.13
ˈɛɪ̯	ɹ	0.125
ˈɔː	ˈɔ	0.111
v	w_ˈɔ	0.107
ˈoːu̯	ˈʌ	0.091
ˈuː	ˈaɪ̯	0.087
n	-	0.085
r	-	0.079
ə	ə	0.075
l	ˈoʊ̯_ɫ	0.054
l	-	0.054
r	ɹ_ˈɛ	0.053
