Aromanian	Aromanian	probability
ˈɨ_n	ˈa	1.0
ˈu_n	ˈu	1.0
ˈi_n	ˈe	1.0
ʧ	s	1.0
ʦ_i	s	1.0
ʎ_i	a	1.0
ʎ	ˈø_l	1.0
ʃ_t	s	1.0
ə_#>	#>	1.0
ə	a	1.0
ŋ	-	1.0
ç	f	1.0
w_ə	f	1.0
v	-	1.0
u_r	o_r	1.0
u_#>	#>	1.0
s	s	1.0
r_u	e_r	1.0
r_i_#>	#>	1.0
r_#>	l_#>	1.0
n_#>	#>	1.0
m_t	n_t	1.0
m_#>	m_#>	1.0
l_e̯ˈa	j_ˈa	1.0
k_ʎ	ʧ	1.0
k_r	k_r	1.0
j_#>	#>	1.0
i_r	ˈi	1.0
i_n	n	1.0
i_m	i_m	1.0
i_#>	#>	1.0
e̯ˈa_r	ˈe_r	1.0
b	b	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#_a_r	<#_r	1.0
f	f	0.846
t	t	0.75
m	m	0.733
u	o	0.714
k_#>	k_#>	0.714
n	n	0.704
p	p	0.692
ˈɨ	ˈa	0.667
w	-	0.667
p_t	t	0.667
e̯ˈa	ˈɛ	0.667
<#_a	<#	0.667
r	r	0.641
ˈa	ˈa	0.615
l	l	0.615
k	k	0.611
e_#>	#>	0.6
ˈe	ˈɛ	0.588
ˈo	ˈø	0.571
ɲ	m	0.571
ʃ	s	0.556
ˈi	ˈi	0.519
ʤ	z	0.5
ʤ	-	0.5
ɨ	ˈa	0.5
ɨ	-	0.5
ɡ	ʤ	0.5
ɡ	ɡ	0.5
i	e	0.48
ʦ	s	0.467
ʣ	z	0.462
ʃ	-	0.444
ɲ	ɲ	0.429
#>	l_#>	0.429
o̯ˈa	ˈɔ	0.4
e_#>	e_#>	0.4
ˈɨ	-	0.333
ʦ	-	0.333
w	f	0.333
p_t	ʧ	0.333
o̯ˈa	ˈu	0.333
d	t	0.333
d	d	0.333
d	-	0.333
<#_a	<#_r	0.333
i	-	0.32
ʣ	d	0.308
ˈe	ˈe	0.294
ˈo	ˈɔ	0.286
u	-	0.286
k_#>	#>	0.286
#>	k_#>	0.286
#>	a_#>	0.286
o̯ˈa	-	0.267
m	-	0.267
t	d	0.25
ʣ	-	0.231
p	-	0.231
l	j	0.231
n	-	0.222
ˈu	ˈø	0.212
ˈu	ˈu	0.212
ʦ	k	0.2
e̯ˈa	ˈi	0.2
ˈi	ˈe	0.185
ˈi	-	0.185
ˈu	ˈy	0.182
ˈu	ˈo	0.182
l	-	0.154
f	-	0.154
ˈo	-	0.143
k	ɡ	0.139
k	p	0.139
e̯ˈa	ˈe	0.133
ˈa	ˈo	0.128
ˈu	-	0.121
i	i	0.12
ˈe	-	0.118
ˈi	j	0.111
ˈa	ˈɛ	0.103
r	-	0.103
ˈu	ˈe	0.091
i	a	0.08
ˈa	ˈe	0.077
ˈa	-	0.077
r	ˈi	0.077
r	l	0.077
p	w	0.077
n	ŋ	0.074
k	ʤ	0.056
k	k_a	0.056
r	ˈɔ	0.051
r	r_a	0.051
