Old Norse	Dutch	probability
a	ə	0.781
a	ˈɑu̯	0.219
b	b	0.989
c	χ	0.583
c	k	0.307
c	-	0.11
cʰ	k	1.0
cː	k	1.0
d	d	0.611
d	t	0.372
f	v	0.923
f	f	0.077
h	ɦ	0.969
i	ə	0.68
i	-	0.32
j	ˈi	0.458
j	ˈeː	0.332
j	ˈɔ	0.11
j	-	0.099
k	k	0.696
k	-	0.231
k	s	0.057
kʰ	k	0.846
kʰ	v	0.154
kː	k	0.572
kː	ŋ_k	0.428
l	ɫ	0.827
l	ə_ɫ	0.116
l	-	0.057
lː	ɫ	0.829
lː	ˈɑu̯	0.171
l̥	ɫ	1.0
m	m	1.0
mː	f	0.658
mː	m	0.342
n	n	0.938
nː	n	0.86
nː	t	0.072
nː	-	0.069
p	p	1.0
pː	p	1.0
r	-	0.529
r	ɾ	0.432
rː	ɾ	1.0
r̥	ɾ	1.0
s	z	0.506
s	s	0.397
s	n_s	0.061
sː	s	1.0
t	t	1.0
tʰ	t	0.939
tʰ	b	0.061
tː	χ_t	0.93
tː	t	0.07
u	ə	0.456
u	ɪ	0.324
u	n	0.114
u	-	0.107
v	ʋ	0.493
v	v	0.214
v	f	0.183
v	s	0.056
ç	ɦ	0.94
ç	ʋ	0.06
ð	t	0.515
ð	-	0.265
ð	d	0.22
ŋ	ŋ	0.88
ŋ	n	0.12
ɑ	ə	0.965
ɑː	i	1.0
ɟ	χ	0.958
ɟː	χ	1.0
ɡ	-	0.5
ɡ	χ	0.445
ɡ	k	0.055
ɡː	χ	0.868
ɡː	-	0.132
ɣ	χ	1.0
ɾ	-	1.0
ʝː	χ	1.0
ʦ	t	1.0
ˈa	ˈɑ	0.678
ˈa	ˈaː	0.322
ˈe	ˈɛ	0.498
ˈe	ˈeː	0.245
ˈe	ˈaː	0.14
ˈe	ˈɪ	0.117
ˈeː	ˈi	0.613
ˈeː	ˈɛi̯	0.174
ˈeː	ˈɪ	0.081
ˈeː	ˈɛ	0.056
ˈi	ˈɪ	0.69
ˈi	ˈɛi̯	0.136
ˈi	ˈeː	0.094
ˈi	ˈɛ	0.08
ˈiː	ˈɛi̯	0.542
ˈiː	ˈi	0.221
ˈiː	ˈɪ	0.146
ˈiː	ˈeː	0.091
ˈo	ˈoː	0.668
ˈo	ˈɔ	0.303
ˈoː	-	0.417
ˈoː	ˈu	0.381
ˈoː	ˈɪ	0.084
ˈoː	ˈɔ	0.068
ˈoː	ˈi	0.05
ˈu	ˈɔ	0.553
ˈu	ˈʏ	0.135
ˈu	ʋ_ˈɔ	0.126
ˈu	ˈoː	0.057
ˈuː	-	0.53
ˈuː	ˈœy̯	0.372
ˈuː	ˈyː	0.098
ˈy	ˈoː	0.39
ˈy	ˈʏ	0.331
ˈy	ˈɪ	0.158
ˈy	ˈɔ	0.068
ˈy	ˈœy̯	0.052
ˈyː	ˈyː	0.356
ˈyː	ˈi	0.32
ˈyː	ˈɛi̯	0.15
ˈyː	ˈu	0.106
ˈøy̯	ˈoː	1.0
ˈøː	ˈu	0.759
ˈøː	ˈɛ	0.241
ˈɑ	ˈɑ	0.616
ˈɑ	ˈaː	0.197
ˈɑ	ˈɛ	0.109
ˈɑ	ˈɑu̯	0.054
ˈɑu̯	ˈoː	0.909
ˈɑu̯	ə	0.091
ˈɑː	ˈaː	0.503
ˈɑː	ˈoː	0.216
ˈɑː	ˈɑ	0.122
ˈɑː	-	0.105
ˈɒu̯	ɾ	0.744
ˈɒu̯	ˈoː	0.256
ˈɔ	ˈɑ	0.372
ˈɔ	-	0.346
ˈɔ	ˈaː	0.174
ˈɔː	ˈu	1.0
ˈɛ	ˈɑ	0.371
ˈɛ	ˈɛ	0.211
ˈɛ	ˈi	0.148
ˈɛ	ˈeː	0.087
ˈɛ	ˈøː	0.087
ˈɛ	ˈɛi̯	0.066
ˈɛi̯	ˈeː	0.847
ˈɛi̯	ˈɛi̯	0.153
ˈɛː	ˈeː	0.801
ˈɛː	ˈɑ	0.199
θ	d	1.0
