Palatine German	East Franconian	probability
β_ə	m	1.0
ˈɛ̃ː	-	1.0
ˈɛ_ɐ	ˈɘ	1.0
ˈɑ̃ː	ˈoː	1.0
ˈɑ̃ɪ̯	ˈaɪ̯	1.0
ˈɑːɪ̯	ˈɛː	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈuː	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈiː_n	1.0
ˈiː	ˈiː	1.0
ˈi	ˈiː	1.0
ˈẽː	ˈeː	1.0
ˈau̯̯	ˈaʊ̯	1.0
ˈau̯	ˈaʊ̯	1.0
ʣ̥	ʦ	1.0
ʃ_d̥	s_d̥	1.0
ɪ_ʃ	ç	1.0
ɪ	ɪ	1.0
ɑ	a	1.0
ɐ_n	ɐ_n	1.0
ɐ_d̥	ɐ_d̥	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
r_ə	ɐ_n	1.0
n_ʃ	n_ʃ	1.0
n_ɐ	n_ɐ	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
eː	eː	1.0
d̥_ɐ	d̥_ɐ	1.0
d̥	d̥	1.0
f	f	0.973
n	n	0.958
ˈaɪ̯	ˈaɪ̯	0.926
ˈu	ˈʊ	0.908
ɡ̊	ɡ̊	0.894
ˈɪ	ˈɪ	0.886
ˈɛ	ˈɛ	0.886
β	v	0.885
b̥	b̥	0.854
ˈɑ	ˈɒ	0.847
x	x	0.818
r	r	0.809
ˈɔ	ˈɔ	0.801
ɣ̊	ɣ̊	0.8
j	ŋ	0.703
s	s	0.694
ˈoː	ˈoː	0.581
ʃ	ʃ	0.568
ə	n	0.513
ˈɑː	ˈoː	0.48
ˈɛː	ˈaː	0.474
ˈɑː	ˈaː	0.433
ˈoː	ˈuː	0.419
ˈeː	-	0.415
ʃ	ç	0.346
ə	a	0.321
s	z̥	0.306
ˈɛː	ˈɛː	0.302
j	j	0.297
ˈeː	ˈeː	0.295
ˈeː	ˈiː	0.29
ɣ̊	ɣ	0.2
ˈɔ	ˈʊ	0.199
r	ɾ	0.191
x	-	0.182
β	β	0.115
ˈɑ	-	0.115
ˈɪ	ˈiː	0.114
ˈɛ	ˈeː	0.114
ˈɛː	-	0.113
ə	ŋ	0.113
ˈɛː	ˈɛ	0.11
ɡ̊	-	0.106
b̥	b̥͡v̥	0.095
ˈu	-	0.092
ˈɑː	ˈɒ	0.087
ʃ	-	0.086
ˈaɪ̯	-	0.074
ə	-	0.053
b̥	-	0.051
