Proto-Germanic	Proto-Germanic	probability
ˈɑː	-	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑi̯	ˈæi̯	1.0
ˈĩː	ˈiə̯	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈi_j	ˈei̯	1.0
ˈeː	ˈiə̯	1.0
ɸ_#>	fː_#>	1.0
ɣ_ɑ	ɡ̊	1.0
ɣ_j	kː	1.0
ɣ	ɡ̊	1.0
ɡʷ	-	1.0
ɛː	ə	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɑ̃_#>	#>	1.0
ɑː_n	ə	1.0
ɑi̯	-	1.0
ɑ_ɣ	i_ɡ̊	1.0
ɑ_z_#>	#>	1.0
ɑ_n	ə	1.0
ŋ	ŋ	1.0
ð	tː	1.0
z_#>	#>	1.0
z	r	1.0
x_t	χː_tː	1.0
x_s	χː_sː	1.0
u	-	1.0
tː	-	1.0
t_ɑ	sː	1.0
t_s	sː	1.0
sː	sː	1.0
s_ɑ̃	z̥	1.0
s_#>	#>	1.0
r_n	r_n	1.0
r_#>	r_#>	1.0
pː	-	1.0
nː	n	1.0
n_ɑ	ə	1.0
n_i	ˈøː_n	1.0
n_d	ŋ	1.0
n_#>	#>	1.0
mː	m	1.0
m_ɔːː	m_ə	1.0
lː_ɑ	l	1.0
k_ˈu	ɣ̊	1.0
k_ɑ_z_#>	#>	1.0
k_s	χː	1.0
k_i	χː	1.0
jː	ˈæi̯	1.0
j	-	1.0
iː	-	1.0
i_z	ə_r	1.0
i_s	ʃː	1.0
i	-	1.0
e_x	æ	1.0
e	ə	1.0
b	b̥	1.0
<#_θ	<#_d̥	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_x	<#	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_r	1.0
<#_p	<#_p͡f	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_ɣ̊	1.0
<#_j	<#_j	1.0
<#_d	<#_tː	1.0
<#	<#_ɡ̊	1.0
l	l	0.973
r	r	0.926
ɸ	v̥	0.92
m	m	0.913
n	n	0.88
x	h	0.815
p	fː	0.8
β	b̥	0.786
ˈuː	ˈuː	0.786
w	ʋ	0.781
d	d̥	0.778
ɔː	ə	0.769
θ	d̥	0.765
ɡ	-	0.714
<#_ˈɑ	<#_ˈɒ	0.714
s	z̥	0.703
t	sː	0.684
ˈi	ˈi	0.655
ˈeu̯	ˈyː	0.625
ˈɛː	ˈɒː	0.6
s_t	ʃː_tː	0.6
ˈɔː	ˈuə̯	0.588
s_k	ʒ̊	0.583
ˈɑ	ˈɒ	0.578
ɔ̃ː	ə	0.556
k	χː	0.545
ˈe	ˈæ	0.538
n_ɑ̃_#>	#>	0.538
xʷ	ʋ	0.5
xʷ	-	0.5
<#_ˈu	<#_ˈu	0.5
<#_ˈu	<#	0.5
ɑ	ə	0.462
n_ɑ̃_#>	ə_#>	0.462
k	kː	0.455
ɔ̃ː	-	0.444
s_k	ʃː	0.417
ˈɑu̯	ˈoː	0.412
ˈɑu̯	ˈau̯	0.412
s_t	ʒ̊_tː	0.4
ˈu	ˈu	0.39
ˈu	ˈo	0.39
ɑ	-	0.385
ˈeu̯	-	0.375
t	ʦ	0.316
ˈɔː	ˈyə̯	0.294
ɡ	ɡ̊	0.286
<#_ˈɑ	<#	0.286
s	ʒ̊	0.243
θ	tː	0.235
ɔː	-	0.231
ˈɑ	ˈɒː	0.222
d	tː	0.222
β	-	0.214
ˈuː	-	0.214
ˈɛː	ˈoː	0.2
ˈɛː	-	0.2
p	p͡f	0.2
ˈɑu̯	-	0.176
ˈɑ	ˈæ	0.156
w	-	0.156
ˈe	ˈæː	0.154
ˈe	ˈi	0.154
ˈe	-	0.154
ɑ	r	0.154
ˈi	ˈy	0.138
ˈi	-	0.138
ˈu	ˈy	0.122
n	-	0.12
ˈɔː	ˈyː	0.118
x	-	0.111
ˈu	ˈoː	0.098
m	-	0.087
ɸ	fː	0.08
x	χː	0.074
ˈi	ˈiː	0.069
w	ʋ_ˈø	0.062
s	-	0.054
