Dutch	Dutch	probability
χ_ˈɛ	ˈa	1.0
χ_ə	ŋ	1.0
ˈɑu̯	ˈɒ_l	1.0
ˈøː	ˈoː	1.0
ˈyː	ˈaɪ̯	1.0
ˈu_t	ˈiː_s	1.0
ˈoː_ɾ	ˈɘ	1.0
ˈoː_m	ˈʊ_m	1.0
ˈeː_n_#>	ˈaː_#>	1.0
ˈaː_p	ˈɒ_f	1.0
ʋ	v	1.0
ɾ_d̥	ɐ_d̥	1.0
ɫ	l	1.0
ɪ	-	1.0
ɦ	h	1.0
ə_ɾ	ɐ	1.0
ə_v̥	f_a	1.0
z̥	s	1.0
v_ə	β	1.0
t_ə	z̥	1.0
s_χ	ʃ	1.0
s_t	ʃ_d̥	1.0
p_ə	v̥	1.0
n_d	n	1.0
m	m	1.0
k_ə	ɡ̊	1.0
j	j	1.0
i_n	eː	1.0
d_ɾ	d̥_r	1.0
b	b̥	1.0
<#_n	<#_n	1.0
#>	ɐ_#>	1.0
d̥	d̥	0.935
v	f	0.926
d	d̥	0.913
ə	-	0.9
ˈi	ˈiː	0.875
ˈu	ˈuː	0.846
ŋ	ŋ	0.818
ˈœy̯	ˈaʊ̯	0.75
n	n	0.746
z	s	0.704
ə_n	a	0.7
ˈɪ	ˈɪ	0.696
ˈɛi̯	ˈaɪ̯	0.688
s	ʃ	0.684
ˈɑ	ˈɒ	0.677
ˈʏ	ˈɪ	0.667
ˈɛ	ˈɛ	0.632
χ	ɡ̊	0.621
ˈaː	ˈoː	0.619
ˈɔ	ˈʊ	0.609
v̥	b̥	0.6
d_ə	d̥	0.6
χ_t	x_d̥	0.571
k	ɡ̊	0.567
p	f	0.556
ɾ	ɐ	0.547
t	ʦ	0.455
p	b̥͡v̥	0.444
χ_t	ç_d̥	0.429
d_ə	d̥_n	0.4
ˈɔ	ˈɔ	0.391
ɾ	r	0.358
ˈeː	ˈaː	0.348
ˈoː	ˈuː	0.346
ˈʏ	ˈɛ	0.333
t	s	0.303
ə_n	m	0.3
ˈoː	ˈaː	0.269
ˈeː	ˈeː	0.261
ˈœy̯	ˈaɪ̯	0.25
z	ʃ	0.222
ˈɪ	ˈiː	0.217
ˈeː	-	0.217
t	d̥	0.212
ˈɛ	-	0.211
n	-	0.211
v̥	β	0.2
v̥	f	0.2
k	x	0.2
ˈɑ	ˈoː	0.194
ˈoː	ˈɔ	0.192
ˈaː	ˈɛ	0.19
ˈɛi̯	ˈaː	0.188
ŋ	ç	0.182
ˈeː	ˈɛ	0.174
χ	x	0.172
k	ç	0.167
ˈɛ	ˈɪ	0.158
s	ɡ̊_s	0.158
s	s	0.158
ˈu	ˈiː	0.154
ˈaː	-	0.143
χ	ç	0.138
ˈɛi̯	-	0.125
ˈi	ˈaɪ̯	0.125
ˈoː	ˈeː	0.115
ə	ɐ	0.1
ˈɪ	ˈaɪ̯	0.087
d	-	0.087
ˈoː	ˈoː	0.077
z	-	0.074
v	-	0.074
χ	-	0.069
k	-	0.067
ˈɑ	ˈɛ	0.065
ˈɑ	ˈɔ	0.065
d̥	-	0.065
ɾ	ɾ_ɐ	0.057
