Occitan	Asturian	probability
<#	<#_ɡ	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_l	<#_ʎ	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_u	<#_o	1.0
<#_v	<#_b	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ɡ_w	1.0
<#_ʤ	<#_ʃ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈy	<#_ˈu	1.0
a	a	1.0
i	i	1.0
j_#>	j_#>	1.0
j_ɾ	ð_ɾ	1.0
j_ˈɛ	ˈe	1.0
k_ɔ	k_a	1.0
l_#>	l_#>	1.0
m	m	1.0
m_b	m_b	1.0
n_d	n	1.0
p_#>	β_u	1.0
r_k	ɾ_k	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_#>	u_#>	1.0
t_ɾ	t_ɾ	1.0
u_l	o_l	1.0
v	β	1.0
w_ɾ	β	1.0
ð	ð	1.0
ŋ	ɡ	1.0
ŋ_k	ŋ_k	1.0
ɔ_#>	a_#>	1.0
ɡ	w	1.0
ɣ	ɣ	1.0
ɲ_ɔ	ɲ_a	1.0
ɾ_e	ɾ	1.0
ʎ	ʝ	1.0
ʎ_ɔ	ʝ_a	1.0
ʦ_#>	θ_#>	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ˈa_j	a_θ	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	ˈo	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈa_β	ˈa_β	1.0
ˈe	ˈe	1.0
ˈe_j	ˈe	1.0
ˈe_k	ˈe_k	1.0
ˈe_ʎ	ˈe_ʝ	1.0
ˈi_#>	ɾ_#>	1.0
ˈu_n	ˈo_n	1.0
ˈy	ˈu	1.0
ˈɔ_k	ˈe_u	1.0
ˈɛ_l	ˈe_ʝ	1.0
β	β	1.0
β_ɾ	β_ɾ	1.0
<#_k	<#	0.061
e_#>	e_#>	0.391
r	r	0.111
r	-	0.111
z	s	0.571
ɥ	w	0.571
ˈa	ˈa_ɣ	0.051
#>	e_#>	0.2
<#_p	<#_p	0.862
l	ɾ	0.062
l	-	0.062
l	ʝ	0.062
s	θ	0.312
t	ð	0.182
<#_ˈa	<#	0.333
e_#>	u_#>	0.13
n	l	0.083
n	ɲ	0.083
n	n	0.833
ɾ	-	0.103
ˈa	ˈa_n	0.103
ˈu	ˈu	0.133
#>	ɾ_#>	0.124
<#_s	<#_s	0.714
j	j	0.714
ʧ_#>	ʧ_e_#>	0.4
ˈɛ	j_ˈe	0.714
e	o	0.15
e	e	0.85
k_#>	k_u_#>	0.5
k_#>	u_#>	0.5
l	l	0.375
s	ʃ	0.125
s	p	0.125
u	u	0.385
u	o	0.615
w	ˈo	0.235
ʤ	ˈe	0.5
ʤ	ʝ	0.5
ˈi	ˈu	0.065
ˈɔ	ˈo	0.105
ˈɔ	w_ˈe	0.895
#>	ŋ_#>	0.086
<#_s	<#_θ	0.286
j	-	0.286
ʧ_#>	u_#>	0.6
ˈɛ	ˈe	0.286
<#_ˈa	<#_ˈa	0.667
ˈa	ˈe	0.077
ˈi	ˈe	0.097
ˈu	ˈo	0.867
<#_p	<#	0.138
e_#>	ɾ_#>	0.478
l	ʎ	0.438
r	ɾ	0.778
s	s	0.438
t	t	0.818
w	o	0.118
w	-	0.118
#>	u_#>	0.59
<#_k	<#_k	0.939
w	β	0.529
z	θ	0.429
ɥ	-	0.429
ɾ	θ	0.069
ɾ	ˈe	0.069
ɾ	ɾ	0.759
ˈa	ˈa	0.769
ˈi	ˈi	0.839
