Old English	Scots	probability
a	-	1.0
b	b	0.944
bː	-	1.0
d	d	0.827
d	ð	0.103
d	-	0.07
dː	d	1.0
e	ə	0.52
e	ˈəi̯	0.407
e	ɪ	0.061
eo̯	ˈei̯	1.0
f	f	0.954
h	h	1.0
i	-	0.435
i	əi̯	0.366
i	i	0.12
i	e	0.08
iː	əi̯	1.0
iːy̯	iː	1.0
j	j	0.464
j	ɡ	0.198
j	ˈəi̯	0.198
j	ˈe	0.1
k	k	0.752
k	kʰ	0.248
kː	k	1.0
l	l	0.952
lː	-	1.0
l̥	l	1.0
m	m	0.951
mː	m	1.0
n	n	0.974
nː	n	1.0
o	ə	0.869
o	-	0.095
p	p	0.837
p	pʰ	0.163
pː	p	1.0
r	r	0.937
r	-	0.063
rː	r	1.0
r̥	r	1.0
s	s	1.0
t	t	0.812
t	tʰ	0.175
tː	t	1.0
u	e	1.0
v	v	0.728
v	-	0.272
w	w	0.809
w	-	0.167
x	x	1.0
z	z	0.933
z	s	0.067
ç	x	0.894
ç	-	0.106
ð	ð	0.607
ð	d	0.393
ŋ	ŋ	1.0
ɑ	-	0.965
ɡ	ɡ	0.86
ɡ	-	0.14
ɣ	-	0.864
ɣ	ç	0.124
ɫ	l	0.651
ɫ	ɫ	0.231
ɫ	-	0.119
ʃ	ʃ	1.0
ʃː	s	1.0
ʍ	ʍ	1.0
ʤ	ɡ	1.0
ʤː	-	1.0
ʧ	k	0.374
ʧ	ʧ	0.284
ʧ	-	0.242
ʧ	kʰ	0.1
ˈe	ˈei̯	0.278
ˈe	ˈɛ	0.249
ˈe	-	0.228
ˈe	ˈi	0.081
ˈe	ə	0.071
ˈeo̯	ˈɛ	0.486
ˈeo̯	ˈoe̯	0.225
ˈeo̯	j	0.114
ˈeo̯	ˈʌ	0.09
ˈeo̯	ˈɪ	0.057
ˈeː	ˈiː	0.596
ˈeː	ˈi	0.233
ˈeː	ˈɛ	0.099
ˈeː	ˈɪ	0.072
ˈeːo̯	ˈiː	0.507
ˈeːo̯	ˈɛ	0.093
ˈeːo̯	ˈei̯	0.076
ˈeːo̯	ˈɪ	0.071
ˈeːo̯	-	0.056
ˈeːo̯	ˈʌʉ̯	0.056
ˈi	ˈɪ	0.724
ˈi	ˈəi̯	0.123
ˈi	ˈi	0.054
ˈiy̯	ˈɑː	0.5
ˈiy̯	ˈɛ	0.5
ˈiː	ˈəi̯	0.714
ˈiː	ˈɪ	0.112
ˈiː	ɹ	0.082
ˈiː	ˈaːɪ̯	0.082
ˈiːy̯	ˈiː	0.363
ˈiːy̯	ˈɛ	0.261
ˈiːy̯	ˈei̯	0.245
ˈiːy̯	ˈe	0.071
ˈiːy̯	j	0.061
ˈo	ˈɔ	0.887
ˈo	ˈʌʉ̯	0.113
ˈoː	ˈø	0.697
ˈoː	ˈɪ	0.183
ˈoː	ˈɔ	0.12
ˈu	ˈʌ	0.561
ˈu	ˈʉ	0.228
ˈu	ˈɔ	0.211
ˈuː	ˈʉ	0.87
ˈuː	ˈʉː	0.085
ˈy	ˈɪ	0.802
ˈy	-	0.198
ˈyː	ˈəi̯	0.418
ˈyː	ˈaːɪ̯	0.311
ˈyː	ˈɪ	0.271
ˈæ	ˈe	0.484
ˈæ	ˈeː	0.155
ˈæ	ˈɑ	0.118
ˈæ	ˈɛ	0.107
ˈæ	ˈɪ	0.078
ˈæ	ˈɑː	0.059
ˈæɑ̯	ˈɛ	0.586
ˈæɑ̯	ˈɑː	0.32
ˈæɑ̯	ˈɑ	0.071
ˈæː	ˈɛ	0.35
ˈæː	ˈe	0.264
ˈæː	ˈɑ	0.151
ˈæː	ˈiː	0.147
ˈæː	ˈei̯	0.052
ˈæːɑ̯	ˈei̯	0.442
ˈæːɑ̯	ˈiː	0.18
ˈæːɑ̯	ˈɛ	0.169
ˈæːɑ̯	ˈi	0.102
ˈæːɑ̯	ˈeː	0.063
ˈɑ	ˈɑ	0.46
ˈɑ	ˈɑː	0.329
ˈɑ	ˈe	0.182
ˈɑː	ˈe	0.631
ˈɑː	ˈɑː	0.171
ˈɑː	ˈeː	0.154
ˈɛ	ˈɛ	1.0
θ	θ	0.931
θ	d	0.058
