Alsatian	Yiddish	probability
b̥	b	1.0
d̥	d	0.51
d̥	t	0.449
d̥	-	0.052
e	-	0.521
f	f	0.964
f	v	0.044
h	h	1.0
i	ɪ	0.725
i	n	0.268
i_ʃ	χ	0.271
j	ɡ	0.422
j	-	0.278
j	j	0.22
k	k	1.0
kʰ	k	0.915
kʰ	-	0.086
l	l	0.964
m	m	0.95
m	n	0.057
n	n	0.983
p͡f	p	1.0
s	z	0.581
s	s	0.418
t	t	0.971
t	-	0.038
v	b	0.561
v	ɡ	0.292
w	v	1.0
x	χ	1.0
ŋ	ŋ	1.0
ə	ə	0.473
ə	n	0.43
ə	ɡ_ə	0.046
ɡ̊	ɡ	0.906
ɡ̊	k	0.092
ʁ	ʀ	0.841
ʁ	ə_ʀ	0.061
ʁ	ʀ_ə	0.056
ʁ	ʁ	0.044
ʁ_i	ʀ	1.0
ʃ	ʃ	0.562
ʃ	χ	0.215
ʃ	s	0.083
ʃ	ʧ	0.069
ʃ	d	0.048
ʋ	v	0.924
ʋ	-	0.075
ʦ	ʦ	1.0
ˈai̯	ˈɔɪ̯	0.271
ˈaː	ˈɔ	0.521
ˈe	ˈɛ	0.852
ˈe	ˈɪ	0.145
ˈei̯	ˈaɪ̯	0.683
ˈei̯	ˈɪ	0.235
ˈeː	ˈɛ	0.496
ˈeː	ˈɛɪ̯	0.359
ˈeː	ˈɪ	0.129
ˈi	ˈɪ	0.78
ˈi	ˈaɪ̯	0.165
ˈi	ˈɛ	0.055
ˈiː	ˈaɪ̯	0.525
ˈiː	ˈɪ	0.472
ˈo	ˈɔ	0.627
ˈo	ˈɔɪ̯	0.192
ˈo	ˈʊ	0.167
ˈoː	ˈɔɪ̯	0.487
ˈoː	ˈɔ	0.402
ˈoː	ˈʊ	0.107
ˈu	ˈʊ	0.744
ˈu	ˈɔ	0.123
ˈu	ˈɪ	0.118
ˈyː	ˈɔɪ̯	1.0
ˈæ	ˈɛ	0.815
ˈæ	ˈa	0.157
ˈæː	ˈɛ	1.0
ˈø	ˈɔɪ̯	0.521
ˈøi̯	ˈɔɪ̯	1.0
ˈøː	ˈʊ	0.521
ˈœ	ˈɔɪ̯	1.0
ˈɒ	ˈa	0.816
ˈɒ	ˈɔ	0.134
ˈɒ	ˈɛ	0.049
ˈɒː	ˈɔ	0.584
ˈɒː	ˈa	0.391
ˈɔi̯	ˈɔɪ̯	0.271
ˈəi̯	ˈɛɪ̯	1.0
ˈɛ	ˈɛ	1.0
ˈʊː	ˈʊ	0.599
ˈʊː	ˈɔɪ̯	0.394
