Alsatian	Yiddish	probability
b̥	b	1.0
d̥	d	0.572
d̥	t	0.394
e	-	1.0
eː	-	1.0
f	f	0.976
h	h	1.0
i	ɪ	0.842
i	-	0.158
j	ɡ	0.551
j	j	0.3
j	-	0.148
k	k	1.0
kʰ	k	0.943
kʰ	-	0.057
l	l	1.0
m	m	0.974
n	n	0.989
p͡f	p	1.0
s	z	0.596
s	s	0.404
t	t	0.979
v	b	0.569
v	ɡ	0.431
w	v	1.0
x	χ	1.0
ŋ	ŋ	1.0
ə	ə	0.567
ə	n	0.406
ɡ̊	ɡ	0.88
ɡ̊	k	0.12
ʁ	ʀ	1.0
ʃ	ʃ	0.656
ʃ	χ	0.147
ʃ	k	0.093
ʋ	v	0.988
ʦ	ʦ	1.0
ˈai̯	ˈɔɪ̯	1.0
ˈaː	ˈɔ	0.558
ˈaː	ˈaɪ̯	0.442
ˈe	ˈɛ	0.898
ˈe	ˈa	0.054
ˈei̯	ˈaɪ̯	0.486
ˈei̯	ˈɛɪ̯	0.332
ˈei̯	ˈɪ	0.182
ˈeː	ˈɛ	0.457
ˈeː	ˈɛɪ̯	0.379
ˈeː	ˈɪ	0.164
ˈi	ˈɪ	0.844
ˈi	ˈaɪ̯	0.1
ˈi	ˈɛ	0.056
ˈiː	ˈɪ	0.588
ˈiː	ˈaɪ̯	0.412
ˈo	ˈɔ	0.614
ˈo	ˈʊ	0.253
ˈo	ˈɔɪ̯	0.134
ˈoː	ˈɔ	0.532
ˈoː	ˈɔɪ̯	0.31
ˈoː	ˈʊ	0.158
ˈu	ˈʊ	0.68
ˈu	ˈɔ	0.259
ˈu	ˈɪ	0.052
ˈyː	ˈɔɪ̯	1.0
ˈæ	ˈɛ	0.767
ˈæ	ˈa	0.233
ˈæː	ˈɛ	1.0
ˈø	ˈɔɪ̯	1.0
ˈøi̯	ˈɔɪ̯	1.0
ˈøː	ˈʊ	1.0
ˈœ	ˈɔɪ̯	1.0
ˈɒ	ˈa	0.828
ˈɒ	ˈɔ	0.133
ˈɒː	ˈɔ	0.587
ˈɒː	ˈa	0.413
ˈɔi̯	ˈɔɪ̯	1.0
ˈəi̯	ˈɛɪ̯	1.0
ˈɛ	ˈɛ	1.0
ˈʊː	ˈʊ	0.553
ˈʊː	ˈɔɪ̯	0.447
