Yiddish	West Frisian	probability
b	b	0.658
b	-	0.157
b	v	0.126
b	f	0.053
d	t	0.417
d	-	0.347
d	d	0.162
d	ʦ	0.06
d_z	s	1.0
f	f	0.704
f	p	0.261
f	v	0.036
h	h	1.0
j	j	1.0
k	k	0.601
k	χ	0.132
k	ʦ	0.092
k	ɣ	0.054
k	h	0.048
l	l	0.952
l	-	0.045
l_t	t	1.0
m	m	0.953
m	n	0.051
n	n	0.576
n	ə	0.199
n	-	0.186
n	j_ə	0.033
n_d	n	1.0
n_t	n	0.501
p	-	0.425
p	p	0.244
p	t	0.141
s	t	0.741
s	s	0.254
t	t	0.605
t	d	0.296
t	-	0.073
v	ʋ	0.526
v	v	0.311
v	-	0.156
z	s	0.791
z	z	0.117
z	ɕ	0.088
ŋ	ŋ	0.852
ŋ	n	0.141
ə	ə	0.455
ə	-	0.376
ə	ˈuə̯	0.069
ə	ɪ	0.04
ə	ˈɪə̯	0.039
ɛ	ə	1.0
ɡ	-	0.446
ɡ	ɡ	0.298
ɡ	χ	0.085
ɡ	ɣ	0.064
ɡ	z	0.049
ɪ	ə	0.519
ɪ	ɪ	0.441
ʀ	r	0.881
ʀ	-	0.067
ʀ_ɛ	r	1.0
ʀ_ʦ	t	1.0
ʁ	r	1.0
ʃ	s	0.624
ʃ	s_k	0.372
ʎ	j	1.0
ʦ	t	0.933
ʦ	ʦ	0.066
ʧ	s_k	1.0
ˈa	ˈa	0.403
ˈa	ˈɔː	0.167
ˈa	ˈɛ	0.105
ˈa	ˈɪə̯	0.078
ˈa	ˈɛː	0.078
ˈa_l	ˈɔː	1.0
ˈaɪ̯	ˈiː	0.284
ˈaɪ̯	j	0.26
ˈaɪ̯	ˈɛ_j	0.138
ˈaɪ̯	ˈi	0.138
ˈaɪ̯	ˈyː	0.058
ˈi	ˈuə̯	0.501
ˈɔ	ˈa	0.164
ˈɔ	ˈɔ	0.158
ˈɔ	ˈiə̯	0.138
ˈɔ	ˈaː	0.128
ˈɔ	ˈɪ	0.076
ˈɔ_ɡ	ˈɛi̯	1.0
ˈɔ_ʀ	ˈoə̯	0.501
ˈɔɪ̯	ˈuː	0.393
ˈɔɪ̯	ˈɪə̯	0.374
ˈɔɪ̯	ˈaː	0.057
ˈɔɪ̯	ˈɛ	0.057
ˈɔɪ̯	ˈeː	0.05
ˈɔɪ̯_t	ˈɪə̯	1.0
ˈɛ	ˈaː	0.148
ˈɛ	ˈeː	0.112
ˈɛ	ˈɪ	0.109
ˈɛ	j	0.109
ˈɛ	ˈɪə̯	0.103
ˈɛ_ɡ	ˈɛi̯	1.0
ˈɛɪ̯	ˈiə̯	0.498
ˈɛɪ̯	ˈaː	0.126
ˈɛɪ̯	ˈi	0.126
ˈɛɪ̯	j	0.126
ˈɛɪ̯	ˈɛː	0.069
ˈɪ	ˈɪ	0.428
ˈɪ	ˈɔ	0.124
ˈɪ	ˈi	0.081
ˈɪ	ˈiə̯	0.076
ˈɪ	ˈiː	0.056
ˈʊ	ˈuə̯	0.332
ˈʊ	ˈɔ	0.229
ˈʊ	ˈoː	0.157
ˈʊ	ˈoə̯	0.134
ˈʊ	ˈuː	0.061
χ	χ	0.536
χ	k	0.296
χ	k_ə	0.092
χ	-	0.065
