Yiddish	West Frisian	probability
a	ə	1.0
b	b	0.619
b	-	0.176
b	f	0.115
b	v	0.09
d	t	0.567
d	-	0.237
d	d	0.154
f	f	0.685
f	p	0.277
h	h	1.0
j	j	1.0
k	k	0.563
k	ɣ	0.109
k	ʦ	0.099
k	χ	0.091
k	-	0.086
l	l	0.971
m	m	0.942
n	n	0.637
n	ə	0.175
n	-	0.132
n	j_ə	0.055
p	p	0.61
p	t	0.26
p	-	0.13
s	t	0.681
s	s	0.272
t	t	0.62
t	d	0.303
t	-	0.077
v	ʋ	0.507
v	v	0.401
v	-	0.092
z	s	0.879
z	ɕ	0.093
ŋ	ŋ	0.872
ŋ	n	0.128
ə	ə	0.577
ə	-	0.281
ə	ˈuə̯	0.132
ɛ	ə	1.0
ɡ	ɡ	0.326
ɡ	-	0.27
ɡ	ŋ	0.151
ɡ	ɣ	0.109
ɡ	χ	0.076
ɡ	z	0.068
ɪ	ɪ	0.679
ɪ	ə	0.321
ʀ	r	0.832
ʀ	-	0.086
ʃ	s	1.0
ʦ	t	0.931
ʦ	ʦ	0.069
ʧ	s	1.0
ˈa	ˈa	0.346
ˈa	ˈɔː	0.2
ˈa	ˈaː	0.155
ˈa	ˈɛ	0.069
ˈa	ˈoə̯	0.064
ˈa	ˈɛː	0.056
ˈaɪ̯	ˈiː	0.27
ˈaɪ̯	j	0.233
ˈaɪ̯	ˈi	0.137
ˈaɪ̯	ˈøə̯	0.085
ˈaɪ̯	ˈɛ_j	0.074
ˈaɪ̯	ˈɛ	0.056
ˈɔ	ˈiə̯	0.177
ˈɔ	ˈoə̯	0.171
ˈɔ	ˈɔ	0.116
ˈɔ	ˈa	0.103
ˈɔ	ˈɪ	0.073
ˈɔ	ˈy	0.06
ˈɔ	ˈiː	0.059
ˈɔ	ˈuə̯	0.054
ˈɔ	ˈaː	0.052
ˈɔɪ̯	ˈɪə̯	0.446
ˈɔɪ̯	ˈuː	0.282
ˈɛ	ˈɪ	0.167
ˈɛ	ˈɛ	0.133
ˈɛ	ˈeː	0.132
ˈɛ	ˈɪə̯	0.112
ˈɛ	ˈø	0.107
ˈɛ	ˈɛi̯	0.093
ˈɛ	ˈiə̯	0.079
ˈɛ	ˈaː	0.07
ˈɛɪ̯	ˈiə̯	0.515
ˈɛɪ̯	ˈɪ	0.177
ˈɛɪ̯	ˈɪə̯	0.132
ˈɛɪ̯	ˈaː	0.121
ˈɪ	ˈɪ	0.399
ˈɪ	ˈi	0.108
ˈɪ	j	0.099
ˈɪ	ˈiː	0.097
ˈɪ	ˈiə̯	0.09
ˈɪ	ˈɔ	0.057
ˈʊ	ˈɔ	0.299
ˈʊ	ˈuə̯	0.16
ˈʊ	ˈu	0.16
ˈʊ	ˈoː	0.104
ˈʊ	ˈoə̯	0.091
ˈʊ	ˈuː	0.072
χ	k	0.459
χ	χ	0.458
χ	-	0.083
