Palatine German	Palatine German	probability
β_ə	v_n	1.0
ˈɛ̃ː	ˈɛː_n	1.0
ˈɛ_ʃ	ˈɑ_s	1.0
ˈɛ_ɐ	ɾ	1.0
ˈɑ̃ː	-	1.0
ˈɑːɪ̯	ˈɛː	1.0
ˈɑ_s	ˈɒː_t	1.0
ˈɑ_l	ˈu	1.0
ˈuː	ˈuə̯	1.0
ˈõː	ˈøː_n	1.0
ˈĩː	ˈuə̯_n	1.0
ˈẽː	ˈiə̯_n	1.0
ˈau̯	ˈyː	1.0
ʣ̥	t	1.0
ʃ_β	z_ʋ	1.0
ʃ_#>	k_#>	1.0
ɪ_ʃ	ç	1.0
ɡ̊_ˈɑ	ɦ_ˈɑ	1.0
ɡ̊_s	s	1.0
ɡ̊_r	ɦ_ɾ	1.0
ɡ̊_#>	ɦ_ə_#>	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
x_#>	k_ə_#>	1.0
m	m	1.0
kʰ	k	1.0
f_#>	p_#>	1.0
eː	iə̯	1.0
d̥_ɐ	t_ɾ	1.0
<#_ɡ̊	<#	1.0
<#_n	<#_n	1.0
<#_h_ˈu	<#_ˈu	1.0
<#_h	<#	1.0
f	v	0.9
β	ʋ	0.889
r	ɾ	0.852
ɐ	ɾ	0.848
ə	n	0.846
ˈɑ	ˈɑ	0.8
ˈiː	ˈiə̯	0.8
n	n	0.771
l	l	0.762
ɡ̊	k	0.75
ɪ	-	0.667
#>	ɦ̥_#>	0.625
ʃ	s	0.586
ˈoː	ˈoː	0.571
b̥	b	0.56
ˈɪ	ˈɪ	0.538
ˈɛ	ˈæ	0.5
x	h	0.5
j	ɦ	0.5
j	j	0.5
s	z	0.488
ˈɔ	ˈɔ	0.462
ˈoː	ˈɒː	0.429
ˈaɪ̯	ˈi	0.421
ˈɛː	ˈɛː	0.4
ˈɛː	ˈeː	0.4
ˈɔ	ˈoː	0.385
#>	k_#>	0.375
d̥	d̥	0.373
d̥	d	0.373
ˈɑː	ˈoː	0.333
ˈu	ˈɔ	0.333
ˈeː	ˈeː	0.333
ɪ	ɪ	0.333
x	k	0.3
s	t	0.293
b̥	v̥	0.28
ˈɛ	ˈeː	0.278
ˈɑː	ˈɒː	0.278
ˈɑː	ˈɑ	0.278
d̥	t	0.254
ˈu	ˈu	0.25
ˈu	-	0.25
ɡ̊	-	0.25
l	w	0.238
ˈeː	ˈɛː	0.222
ˈeː	ˈoː	0.222
ˈeː	ˈiə̯	0.222
ˈaɪ̯	ˈiə̯	0.211
ʃ	ʃ_h	0.207
ˈɛː	ˈɒː	0.2
ˈiː	ˈuə̯	0.2
x	ɦ_ə	0.2
s	z̥	0.171
ˈu	ˈuə̯	0.167
b̥	p	0.16
ˈaɪ̯	ˈyː	0.158
ˈɪ	ˈœ	0.154
ˈɔ	ˈœ	0.154
ɐ	ə_ɾ	0.152
n	n_d	0.143
ˈɪ	ˈɛ	0.115
ˈɪ	-	0.115
β	v	0.111
ˈɛ	ˈɛ	0.111
ˈɛ	-	0.111
ˈɑː	-	0.111
ˈaɪ̯	ˈɛ	0.105
ˈaɪ̯	-	0.105
ʃ	ɦ̥	0.103
ʃ	h	0.103
ˈɑ	ˈɒː	0.1
ˈɑ	-	0.1
f	p	0.1
n	-	0.086
ˈɪ	ˈæ	0.077
ə	ə_n	0.077
ə	ə	0.077
r	d	0.074
r	-	0.074
