Ligurian	Italian	probability
a	a	0.928
b	b	1.0
d	d	0.915
d	t	0.072
e	e	0.719
e	e_r	0.108
e	i	0.084
f	f	0.981
i	i	0.803
i	-	0.093
i	e	0.058
j	-	0.239
j	e_r	0.211
j	r	0.153
j	j	0.099
j	e	0.088
j	r_e	0.06
k	k	0.97
l	l	1.0
m	m	0.925
n	n	0.935
n	m	0.058
o	o	1.0
p	p	0.969
r	r	0.807
r	-	0.119
r	l	0.074
s	s	0.614
s	ʧ	0.264
s	ʦ	0.053
t	t	0.97
u	o	0.851
u	l_o	0.103
v	v	0.761
v	p	0.176
w	w	0.363
w	o_r	0.158
w	o_l	0.15
w	ˈo	0.141
w	-	0.113
w	t	0.075
y	u	1.0
z	ʤ	0.76
z	z	0.14
ŋ	n	0.61
ŋ	n_o	0.193
ŋ	ŋ	0.12
ɔː	w	0.419
ɔː	u	0.364
ɔː	o	0.217
ɡ	ɡ	0.564
ɡ	k	0.306
ɡ	d	0.08
ɡ	-	0.05
ɥ	w	1.0
ɲ	ɲ	0.78
ɲ	n	0.158
ɲ	ŋ	0.062
ʃ	ʃ	0.414
ʃ	s	0.391
ʃ	f_j	0.155
ʒ	ʧ	0.813
ʒ	-	0.083
ʒ	v	0.064
ʤ	ʎ	0.311
ʤ	b	0.196
ʤ	k	0.191
ʤ	ɡ	0.106
ʤ	-	0.075
ʤ	ʤ	0.071
ʧ	j	0.662
ʧ	-	0.128
ʧ	ʧ	0.128
ʧ	p	0.082
ˈa	ˈa	0.978
ˈaː	ˈa_r	0.41
ˈaː	ˈa	0.402
ˈaː	ˈa_l	0.084
ˈaː	-	0.053
ˈaː	r_ˈa	0.052
ˈe	ˈe	0.614
ˈe	ˈɛ	0.287
ˈe	ˈi	0.083
ˈeː	ˈɛ	0.712
ˈeː	ˈe	0.082
ˈeː	a	0.074
ˈeː	ˈu	0.074
ˈeː	i	0.059
ˈi	ˈi	0.716
ˈi	ˈe	0.099
ˈi	ˈɛ	0.098
ˈi	ˈi_ʎ	0.053
ˈiː	ˈi	0.454
ˈiː	ˈi_r	0.321
ˈiː	j	0.105
ˈiː	ˈi_l	0.067
ˈiː	-	0.053
ˈu	ˈo	0.603
ˈu	w	0.181
ˈu	ˈu	0.145
ˈuː	ˈo	0.635
ˈuː	ˈo_l	0.184
ˈuː	l_ˈo	0.098
ˈuː	ˈu	0.082
ˈy	ˈu	0.752
ˈy	ˈu_ɲ	0.11
ˈy	ˈe	0.076
ˈy	r	0.062
ˈyː	ˈu	0.51
ˈyː	ˈu_r	0.253
ˈyː	ˈo	0.237
ˈø	ˈɔ	0.713
ˈø	ˈo	0.158
ˈø	a	0.129
ˈøː	w_ˈɔ	0.489
ˈøː	ˈɔ	0.411
ˈøː	ˈu	0.101
ˈɔ	ˈɔ	0.936
ˈɔ	o	0.064
ˈɔː	ˈɔ	0.955
ˈɛ	ˈi	0.527
ˈɛ	ˈɛ	0.359
ˈɛ	ˈe	0.097
ˈɛː	ˈɛ	0.404
ˈɛː	ˈa	0.31
ˈɛː	ˈa_t	0.146
ˈɛː	ˈe	0.068
ˈɛː	ˈɛ_r	0.053
