German	Luxembourgish	probability
b	b	0.745
b	v	0.173
b	-	0.073
d	d	0.874
d	-	0.069
d	t	0.054
f	f	0.965
f	v	0.035
h	h	1.0
j	j	0.489
k	k	0.647
k	-	0.215
k	χ	0.078
k	ɕ	0.045
kʰ	kʰ	1.0
l	l	1.0
m	m	0.97
m	z	0.039
n	n	0.91
n	-	0.046
n	ŋ	0.043
n_d	n	1.0
p	f	0.582
p	-	0.173
p	p	0.111
p͡f	p	0.644
p͡f	f	0.239
s	s	0.805
s	ʃ	0.147
s	t	0.044
t	t	0.903
t	d	0.051
t	-	0.047
tʰ	d	0.933
tʰ	tʰ	0.066
v	v	0.592
v	w	0.317
v	-	0.086
x	χ	0.505
x	ɕ	0.311
x	ʃ	0.152
z	z	0.765
z	s	0.232
ç	ɕ	0.935
ç	k	0.064
ŋ	ŋ	1.0
ɐ	ɐ	0.928
ɐ	-	0.048
ɐ	ʀ	0.032
ɐ_n	ʀ	1.0
ə	-	0.613
ə	ə	0.373
ɡ	ɡ	0.794
ɡ	-	0.125
ɡ	ʑ	0.072
ɪ	ə	0.805
ɪ	e	0.154
ʁ	ʀ	0.949
ʁ	-	0.051
ʃ	ʃ	0.963
ʃ	z	0.042
ʦ	ʦ	1.0
ˈa	ˈaː	0.48
ˈa	ˈɑ	0.357
ˈa	ˈæ	0.082
ˈa	ˈuə̯	0.073
ˈa_ɐ	ˈaː	1.0
ˈaɪ̯	ˈeː	0.455
ˈaɪ̯	ˈæːɪ̯	0.33
ˈaɪ̯	ˈæɪ̯	0.07
ˈaɪ̯	ˈiː	0.053
ˈaɪ̯	ˈɑɪ̯	0.045
ˈaʊ̯	ˈaː	0.507
ˈaʊ̯	ˈæːʊ̯	0.485
ˈaː	ˈoː	0.333
ˈaː	ˈaː	0.218
ˈaː	ˈuə̯	0.149
ˈaː	ˈu	0.129
ˈaː	ˈɑ	0.085
ˈaː_ɡ	ˈoː	1.0
ˈeː	ˈəɪ̯	0.318
ˈeː	ˈeː	0.169
ˈeː	ˈi	0.116
ˈeː	ˈiə̯	0.097
ˈeː	ˈe	0.097
ˈiː	ˈəɪ̯	0.59
ˈiː	ˈiː	0.2
ˈiː	ˈɑɪ̯	0.174
ˈiː	ˈi	0.036
ˈiː_ɡ	ˈəɪ̯	0.489
ˈoː	ˈəʊ̯	0.593
ˈoː	ˈu	0.158
ˈoː	ˈuə̯	0.137
ˈoː	ˈəɪ̯	0.075
ˈuː	ˈu	0.417
ˈuː	ˈʊ	0.359
ˈuː	ˈəʊ̯	0.208
ˈyː	ˈəɪ̯	0.441
ˈyː	ˈi	0.234
ˈyː	ˈe	0.163
ˈøː	ˈəɪ̯	0.733
ˈøː	ˈi	0.185
ˈœ	ˈiə̯	0.66
ˈœ	ˈə	0.157
ˈɔ	ˈo	0.53
ˈɔ	ˈaː	0.2
ˈɔ	ˈuː	0.078
ˈɔ	ˈɑ	0.078
ˈɔ	ˈʊɪ̯	0.078
ˈɔɪ̯	ˈeː	1.0
ˈɔʏ̯	ˈɑɪ̯	0.674
ˈɔʏ̯	ˈe	0.106
ˈɔʏ̯	ˈæːɪ̯	0.103
ˈɔʏ̯	ˈə	0.074
ˈɛ	ˈɛː	0.231
ˈɛ	ˈɛ	0.196
ˈɛ	ˈiə̯	0.185
ˈɛ	ˈə	0.126
ˈɛ	ˈiː	0.11
ˈɛː	ˈəɪ̯	0.683
ˈɛː	ˈiː	0.22
ˈɪ	ˈɑ	0.396
ˈɪ	ˈə	0.324
ˈɪ	ˈe	0.126
ˈɪ	ˈiː	0.086
ˈɪ	ˈi	0.05
ˈʊ	ˈuː	0.315
ˈʊ	ˈo	0.268
ˈʊ	ˈɔ	0.228
ˈʊ	ˈɑɪ̯	0.086
ˈʊ	ˈʊ	0.084
ˈʏ	ˈə	0.562
ˈʏ	ˈe	0.334
ˈʏ	ˈiː	0.062
