German	Luxembourgish	probability
a	-	1.0
eː	e	1.0
j	j	1.0
kʰ	kʰ	1.0
p	p	1.0
ʦ	ʦ	1.0
b̥	v̥	0.781
ŋ	ɡ̊	0.111
ʁ	ʀ	0.861
ˈaʊ̯	ˈæːʊ̯	0.281
ˈaʊ̯	ˈaː	0.411
ˈeː	ˈoː	0.051
ˈeː	ˈe	0.091
ˈeː	ˈeː	0.141
ˈeː	ˈi	0.141
ˈeː	ˈɜɪ̯	0.311
ˈoː	ˈu	0.101
ˈyː	ˈiː	0.131
ˈyː	ˈe	0.301
ˈʊ	ˈuː	0.231
v	-	0.082
ç	ɕ	0.92
ɐ	ʀ	0.062
ɐ	ɐ	0.812
ə	-	0.072
ə	ə	0.302
ɡ̊	χ	0.662
ɪ	e	0.242
ˈa	ˈaː	0.482
ˈaʊ̯	ˈɑʊ̯	0.202
ˈaː	ˈɑ	0.062
ˈuː	ˈʊ	0.252
ˈøː	ˈi	0.232
ˈɔ	ˈu	0.122
ˈɔʏ̯	ˈə	0.12
ˈɛ	ˈiː	0.082
ˈɛ	ˈə	0.192
ˈɛː	ˈɜɪ̯	0.802
ˈʏ	ˈe	0.32
b̥	ə_v̥	0.193
d̥	d	0.073
d̥	-	0.073
h	h	0.953
p͡f	pʰ	0.373
ɡ	-	0.453
ˈaɪ̯	ˈæːɪ̯	0.433
ˈaː	ˈoː	0.413
ˈeː	ˈiə̯	0.093
ˈuː	ˈi	0.063
ˈœ	ˈiə̯	0.793
ˈɔʏ̯	ˈɑɪ̯	0.43
ˈɛ	ˈɛ	0.163
ˈʊ	ˈo	0.373
d	d	0.734
k	k	0.954
x	χ	0.514
ˈa	ˈɑ	0.404
ˈyː	ˈi	0.144
ˈɪ	ˈɑ	0.554
ˈʊ	ˈɔ	0.194
b	b	0.755
d̥	d̥	0.855
f	f	0.885
m	m	0.955
s	ʃ	0.125
s	s	0.835
t	d̥	0.265
tʰ	d	0.955
z	s	0.135
z	z	0.865
ˈa	ˈæ	0.075
ˈaɪ̯	ˈeː	0.475
ˈaʊ̯	ˈo	0.05
ˈaː	ˈuə̯	0.125
ˈiː	ˈɑɪ̯	0.15
ˈiː	ˈɜɪ̯	0.575
ˈuː	ˈu	0.405
ˈyː	ˈɜɪ̯	0.425
ˈɔʏ̯	ˈe	0.205
ˈɔʏ̯	ˈeː	0.205
ˈɪ	ˈe	0.135
ˈʏ	ˈə	0.665
l	l	0.996
n	n	0.896
p͡f	f	0.26
x	ɕ	0.486
ˈoː	ˈəʊ̯	0.806
ˈʊ	ˈə	0.066
ˈʊ	ˈɑɪ̯	0.066
b	-	0.097
d	-	0.247
p͡f	p	0.367
t	t	0.627
ɐ	-	0.127
ˈaː	ˈaː	0.197
ˈeː	ˈiː	0.157
ˈoː	ˈɜɪ̯	0.077
ˈœ	ˈə	0.207
ˈɔ	ˈaː	0.097
b	v	0.138
f	ə_f	0.068
v	v	0.628
ç	k	0.08
ə	ˈɑɪ̯	0.068
ə	ɐ	0.558
ɡ̊	ɕ	0.338
ɪ	ə	0.758
ʃ	ʃ	0.978
ˈiː	ˈiː	0.228
ˈøː	ˈɜɪ̯	0.768
ˈɛ	ˈiə̯	0.058
ˈɛ	ˈɛː	0.218
ˈɛ	ˈæ	0.228
ˈɛː	ˈiː	0.198
ˈɪ	ˈiː	0.058
ˈɪ	ˈə	0.218
n	-	0.059
t	d	0.089
v	w	0.29
ŋ	ŋ	0.889
ɡ	ɡ	0.539
ʁ	-	0.059
ʁ	ə_ʀ	0.079
ˈaː	ˈu	0.179
ˈuː	ˈo	0.089
ˈuː	ˈəʊ̯	0.19
ˈɔ	ˈo	0.639
ˈɛ	ˈeː	0.059
ˈʊ	ˈʊ	0.069
