Xiang	Xiang	probability
⁴⁵	⁵⁵	1.0
ʦʰ	ʦʰ	1.0
ʐ	ɲ	1.0
ʂ	s	1.0
ə_w	u	1.0
æ	o	1.0
¹³	¹¹	1.0
³³	²⁴	1.0
²¹	⁵⁵	1.0
w_⁴¹	³¹	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
o_¹³	o_²⁴	1.0
nʲ	ɲ	1.0
m	m	1.0
l̃	n	1.0
l	l	1.0
k	k	1.0
j_ɒ	e	1.0
e_j	i	1.0
e	e_t̚	1.0
<#_w	<#	1.0
<#	<#_v	1.0
j	j	0.913
⁴¹	³¹	0.833
i	i	0.733
t	tʰ	0.714
ẽ	e_n	0.714
ɸ	f	0.7
ɒ	o	0.667
z̩	ɨ	0.625
x	h	0.625
p	p	0.625
u	u	0.6
kʰ	kʰ	0.6
<#_ŋ	<#	0.6
²⁴	²	0.56
w	w	0.556
ə	u	0.524
a	a	0.514
ʨ	k	0.5
ɥ	ɲ_j	0.5
ɥ	j	0.5
o	o_k̚	0.5
o	o	0.5
n	ŋ	0.5
a	o	0.486
ɤ	e_t̚	0.444
ʨʰ	ʨʰ	0.429
ɕ	ɕ	0.429
y	u	0.4
y	i	0.4
u	u_t̚	0.4
kʰ	h	0.4
<#_ŋ	<#_ŋ	0.4
z̩	i	0.375
x	f	0.375
p	pʰ	0.375
n	n	0.364
ʦ	ʦ	0.357
ɤ	i	0.333
ɒ	e	0.333
ʨ	kʰ	0.3
ɸ	p	0.3
ʨʰ	ʦʰ	0.286
ʨʰ	h	0.286
ʦ	ʦʰ	0.286
ɕ	s	0.286
ɕ	h	0.286
t	t	0.286
ẽ	n	0.286
²⁴	⁵	0.28
ɤ	a_k̚	0.222
w	v	0.222
w	u_k̚	0.222
ʨ	-	0.2
y	ŋ̍	0.2
ə	j	0.19
ə	e	0.19
⁴¹	²⁴	0.167
²⁴	t̚_²	0.16
ʦ	t	0.143
ʦ	-	0.143
n	m	0.136
i	j	0.133
i	a	0.133
ə	-	0.095
j	-	0.087
ʦ	ʨ	0.071
