Ukrainian	Polish	probability
ˈ_ɦ	ɡ̊	1.0
ˈ	-	1.0
ʧʲ	ʈ͡ʂ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʤ	ʈ͡ʂ	1.0
ʒʲ	ʐ	1.0
ʍ	w	1.0
ʃʲ	ʂ	1.0
ʃ	ʂ	1.0
ɪ_ˈ	ɛ	1.0
ɦʲ	ŋ_ɡ	1.0
ɦ_ɔ	ɡ	1.0
ɦ	ɡ	1.0
ɔ_ˈ	ɛ	1.0
ɔ_ɫ	w	1.0
zʲ	-	1.0
x	x	1.0
u	-	1.0
t_e	ʨ	1.0
t	t	1.0
sʲ	ɕ	1.0
s_ɑ	s_a	1.0
rʲ	ʐ	1.0
p	p	1.0
mʲ	m_j	1.0
m	m	1.0
kʲ	k	1.0
k_ɔ	k	1.0
j	j	1.0
e_ˈ	ɨ	1.0
dʲ	ʥ	1.0
bʲ	b	1.0
b	b	1.0
a	a	1.0
n	n	0.878
k	k	0.864
ʋ	v	0.833
lʲ	l	0.826
ɛ	-	0.8
e_j	ɨ	0.765
ɑ	a	0.747
i	ɛ	0.721
s	s	0.718
w	v	0.693
nʲ	ɲ	0.685
ɪ	ɨ	0.671
ɔ	ɔ	0.658
ɛ_ˈ	ɛ	0.656
tʲ	ʨ	0.656
ʊ	u	0.653
d	d	0.641
ɫ	w	0.634
ʧ	ʈ͡ʂ	0.633
z	z	0.63
ʋʲ	v_j	0.616
r	r	0.605
ɐ	a	0.576
e	-	0.503
e	ɛ	0.497
u_ˈ	u	0.444
i_ˈ	a	0.427
i_ˈ	ɔ	0.416
z	ʑ	0.37
ʧ	ʦ	0.367
d	ʥ	0.359
ʊ	ɔ	0.347
ɛ_ˈ	j_ɛ	0.344
tʲ	ɲ_ʨ	0.344
u_ˈ	ɔ	0.333
ɪ	i	0.329
ɐ	ɛ	0.326
nʲ	n	0.315
w	-	0.307
ɫ	l	0.29
s	ɕ	0.282
r	ʐ	0.236
e_j	i	0.235
u_ˈ	ɔ_w̃	0.222
ʋʲ	v	0.205
ɛ	ɛ	0.2
ɔ	u	0.196
ʋʲ	f_j	0.18
lʲ	-	0.174
ʋ	-	0.167
i	u	0.163
i_ˈ	u	0.157
ɑ	ɛ_w̃	0.138
k	-	0.136
n	ɲ	0.122
ɑ	ɛ	0.115
ɔ	-	0.109
ɐ	-	0.099
r	ʐ̊	0.097
ɫ	d_w	0.076
i	j_a	0.074
r	a_r	0.063
