Bavarian	Bavarian	probability
β	v̥	1.0
ˈoː	-	1.0
ˈoɐ̯_#>	ˈɛː_ʀ_#>	1.0
ˈai̯_s	ˈi_t	1.0
ʦ	t	1.0
ʋ_ˈo	ˈuː	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	ʃ_#>	1.0
ɡ̊_a	ç	1.0
ɡ̊_#>	#>	1.0
ɐ	ʀ	1.0
s_n	z_ə	1.0
n_ˈɑː	n	1.0
n_#>	#>	1.0
l_ˈɑ	l	1.0
l	l	1.0
kʰ_ˈe	k	1.0
kʰ	k	1.0
j_d̥	lʲ	1.0
j_#>	l_#>	1.0
i	i	1.0
h	h	1.0
eɐ̯	ɛi̯	1.0
d̥_r	d_ʀ	1.0
d̥_n	d̥	1.0
b̥_#>	#>	1.0
<#_r	<#_ʀ	1.0
r	ʀ	0.857
m	m	0.826
ˈoɐ̯	ˈiː	0.818
ˈɒː	-	0.8
ʋ	v	0.789
b̥	b	0.783
n_d̥	n	0.727
ˈiɐ̯	ˈiː	0.7
s	s	0.676
f	f	0.636
ə	-	0.625
n	n	0.615
#>	ə_#>	0.615
ˈou̯	ˈyː	0.6
ˈɑ	-	0.571
ŋ	ŋ	0.562
ˈau̯	ˈʏ	0.556
j	l	0.538
ʃ	s	0.533
ˈuɐ̯	ˈœ	0.5
ˈiː	ˈa	0.5
ˈiː	-	0.5
ˈeː	ˈiː	0.5
ˈeː	-	0.5
ˈai̯	ˈi	0.5
ˈa	ˈʊ	0.5
ˈa	ˈuː	0.5
ʃ	ʃ	0.467
x	k	0.467
a	ə_ʀ	0.459
ˈo	-	0.435
ˈɑ	ˈɒː	0.429
ɡ̊	ɡ	0.429
ˈou̯	-	0.4
x	x	0.4
a	ə	0.378
ˈaː	ˈuː	0.375
ˈaː	-	0.375
ə	ə_n	0.375
ˈai̯	-	0.357
ˈu	ˈʊ	0.35
d̥	t	0.34
n	ə	0.308
j	l_ə	0.308
d̥	d	0.302
ˈu	-	0.3
ˈiɐ̯	-	0.3
n_d̥	nʲ	0.273
ˈi	ˈi	0.261
ˈi	-	0.261
ˈuɐ̯	ˈɛ	0.25
ˈuɐ̯	-	0.25
ˈaː	ˈiː	0.25
f	p	0.242
ɡ̊	k	0.238
#>	k_#>	0.231
ˈau̯	ˈœː	0.222
ˈau̯	-	0.222
ˈe	ˈɛː	0.211
ˈe	ˈeː	0.211
ˈe	-	0.211
ˈɒː	ˈɒː	0.2
ˈu	ˈʏ	0.2
s	tʲ	0.189
ŋ	nʲ	0.188
ˈoɐ̯	-	0.182
ˈo	ˈɔ	0.174
ˈo	ˈœ	0.174
ˈi	ˈa	0.174
ˈe	ˈa	0.158
j	lʲ	0.154
#>	nʲ_#>	0.154
d̥	dʲ	0.151
ˈu	ˈœ	0.15
ˈai̯	ˈa	0.143
ɡ̊	-	0.143
r	ˈa_ʀ	0.143
x	ˈɒ_x	0.133
d̥	d̥	0.132
ˈo	ˈɒ	0.13
ˈi	ˈɛ	0.13
b̥	v̥	0.13
ŋ	j_ə	0.125
ŋ	d_ə	0.125
ˈe	ˈɒː	0.105
ˈe	j_ˈa	0.105
ʋ	ˈʊ	0.105
ʋ	v_ˈʊ	0.105
ɡ̊	j_ə	0.095
ɡ̊	j	0.095
ˈo	ˈuː	0.087
ˈi	ˈeː	0.087
ˈi	ˈai̯	0.087
m	v_ə	0.087
m	v	0.087
b̥	-	0.087
s	t	0.081
a	ʀ	0.081
a	-	0.081
n	-	0.077
d̥	-	0.075
f	v̥	0.061
f	v	0.061
s	d	0.054
