Old Chinese	Old Chinese	probability
ʦʰ	ʨʰ_j	1.0
ʔ_s	ʦ	1.0
ʔ_#>	#>	1.0
ʔ	w_²¹⁴	1.0
ɯ_ʔ	u	1.0
ɢʷ	-	1.0
ɢ_u	y	1.0
ɡʷ	x	1.0
ɡ_s	⁵¹	1.0
ɡ_#>	#>	1.0
ŋ_ʔ	ŋ_²¹⁴	1.0
ŋ_s	ŋ_⁵¹	1.0
ŋ	ŋ	1.0
u_ʔ	w_²¹⁴	1.0
tʰ	ʈ͡ʂʰ	1.0
t	ʈ͡ʂ	1.0
sʰ	ʦʰ	1.0
s_#>	#>	1.0
s	-	1.0
r_ɯ	i	1.0
r_a	i	1.0
pʰ	pʰ	1.0
n_ʔ	n_²¹⁴	1.0
n_s	n_⁵¹	1.0
n_i	ʐ	1.0
m_ʔ	n_²¹⁴	1.0
l̥ʰ	tʰ	1.0
lʼ	ʈ͡ʂʰ	1.0
kʰʷ	-	1.0
j	-	1.0
hʷ	-	1.0
d_#>	#>	1.0
aː_ʔ	u_²¹⁴	1.0
a_ʔ	y_²¹⁴	1.0
<#_ŋ	<#	1.0
<#_q	<#	1.0
<#_d	<#	1.0
n	n	0.882
i	-	0.727
l	-	0.714
kʰ	kʰ	0.667
k	ʨ	0.625
ɯː	a	0.6
o	a	0.6
d_s	j_⁵¹	0.6
h	ʂ	0.571
b	pʰ	0.571
<#_m	<#_w	0.571
u	w	0.556
aː	a	0.529
#>	³⁵_#>	0.521
uː	ɑ	0.5
uː	a	0.5
r_aː	j_a	0.5
r_aː	a	0.5
p	p	0.5
p	f	0.5
r	l	0.467
a	ɑ	0.467
oː	ʊ	0.444
ɯ	ə	0.429
h	-	0.429
b	f	0.429
<#_m	<#	0.429
#>	⁵⁵_#>	0.411
o	y	0.4
d_s	⁵¹	0.4
m	n	0.385
m	m	0.385
k	k	0.375
e	ɤ	0.375
e	ɑ	0.375
oː	o	0.333
kʰ	ʨʰ	0.333
d	ʈ͡ʂʰ	0.333
d	t	0.333
d	-	0.333
<#	<#_ʨʰ	0.333
<#	<#_ʈ͡ʂʰ	0.333
<#	<#_w	0.333
eː	i	0.3
eː	a	0.3
ɯ	u	0.286
ɯ	-	0.286
i	o	0.273
ɡ	x	0.263
e	-	0.25
aː	ɑ	0.235
m	-	0.231
u	ʊ	0.222
u	j_o	0.222
oː	w_a	0.222
ɯː	ə	0.2
ɯː	-	0.2
r	w	0.2
r	-	0.2
eː	ɛ	0.2
eː	-	0.2
a	u	0.2
a	-	0.2
ɡ	ʨʰ	0.158
ɡ	-	0.158
l	j	0.143
l	e_j	0.143
r	j	0.133
a	y	0.133
n	-	0.118
aː	w_ɑ	0.118
aː	w	0.118
ɡ	ʨ	0.105
ɡ	w_⁵¹	0.105
ɡ	j_²¹⁴	0.105
ɡ	j	0.105
