Romagnol	Romagnol	probability
θ_ɐ	ʦ_ə	1.0
ˈu_ɡ	ˈɔ_k	1.0
ˈu	ˈu	1.0
ˈeː_t	j	1.0
ˈeə̯_l	ˈa_ɾ	1.0
ˈeə̯_#>	ˈa_#>	1.0
ˈeə̯	ˈa	1.0
ˈe	ˈe	1.0
ˈa	ˈa	1.0
ɐ_n	n	1.0
ŋ	ŋ	1.0
z_#>	ʃ_ə_#>	1.0
w	w	1.0
v_ɐ	w_ə	1.0
v_#>	ə_#>	1.0
u_j	ˈu	1.0
s_#>	sː_ə_#>	1.0
r_#>	#>	1.0
p_j	k_j	1.0
p	p	1.0
o	ə	1.0
n_ð	ɲː	1.0
n_d	nː	1.0
l_ɐ	ə	1.0
k_ˈu	k_ˈu	1.0
j̃	n	1.0
f_j	ʃ	1.0
<#_ʤ	<#_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
#>	ə_#>	0.977
f	f	0.947
ˈɔə̯	ˈɔ	0.895
n	n	0.879
ɲ	ɲː	0.833
ɐ	ə	0.81
k	k	0.8
v	v	0.781
ʧ	kː_j	0.75
ˈi	ˈi	0.714
ð	ʤ	0.714
u	u	0.714
ˈeː	ˈe	0.7
r	ɾ	0.696
θ	ʃ	0.688
ˈɛə̯	j_ˈɛ	0.688
t	t	0.683
ˈʌ̃	ˈa	0.682
m	m	0.68
ˈẽ	ˈi	0.667
s	s	0.667
j	ʎː	0.636
i	i	0.625
ˈou̯	ˈu	0.588
l	l	0.586
ɐ_r	ɾ	0.556
ˈo	ˈu	0.55
z	-	0.5
d	d	0.462
ɐ_r	ə_ɾ	0.444
ˈɔ	w_ˈɔ	0.429
ɡ	ɡ	0.417
ɡ	k	0.417
l	lː	0.414
ˈou̯	ˈo	0.412
z	ʃ	0.375
i	-	0.375
b	b	0.35
d	t	0.346
ˈɛ	ˈi	0.344
ˈõũ̯	ˈu_n	0.333
ˈõũ̯	ˈo_n	0.333
ˈõũ̯	n	0.333
ˈẽ	ˈɛ	0.333
ˈʌ̃	ˈa_n	0.318
t	tː	0.317
ˈɛə̯	ˈɛ	0.312
ˈɛ	ˈe	0.312
ˈo	ˈɔ	0.3
ˈeː	ˈɛ	0.3
b	v	0.3
ˈɔ	ˈu	0.286
ð	ʤː	0.286
ʧ	k_j	0.25
b	-	0.25
m	mː	0.24
s	ʃ	0.233
ˈɛ	ˈɛ	0.219
r	r	0.217
θ	ʦː	0.188
j	j	0.182
j	-	0.182
ɲ	ɲ	0.167
ɡ	-	0.167
ɐ	a	0.167
d	ɾ	0.154
ˈo	ˈo	0.15
ˈɔ	ˈɔ	0.143
ˈɔ	-	0.143
ˈi	ˈɛ	0.143
ˈi	ˈi_ɾ	0.143
u	o	0.143
u	-	0.143
θ	ʃː	0.125
ˈɛ	-	0.125
z	ʧ	0.125
v	p	0.125
k	kː	0.125
ˈɔə̯	-	0.105
s	ʃː	0.1
b	bː	0.1
v	w	0.094
m	m_j	0.08
k	k_w	0.075
n	nː	0.061
n	-	0.061
f	fː	0.053
