Middle High German	Nynorsk Norwegian	probability
ˈɑː	ˈoː	1.0
ˈɑ_x	ˈɔ	1.0
ˈɑ_t	ˈɑː	1.0
ˈøy̯	-	1.0
ˈyə̯	ˈøː	1.0
ˈoː	ˈæʉ̯	1.0
ˈi_x	ˈeː_ɡ	1.0
ʃː	s_k	1.0
ɡ̊	ɡ	1.0
ɡ_ə	e	1.0
ɛ	ˈɛ_tː	1.0
ə_ɡ̊	ŋ	1.0
ə_t	ʉ	1.0
ə_r	ɾ	1.0
ə_n	ɑ	1.0
ɑː	ˈoː	1.0
ɑ	-	1.0
x_t	ʰtː	1.0
w_ˈo	v	1.0
v	f	1.0
tː	-	1.0
t_r	d_ɾ	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	s_e	1.0
rː	ˈʉ_ɾ	1.0
r_n	ɾ_n	1.0
p	p	1.0
oː	ɑ	1.0
ou̯	ˈæʉ̯	1.0
nː	nː	1.0
n_s	sː	1.0
n_d̥	nː	1.0
n_d	nː	1.0
mː	m_j	1.0
m	m	1.0
lː	lː	1.0
l_ˈiə̯	j_ˈʉː	1.0
l_d̥	lː	1.0
kʰ	kʰ	1.0
k	ʰkː	1.0
i	ɑ	1.0
fː	p	1.0
b_ə	ʋ	1.0
r	ɾ	0.954
ˈei̯	ˈæɪ̯	0.897
l	l	0.866
ˈuə̯	ˈuː	0.848
s	s	0.815
ˈiː	ˈiː	0.776
b	b	0.77
ʦ	tʰ	0.757
ˈuː	ˈʉː	0.754
ɡ	ɡ	0.743
kː	ɡː	0.716
h	h	0.687
ˈɑ	ˈɑ	0.677
ˈou̯	ˈæʉ̯	0.672
ŋ	ŋː	0.672
xː	k	0.667
p͡f	p	0.643
n	n	0.638
ʃ	s	0.63
w	ʋ	0.626
d	tʰ	0.617
ˈe	ˈɛ	0.59
ˈy	ˈʏ	0.563
f	p	0.557
ˈiə̯	ˈyː	0.504
ˈyː	ˈyː	0.5
ˈyː	-	0.5
ˈeː	ˈøː	0.5
ˈeː	ˈoː	0.5
ˈi	ˈɪ	0.494
ˈu	ˈʉ	0.483
ˈy	-	0.437
ˈe	-	0.41
t	t	0.409
ə	e	0.38
ʃ	ʂ	0.37
p͡f	pʰ	0.357
f	ʋ	0.353
xː	ç	0.333
ˈou̯	-	0.328
h	-	0.313
ˈɛ	-	0.293
ˈo	ˈʉ	0.292
ˈo	ˈʊ	0.285
kː	-	0.284
w	-	0.28
ˈu	ˈɔ	0.269
ˈiə̯	ˈʉː	0.266
t	-	0.262
d	-	0.262
ˈɛ	ˈɛ	0.259
ɡ	j	0.257
ˈu	-	0.247
ˈuː	-	0.246
ʦ	t	0.243
ə	ə	0.235
ˈiə̯	ˈeː	0.23
b	ʋ	0.23
ˈiː	-	0.224
ˈɛ	j	0.22
ˈɑ	ˈɑː	0.205
ŋ	-	0.2
ə	-	0.199
ˈo	ˈuː	0.19
t	d	0.189
s	ʂ	0.185
ˈi	ˈiː	0.17
ˈɛ	ˈeː	0.168
ˈi	ˈʏ	0.153
ˈuə̯	-	0.152
n	nː	0.143
t	ʰtː	0.141
l	lː	0.134
ŋ	ɲ	0.128
d	d	0.121
ˈo	ˈʉː	0.117
ˈo	ˈɔ	0.117
ˈi	-	0.107
ə	ɑ	0.105
ˈei̯	ˈɛ	0.103
w	kʰ_ʋ	0.094
f	ʰpː	0.09
n	-	0.088
ə	ˈøː	0.082
ˈi	ˈeː	0.076
n	ɑ	0.074
ˈɑ	ˈɛ	0.07
ˈɛ	ˈæ	0.061
n	ˈiː	0.057
