English	American English	probability
b	b	0.943
b	tʰ	0.057
d	d	1.0
f	f	1.0
h	h	1.0
j	j	0.873
j	-	0.127
k	k	1.0
kʰ	kʰ	1.0
l	l	0.943
l	ɫ	0.057
m	m	0.925
m	-	0.075
n	n	1.0
p	p	1.0
pʰ	pʰ	1.0
s	s	0.983
t	ʔ	0.75
t	t	0.185
t	ɾ	0.053
tʰ	tʰ	0.929
tʰ	b	0.071
v	v	1.0
w	w	1.0
z	z	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ə	ɚ	0.876
ə	ə	0.111
əʊ̯	oʊ̯	1.0
ɜː	ˈɝ	1.0
ɡ	ɡ	1.0
ɪ	i	0.598
ɪ	ɪ	0.242
ɪ	ə	0.161
ɫ	ɫ	1.0
ɹ	ɹ	0.967
ʃ	ʃ	1.0
ʤ	ʤ	1.0
ʧ	ʧ	1.0
ˈaɪ̯	ˈaɪ̯	0.708
ˈaɪ̯	ˈʌɪ̯	0.292
ˈaʊ̯	ˈaʊ̯	1.0
ˈe	ˈɛ	1.0
ˈeɪ̯	ˈeɪ̯	1.0
ˈiː	ˈi	0.972
ˈuː	ˈu	1.0
ˈæ	ˈæ	0.904
ˈæ	ˈeɪ̯	0.096
ˈɐ	ˈʌ	1.0
ˈɑː	ˈæ	0.637
ˈɑː	ˈɑ	0.363
ˈɒ	ˈɑ	0.902
ˈɒ	ˈʌ	0.098
ˈɔː	ˈɔ	0.887
ˈɔː	ˈɑ	0.113
ˈəʊ̯	ˈoʊ̯	1.0
ˈɛ	ˈɛ	1.0
ˈɜː	ˈɝ	1.0
ˈɪ	ˈɪ	0.856
ˈɪ	ˈi	0.144
ˈʊ	ˈʊ	1.0
θ	θ	1.0
