Aromanian	Brazilian Portuguese	probability
a	-	0.446
a	a	0.374
a	o	0.105
a	ɐ	0.061
b	b	0.5
b	v	0.289
b	-	0.09
b	m	0.065
b	ɡ	0.056
d	d	0.627
d	h	0.153
d	-	0.143
d	t	0.058
e	j̃	0.379
e	ɐ	0.287
e	w	0.263
e	-	0.071
e̯a	-	0.5
e̯a	ˈe	0.5
e̯ˈa	ˈe	0.533
e̯ˈa	ˈɛ	0.156
e̯ˈa	-	0.104
e̯ˈa	ˈẽ	0.104
e̯ˈa	ˈa	0.102
f	f	0.639
f	-	0.268
f	ʃ	0.055
i	-	0.395
i	i	0.277
i	ɐ	0.098
i	e	0.072
j	v	0.628
j	-	0.171
j	j_ʃ	0.168
k	k	0.442
k	ɡ	0.194
k	p	0.165
k	-	0.09
k	ɡ_u	0.08
l	l	0.586
l	ˈɐ̃	0.163
l	-	0.16
l	w	0.085
m	m	0.673
m	-	0.197
m	ɡ	0.085
n	-	0.337
n	n	0.315
n	j̃	0.138
n	j̃_u	0.079
n	h	0.073
o̯ˈa	ˈɔ	0.323
o̯ˈa	e	0.288
o̯ˈa	ˈo	0.194
o̯ˈa	ˈõ	0.116
p	p	0.501
p	b	0.153
p	j	0.136
p	f	0.065
p	-	0.056
r	-	0.415
r	ɾ	0.338
r	ɦ	0.196
s	s	0.586
s	ʃ	0.396
t	t	0.275
t	d	0.229
t	-	0.188
t	ʧ	0.167
t	w̃	0.08
u	u	0.635
u	o	0.138
u	ˈu	0.052
u	-	0.051
v	v	0.774
v	w	0.226
w	v_u	0.308
w	v	0.195
w	l	0.175
w	u	0.126
w	ˈu	0.119
w	j	0.077
z	-	1.0
ç	f	1.0
ŋ	ˈĩ	0.402
ŋ	-	0.364
ŋ	j̃	0.234
ə	ɐ	0.59
ə	i	0.11
ə	-	0.105
ə	a	0.053
ə	u	0.051
ɡ	ɡ	0.469
ɡ	b	0.31
ɡ	-	0.135
ɡ	ʧ	0.086
ɨ	o	0.584
ɨ	ˈẽ	0.271
ɨ	ˈɐ̃	0.145
ɲ	m	0.676
ɲ	-	0.162
ɲ	j̃	0.162
ʃ	-	0.462
ʃ	s	0.348
ʃ	ʃ	0.114
ʃ	ʒ	0.051
ʎ	-	0.686
ʎ	ʎ	0.161
ʎ	l	0.153
ʣ	ʒ	0.394
ʣ	d	0.366
ʣ	ʤ	0.116
ʣ	-	0.069
ʣ	ʃ	0.055
ʤ	ʒ	0.718
ʤ	-	0.182
ʤ	ɡ	0.1
ʦ	z	0.267
ʦ	-	0.227
ʦ	s	0.188
ʦ	ʒ	0.117
ʦ	k	0.104
ʦ	t	0.089
ʧ	p	0.487
ʧ	s	0.26
ʧ	-	0.253
ˈa	ˈa	0.368
ˈa	ˈɛ	0.203
ˈa	-	0.165
ˈa	a	0.083
ˈa	ˈɐ̃	0.069
ˈa	ˈo	0.068
ˈe	ˈe	0.612
ˈe	ˈɛ	0.305
ˈe	ˈẽ	0.082
ˈi	ˈi	0.264
ˈi	ˈĩ	0.258
ˈi	ˈẽ	0.165
ˈi	-	0.121
ˈi	j	0.063
ˈi	ˈe	0.063
ˈo	ˈo	0.584
ˈo	ˈɔ	0.168
ˈo	ẽ	0.129
ˈo	-	0.056
ˈu	ˈo	0.341
ˈu	ˈu	0.22
ˈu	ˈũ	0.144
ˈu	ˈõ	0.113
ˈu	ˈĩ	0.069
ˈə	ˈi	0.401
ˈə	l	0.335
ˈə	i	0.208
ˈə	w	0.056
ˈɨ	ˈɐ̃	0.814
ˈɨ	-	0.086
ˈɨ	ˈo	0.086
