Logudorese	Logudorese	probability
ˈɛ_ɣ	i	1.0
ˈɛ_n	ɑ̃	1.0
ˈɔ_ɛ	œ_f	1.0
ˈɔ_n	ɔ̃	1.0
ˈu_ɾ	u	1.0
ˈu_t	ɥ	1.0
ˈu_n	w_ɛ̃	1.0
ˈo_ɣ	ø	1.0
ˈo_u	œ_f	1.0
ˈo_n	ɔ̃	1.0
ˈi_n	ɛ̃	1.0
ˈe_ɖː	o	1.0
ˈa_ɾ	e	1.0
ˈa_ɣ	ɛ	1.0
ˈa_ð	e	1.0
ˈa_t	ɛ	1.0
ˈa_n	ɛ̃	1.0
ʣ_a	j	1.0
ʃ	-	1.0
ɾ_ˈi	ʁ_i	1.0
ɾ_t	ʁ	1.0
ɲ	ɲ	1.0
ɣ_ɛ	a	1.0
ɣ	-	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ɔ_n	ɔ̃	1.0
ŋ	ɔ̃	1.0
ð	-	1.0
z	-	1.0
ŭ	-	1.0
u_z_ŭ_#>	#>	1.0
u_z	ø	1.0
u_#>	#>	1.0
t_ɛ_#>	#>	1.0
s_t	t	1.0
s_p	p	1.0
r	ʁ	1.0
n_t	ɑ̃	1.0
n_a	n	1.0
m_i	m	1.0
k_ˈa	ʃ	1.0
k_ɾ	k_l	1.0
k_a	ʃ	1.0
j_z	u	1.0
i_ɾ	ɛ_ʁ	1.0
i_m	m	1.0
i	-	1.0
f	f	1.0
e	-	1.0
b_e	ʒ	1.0
<#_ˈa	<#_a	1.0
<#_ʣ	<#_ʒ	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
a_#>	#>	0.955
ɾ	ʁ	0.846
l	l	0.842
p	p	0.828
m	m	0.821
<#_i	<#_e	0.778
s	s	0.767
ʦ	s	0.714
ʣ	-	0.714
a	a	0.706
ɛ_ɾ	ʁ	0.684
ˈo	ɔ	0.667
d	d	0.667
t	t	0.647
j	-	0.625
ɛ	ə	0.6
nː	n	0.6
ɔ	-	0.571
ˈi	i	0.514
β	v	0.5
β	-	0.5
ˈe	-	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
j_u	ʒ	0.5
j_u	j	0.5
ˈa	ɛ	0.462
k	k	0.459
b	v	0.452
ˈu	y	0.44
ɔ	ɔ	0.429
b	b	0.405
ɛ	-	0.4
nː	d	0.4
n	-	0.385
ˈɛ	ɛ	0.375
j	l	0.375
ˈɔ	ɔ	0.36
t	-	0.353
ˈo	u	0.333
ˈu	u	0.32
k	ʃ	0.297
ʦ	-	0.286
ʣ	s	0.286
u	u	0.273
u	i	0.273
u	-	0.273
ˈa	a	0.269
ˈɛ	w	0.25
ˈɔ	œ	0.24
ˈɔ	-	0.24
n	ɛ̃	0.231
n	n	0.231
<#_i	<#	0.222
ˈi	ɛ	0.216
ˈe	ɛ	0.214
ɛ_ɾ	a_ʁ	0.211
ˈɛ	j	0.208
d	-	0.2
ˈa	o	0.192
ˈi	w	0.189
u	a	0.182
m	-	0.179
a	-	0.176
p	-	0.172
s	-	0.167
ˈu	-	0.16
l	-	0.158
n	ɑ̃	0.154
ˈe	ɑ̃	0.143
ˈe	j_ɛ	0.143
k	s	0.135
d	ʒ	0.133
a	ɑ̃	0.118
k	-	0.108
ɛ_ɾ	i_ʁ	0.105
ɾ	l	0.096
b	ʒ	0.095
ˈɛ	i	0.083
ˈɛ	-	0.083
ˈi	w_a	0.081
ˈɔ	ɔ̃	0.08
ˈɔ	u	0.08
ˈu	w	0.08
ˈa	e	0.077
s	o	0.067
ɾ	-	0.058
