Gothic	Yiddish	probability
a	-	0.573
a	ə	0.425
aː	-	1.0
b	b	0.983
d	t	0.656
d	d	0.244
d	-	0.1
e	ə	1.0
f	f	0.969
h	h	0.607
h	χ	0.201
h	-	0.089
h	k	0.055
i	-	1.0
iː	-	1.0
j	-	0.361
j	ʀ	0.342
j	j	0.212
j	ˈaɪ̯	0.085
k	χ	0.414
k	k	0.299
k	-	0.287
kʷ	f	0.5
kʷ	k	0.5
l	l	1.0
lː	l	1.0
m	m	0.868
m	-	0.092
n	n	0.928
n	-	0.072
nː	ʧ	0.574
nː	n	0.426
oː	ɛ	0.279
oː	ˈɔɪ̯	0.279
oː	ə	0.224
oː	-	0.201
p	f	0.851
p	p	0.149
r	ʀ	0.965
s	-	0.697
s	z	0.169
s	ʃ	0.108
t	s	0.41
t	ʦ	0.31
t	t	0.248
u	-	1.0
w	v	0.984
x	ɡ	0.657
x	k	0.343
z	-	0.657
z	ʃ	0.343
ð	t	0.928
ð	-	0.072
ŋ	ŋ	0.897
ŋ	-	0.072
ɔː	-	1.0
ɡ	ɡ	0.902
ɡ	-	0.098
ɡʷ	ɡ	1.0
ɣ	ɡ	0.752
ɣ	k	0.248
ʍ	v	0.51
ʍ	-	0.49
ˈa	ˈa	0.605
ˈa	ˈɔ	0.168
ˈa	ˈɛ	0.151
ˈa	ˈɛɪ̯	0.058
ˈeː	ˈɔ	1.0
ˈi	ˈɪ	0.627
ˈi	ˈɛ	0.142
ˈi	-	0.12
ˈi	ˈʊ	0.062
ˈiu̯	ˈaɪ̯	0.662
ˈiu̯	ˈɪ	0.24
ˈiu̯	ˈɔɪ̯	0.099
ˈiː	ˈaɪ̯	1.0
ˈoː	ˈʊ	0.924
ˈoː	ˈaɪ̯	0.076
ˈu	ˈʊ	0.601
ˈu	ˈɔ	0.191
ˈu	ˈɛ	0.088
ˈu	ˈɔɪ̯	0.087
ˈuː	ˈɔɪ̯	0.485
ˈuː	ˈʊ	0.296
ˈuː	-	0.219
ˈɔ	ˈɔ	0.877
ˈɔ	ˈɔɪ̯	0.123
ˈɔː	ˈɔɪ̯	0.488
ˈɔː	ˈa	0.196
ˈɔː	ˈɛɪ̯	0.125
ˈɔː	ˈɔ	0.109
ˈɔː	ˈɛ	0.082
ˈɛ	ˈɛ	0.705
ˈɛ	ˈa	0.295
ˈɛː	ˈɛɪ̯	0.849
ˈɛː	ˈɛ	0.105
β	b	0.927
β	p	0.073
θ	d	0.489
θ	t	0.361
θ	-	0.15
