Romanian	Romanian	probability
ˈo_w	ˈɔ_i	1.0
ˈa_r	ˈa	1.0
ʧʲ	-	1.0
ʦʲ	ɔ_z	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʃ_t	ʃ	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	d	1.0
w	u	1.0
v	b	1.0
r_n	r	1.0
r_#>	l_u_#>	1.0
p_t	t	1.0
p_r	β	1.0
o	-	1.0
nʲ	ɔ_z	1.0
n_j	ɲ	1.0
n_#>	n_u_#>	1.0
m_n	n_ʤ	1.0
kʲ	ɣ_u	1.0
k_ə	k_a	1.0
k_#>	ɣ_u_#>	1.0
j_ˈe	ˈe	1.0
j_ˈa	ˈɛ	1.0
j_n	n	1.0
j_#>	ŭ_#>	1.0
f	f	1.0
e̯ˈa_r	ˈɛ_ɾ	1.0
e_d	ˈɛ	1.0
e_#>	#>	1.0
a_r	a_ɾ	1.0
a	a	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_k	1.0
<#_z	<#	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
s	s	0.909
ˈa	ˈa	0.88
o̯ˈa	ˈɔ	0.867
p	p	0.857
b	b	0.857
m	m	0.842
e	i	0.81
ˈɨ	ˈa	0.8
n	n	0.784
j	-	0.778
k	k	0.741
ə	a	0.733
ʃ	s	0.714
i	i	0.714
<#_r	<#_a_r	0.714
ˈi	ˈi	0.667
s_#>	s_u_#>	0.667
ˈu	ˈu	0.636
t	t	0.606
e̯ˈa	ˈi	0.6
d	d	0.6
r	ɾ	0.588
#>	u_#>	0.571
ˈo	ˈo	0.524
ʦ	ʦ	0.5
ʦ	ʒ	0.5
u	u	0.474
ʧ	ʧ	0.467
l	ɾ	0.462
e_r	ɾ	0.455
e̯ˈa	ˈa	0.4
d	-	0.4
ˈe	ˈɛ	0.37
e_r	i_ɾ	0.364
ˈe	ˈi	0.333
ʧ	ʒ	0.333
s_#>	z_u_#>	0.333
l	ɖː	0.308
ʃ	ʒ	0.286
i	a	0.286
<#_r	<#	0.286
t	ð	0.273
u	ɔ	0.263
ˈo	ˈu	0.238
#>	i_#>	0.238
l	-	0.231
j	ɾ	0.222
r	-	0.216
ˈɨ	ˈɛ	0.2
ˈi	ˈɛ	0.2
ʧ	-	0.2
ˈe	ˈe	0.185
e_r	i	0.182
n	nː	0.162
u	o	0.158
m	-	0.158
ə	u	0.156
ˈo	ˈɔ	0.143
b	β	0.143
o̯ˈa	-	0.133
ˈu	ˈɔ	0.121
ˈu	ˈo	0.121
ˈa	ˈɛ	0.12
#>	a_#>	0.119
ˈe	-	0.111
ə	-	0.111
k	-	0.111
u	-	0.105
r	l	0.098
ˈo	ˈɔ_z	0.095
s	z	0.091
e	a	0.089
k	ɣ	0.074
k	k_ɾ	0.074
p	p_ɾ	0.071
p	k_w	0.071
#>	u_z_ŭ_#>	0.071
ˈi	ˈi_ɭː	0.067
ˈi	ˈe	0.067
ˈu	ɾ_ˈu	0.061
ˈu	-	0.061
t	b	0.061
t	-	0.061
r	r	0.059
n	u	0.054
