Belarusian	Lower Sorbian	probability
ˈɛ	ˈɛ	1.0
ˈæ	ˈɪ	1.0
ˈu	ˈu	1.0
ˈo_#>	ɔ_#>	1.0
ˈe_sʲ	ˈa_s	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʐ	ʐ	1.0
ʂ	ʂ	1.0
ɫ_a	ˈɔ	1.0
ɨ	ɨ	1.0
ɣ	ɡ	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
vʲ	vʲ	1.0
v	v	1.0
u	ˈu	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
lʲ_#>	l_#>	1.0
lʲ	l	1.0
kʲ	kʲ	1.0
k	k	1.0
j	j	1.0
e	e	1.0
d	d	1.0
bʲ	bʲ	1.0
b	b	1.0
a_ʦʲ	ɕ	1.0
a_#>	ɔ_#>	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_p	<#	1.0
ɫ	w	0.846
ʦʲ	ɕ	0.789
ˈɨ	ˈɨ	0.714
ˈe	ˈɪ	0.714
ʣʲ	ʑ	0.714
ˈa	a	0.688
ˈi	ˈi	0.667
x	k	0.667
i	i	0.667
ˈɵ	ˈa	0.6
ˈo	ˈɔ	0.581
r	r	0.52
ʌ	w	0.5
ʌ	l	0.5
w	w	0.5
w	j	0.5
ˈɵ	ˈɔ	0.4
æ	ˈe	0.364
ˈi	i	0.333
x	x	0.333
i	-	0.333
ˈa	ˈa	0.312
ˈɨ	ɨ	0.286
ˈe	ˈe	0.286
ʣʲ	d	0.286
r	rʲ	0.28
æ	ˈɪ	0.273
a	ˈɛ	0.217
a	a	0.217
ˈo	ˈɛ	0.194
æ	ɛ	0.182
æ	e	0.182
a	ˈɔ	0.174
a	ˈa	0.174
ɫ	-	0.154
a	-	0.13
r	ʂ	0.12
ʦʲ	ʨ	0.105
ʦʲ	t	0.105
ˈo	w	0.097
a	ɛ	0.087
r	ɕ	0.08
ˈo	ˈa	0.065
ˈo	-	0.065
