Standard German	Standard German	probability
ˈɛː	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈeː_ə	ˈoː	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈaʊ̯_f	ʰpː	1.0
ʦ_v	tʰ	1.0
ɪ	-	1.0
ɡ̊_#>	ɡ_#>	1.0
ɡ_ʁ	ɡ_ɾ	1.0
ə_n	ɑ	1.0
ə_#>	#>	1.0
ɐ_n	ɾ_n	1.0
ɐ_#>	#>	1.0
ŋ_k	ʰkː	1.0
ç_t	ʰtː	1.0
ç_#>	ɡ_#>	1.0
z̥_#>	s_#>	1.0
v_ˈɔ	ˈʉ	1.0
tʰ	d	1.0
t_#>	#>	1.0
s_t	s_t	1.0
p͡f	pʰ	1.0
n_z̥	sː	1.0
n_d̥_#>	nː_#>	1.0
n_d	nː	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	e	1.0
d̥_#>	#>	1.0
d_ʁ	tʰ_ɾ	1.0
b_n	ʋ_ɑ	1.0
a	ɑ	1.0
<#_ˈaɪ̯	<#_ˈæɪ̯	1.0
<#_ʁ	<#_ɾ	1.0
<#_v	<#	1.0
<#_tʰ	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
ɐ	ɾ	0.947
m	m	0.926
ʁ	ɾ	0.882
ŋ	ŋː	0.875
b	b	0.808
s	t	0.789
z	s	0.773
kʰ	kʰ	0.769
ˈʏ	ˈʏ	0.75
ɡ	ɡ	0.75
l	l	0.75
v	ʋ	0.727
<#_l	<#_l	0.727
ˈa	ˈɑ	0.704
f	f	0.704
ç	k	0.7
ˈuː	ˈuː	0.692
k	ɡː	0.667
b̥_#>	ʋ_#>	0.667
ə	e	0.636
<#_ˈa	<#_ˈɑ	0.6
ˈɛ	ˈɛ	0.588
ˈʊ	ˈʉ	0.583
ˈɔʏ̯	-	0.556
ˈaʊ̯	ˈʉː	0.556
ʦ	tʰ	0.538
ʃ	s	0.52
ˈɪ	ˈɪ	0.462
ˈoː	ˈæʉ̯	0.455
ˈɔʏ̯	ˈyː	0.444
ˈaː	ˈɑː	0.444
d	tʰ	0.444
ˈyː	ˈøː	0.429
ˈyː	-	0.429
x	k	0.429
ˈaɪ̯	ˈæɪ̯	0.4
ˈaɪ̯	ˈiː	0.4
<#_ˈa	<#	0.4
ˈaː	ˈoː	0.389
n	ɑ	0.381
n	n	0.365
ˈoː	-	0.364
ˈiː	ˈʉː	0.353
ˈeː	ˈeː	0.333
k	-	0.333
b̥_#>	#>	0.333
t	-	0.316
ˈɔ	ˈʊ	0.308
ʦ	-	0.308
ç	-	0.3
ˈiː	ˈyː	0.294
x	ˈɔ	0.286
x	-	0.286
ʃ	ʂ	0.28
<#_l	<#_j	0.273
t	t	0.263
ˈʏ	-	0.25
ˈʊ	ˈɔ	0.25
ɡ	j	0.25
l	lː	0.25
ˈɛ	-	0.235
ˈɔ	-	0.231
kʰ	ç	0.231
z	ʂ	0.227
ˈeː	ˈæː	0.222
ˈeː	ˈoː	0.222
ˈeː	-	0.222
ˈaʊ̯	ˈæʉ̯	0.222
d	d	0.222
ʃ	s_k	0.2
ˈɪ	-	0.192
ˈoː	ˈɔ	0.182
ˈiː	ˈiː	0.176
ˈiː	ˈeː	0.176
ˈʊ	-	0.167
ˈaː	ˈɑ	0.167
ˈaʊ̯	-	0.167
t	ʰtː	0.158
t	d	0.158
ˈɔ	ˈʉ	0.154
ˈɔ	ˈɔ	0.154
ˈɔ	ˈuː	0.154
ˈuː	ˈʉː	0.154
ˈuː	ˈøː	0.154
ʦ	tː	0.154
ˈa	ˈɑː	0.148
f	ʋ	0.148
f	p	0.148
ˈyː	ɪ	0.143
n	nː	0.143
ə	ə	0.136
ə	ɑ	0.136
v	kʰ_ʋ	0.136
ŋ	ɲ	0.125
ˈaɪ̯	ˈɛ	0.12
ˈɛ	ˈeː	0.118
ʁ	-	0.118
ˈɪ	ˈʏ	0.115
ˈɪ	ˈiː	0.115
ˈɪ	ˈeː	0.115
b	-	0.115
d	ç	0.111
d	d_e	0.111
d	-	0.111
t	s	0.105
s	s	0.105
s	-	0.105
ə	j	0.091
v	-	0.091
ˈaɪ̯	-	0.08
b	ʋ_e	0.077
ˈa	ˈoː	0.074
ˈa	-	0.074
m	mː	0.074
ˈɛ	ˈæ	0.059
ˈaʊ̯	jː	0.056
ɐ	n	0.053
