Emilian	Emilian	probability
ˈɛ_t	ˈi_t	1.0
ˈɛ_d	ˈa_ɾ	1.0
ˈɛ_#>	ˈa_t_#>	1.0
ˈo_ŋ	ˈu	1.0
ˈi	ˈi	1.0
ˈe_ŋ_#>	ˈi_#>	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ˈa_j	ˈæ	1.0
ˈa_d	ˈæ_w	1.0
ʧ	ʎ	1.0
ʤ	ɡ_l	1.0
ɡ_#>	k_#>	1.0
ŋ_#>	#>	1.0
w	w	1.0
v_e	w_ɾ	1.0
t_r	t_ɾ	1.0
t_m	mː	1.0
s_#>	ʃ_#>	1.0
o	-	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
f	f	1.0
e_r	e	1.0
e_n_#>	n_#>	1.0
d_#>	#>	1.0
a_r	e_r	1.0
a_d	a_ð	1.0
<#_ˈɔː	<#_ˈɒ	1.0
<#_ʧ	<#_k_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
k	k	0.944
p	p	0.926
t	t	0.921
m	m	0.92
θ	s	0.882
ˈaː	ˈa	0.857
n	n	0.857
ˈɔː	ˈɒ	0.812
v	v	0.808
ˈe	ˈi	0.786
ɲ	ɲ	0.778
s	s	0.73
ð	ʤ	0.714
v_#>	w_#>	0.714
i	i	0.714
b	b	0.714
ˈʌu̯	ˈo	0.7
ˈæ	ˈe	0.667
u	o	0.667
ˈuː	ˈu	0.636
ˈiː	ˈi	0.615
ˈɛ	ˈa	0.6
ŋ	n	0.6
r	r	0.596
ˈɔ	ˈɒ	0.583
d	d	0.565
ˈʌ	ˈo	0.545
e	ɾ	0.545
l	ʎ	0.538
ˈo	ˈu	0.5
ɡ	ɡ	0.5
l	l	0.462
ˈɛː	ˈe	0.429
ˈa	ˈa	0.429
z	w	0.417
#>	s_#>	0.4
ɡ	ɣ	0.389
ˈa	ˈæ	0.381
a	ɐ	0.375
ˈuː	ˈɒ	0.364
j	l	0.353
j	-	0.353
ˈæ	ˈæ	0.333
#>	ɐ_#>	0.333
ˈʌu̯	ˈæ	0.3
ˈɛː	ˈæ	0.286
ˈɛː	-	0.286
ð	-	0.286
v_#>	#>	0.286
i	e	0.286
b	-	0.286
ŋ	ŋ	0.28
ˈʌ	ˈɒ	0.273
e	e	0.273
#>	w_#>	0.267
d	ð	0.261
ˈɔ	ˈo	0.25
z	-	0.25
ˈɛ	ˈe	0.24
j	ʎ	0.235
ˈiː	ˈæ	0.231
ɲ	n	0.222
a	ɜ	0.222
s	e_s	0.216
ˈo	ˈo	0.214
ˈe	-	0.214
r	ɾ	0.213
a	a	0.208
u	u	0.2
a	ɞ	0.194
v	β	0.192
ˈɔː	-	0.188
ˈʌ	-	0.182
d	t	0.174
ˈɔ	ˈi	0.167
z	s_e	0.167
z	s	0.167
ˈiː	ɾ	0.154
ˈo	ˈɒ	0.143
ˈo	-	0.143
ˈaː	ˈe	0.143
n	ɲ	0.143
u	e	0.133
ŋ	-	0.12
θ	-	0.118
ɡ	k	0.111
ˈa	ˈe_j	0.095
ˈa	ˈe	0.095
e	ˈi	0.091
e	-	0.091
ˈɛ	ˈæ	0.08
m	m_i	0.08
t	ð	0.079
r	e	0.079
p	-	0.074
r	ɜ	0.067
j	ɫː	0.059
k	-	0.056
s	ʃ	0.054
