Saterland Frisian	Scots	probability
ˈʊ_l	ˈuː	1.0
ˈɛ_r	ˈɔɪ̯	1.0
ˈœː	ˈi	1.0
ˈøː	ˈu	1.0
ˈyː	ˈi	1.0
ˈu	-	1.0
ˈoːu̯_n	ˈɑː_n	1.0
ˈoːu̯_l	ˈʌu̯	1.0
ˈoːu̯_d	ˈo_r	1.0
ˈoː_ɣ	ˈiː	1.0
ˈiːu̯	ˈɪ	1.0
ˈi_k	ˈaː	1.0
ˈaːi̯	-	1.0
ɣ̥	ç	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
w	v	1.0
t_ə	t	1.0
s_ˈuː	s_ˈɪ	1.0
s_k	ʃ	1.0
r_t	r	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l_j	l	1.0
k_ˈoːu̯	ˈøː	1.0
k_ə	k	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈoː	ˈiː	1.0
j	-	1.0
i	i	1.0
h	h	1.0
f	f	1.0
b	b	1.0
l	l	0.932
s	s	0.927
n	n	0.903
ˈɪ	ˈɪ	0.857
t	t	0.801
k	k	0.794
d	d	0.781
ˈʊ	ˈʌ	0.772
ˈɔ	ˈa	0.758
v	w	0.724
ɪ	i	0.667
ˈoːu̯	ˈø	0.642
ˈaː	ˈɛ	0.611
z	z	0.6
ə	-	0.579
x	ç	0.55
ˈa	-	0.547
ɣ	-	0.547
ˈɛɪ̯	ˈi	0.531
ˈeː	ˈe	0.53
ˈi	ˈəi̯	0.459
ˈɛː	ˈɪ	0.455
ˈa	ˈɛ	0.453
ɣ	ɡ	0.453
x	x	0.45
ˈɛ	ˈɛ	0.429
ə	ə	0.421
z	-	0.4
ˈɛː	-	0.389
ˈaː	ˈɑː	0.389
ˈoːu̯	-	0.358
ˈuː	ˈu	0.334
ɪ	e	0.333
ˈi	ˈiː	0.32
ˈoː	ˈi	0.314
ˈiː	ˈɪ	0.29
ˈɛɪ̯	r	0.289
ˈɛ	ˈɪ	0.286
ˈɛ	ˈa	0.286
ˈɔː	ˈeː	0.268
ˈuː	-	0.253
ˈɔ	ˈo	0.242
ˈiː	ˈiː	0.233
ˈʊ	ˈɪ	0.228
ˈoː	-	0.212
v	-	0.207
ˈeː	ˈiː	0.201
ˈɔː	ˈa	0.19
k	-	0.178
ˈɔː	-	0.177
ˈiː	-	0.171
ˈoː	ˈeː	0.165
t	tʰ	0.158
ˈɛː	ˈɛ	0.156
ˈuː	ˈɪ_ð	0.155
ˈiː	ˈeː	0.144
ˈɪ	-	0.143
ˈɔː	ˈe	0.139
ˈɔː	ˈo	0.133
ˈuː	ˈɪ	0.13
ˈoː	ˈe	0.125
ˈi	ˈi	0.122
ˈeː	ˈɛ	0.115
d	θ	0.115
ˈoː	ˈɑː	0.103
ˈi	ˈɛː	0.099
n	-	0.097
ˈɛɪ̯	-	0.095
ˈɔː	ˈɪ	0.093
ˈɛɪ̯	ˈiː	0.085
ˈoː	ˈiː	0.082
ˈuː	ˈʌ	0.081
ˈeː	ˈɑː	0.078
ˈeː	ˈa	0.077
d	-	0.072
v	ʍ	0.068
l	-	0.068
ˈiː	ˈəi̯	0.065
ˈiː	ˈi	0.065
