Pennsylvania German	Saterland Frisian	probability
#>	#>	0.829
#>	ə_#>	0.117
<#	<#	1.0
<#_d	<#	1.0
b	b	1.0
d	d	0.696
d	t	0.304
d_ɑ	r	1.0
f	f	0.647
f	p	0.202
f	f_j	0.062
h	h	0.986
j	j	0.768
j	n	0.18
k	k	0.535
k	x	0.245
k	ɣ	0.192
k_#>	#>	0.508
kʰ	k	0.713
kʰ	s	0.233
l	l	0.966
m	m	0.989
n	n	0.934
n	-	0.068
n_s	s	1.0
p	p	0.466
p	f	0.241
p	x	0.122
p	-	0.09
p͡f	p	0.508
s	s	0.49
s	t	0.382
s	z	0.119
t	d	0.508
t	t	0.463
v	v	0.394
v	b	0.168
v	ɣ	0.168
v	w	0.122
v	-	0.117
x	x	0.627
x	k	0.369
ç	x	0.566
ç	k	0.322
ç	t	0.065
ç	-	0.055
ŋ	ŋ	1.0
ɑ	ə_r	0.452
ɑ	r	0.441
ɑ	-	0.061
ɑ_t	d	1.0
ə	ə	0.694
ə	-	0.178
ə	j_ə	0.091
ɡ	ɣ	0.626
ɡ	j	0.271
ɡ	ɡ	0.098
ɣ	-	0.488
ɣ	ɣ	0.488
ɪ	ɪ	0.409
ɪ	-	0.377
ɪ	ə	0.195
ɾ	r	0.943
ʃ	s	0.772
ʃ	s_k	0.225
ʋ	v	0.883
ʋ	-	0.058
ʋ	w	0.058
ʦ	t	0.894
ʦ	d	0.099
ˈa	ˈɔː	0.251
ˈa	ˈoːu̯	0.225
ˈa	ˈaː	0.091
ˈa	ˈoː	0.091
ˈa	ˈa	0.075
ˈa	ˈɛ	0.066
ˈa	ˈɪ	0.066
ˈaɪ̯	ˈi	0.226
ˈaɪ̯	ˈɛɪ̯	0.176
ˈaɪ̯	ˈuː	0.162
ˈaɪ̯	ˈiː	0.153
ˈaɪ̯	ˈyː	0.096
ˈaɪ̯	j_ˈuː	0.086
ˈaɪ̯	ˈɪ	0.056
ˈaʊ̯	ˈuː	0.667
ˈaʊ̯	ˈoː	0.162
ˈaʊ̯	ˈɛɪ̯	0.117
ˈaː	ˈoːu̯	0.254
ˈaː	ˈiː	0.168
ˈaː	ˈɔː	0.168
ˈaː	-	0.117
ˈaː	ˈɛː	0.089
ˈaː	ˈʊ	0.085
ˈaː	ˈɔ	0.066
ˈeː	ˈeː	0.616
ˈeː	ˈoː	0.146
ˈeː	ˈœː	0.066
ˈeː	ˈɛɪ̯	0.058
ˈeː	ˈaː	0.057
ˈeː	ˈaːi̯	0.057
ˈiː	ˈɛɪ̯	0.395
ˈiː	j_ˈoː	0.15
ˈiː	ˈiː	0.118
ˈiː	-	0.099
ˈiː	a	0.099
ˈiː	ˈaːu̯	0.099
ˈoː	ˈoː	0.505
ˈoː	ˈɛɪ̯	0.2
ˈoː	ˈɔː	0.085
ˈoː	ˈɛ	0.085
ˈoː	ˈoːu̯	0.072
ˈoː	ˈuː	0.056
ˈuː	ˈoːu̯	0.568
ˈuː	ˈuː	0.228
ˈuː	ˈu	0.173
ˈɔ	ˈoːu̯	0.306
ˈɔ	ˈʊ	0.289
ˈɔ	ˈɔ	0.232
ˈɔ	ˈuː	0.113
ˈɔɪ̯	ˈɔːɪ̯	0.508
ˈɔː	ˈoː	0.463
ˈɔː	ˈiː	0.126
ˈɔː	ˈɔː	0.126
ˈɔː	ˈeː	0.073
ˈɔː	ˈɛː	0.073
ˈɔː	ˈɛ	0.062
ˈɔː	ˈaːu̯	0.055
ˈɛ	ˈʊ	0.159
ˈɛ	ˈi	0.15
ˈɛ	ˈeː	0.142
ˈɛ	ˈeːu̯	0.091
ˈɛ	ˈɛː	0.091
ˈɛ	ˈɛ	0.076
ˈɛ	ˈɛɪ̯	0.075
ˈɛ	ˈɔ	0.073
ˈɛ	ˈɔː	0.062
ˈɛ	ˈiːu̯	0.06
ˈɛː	ˈiː	0.304
ˈɛː	ˈaː	0.129
ˈɛː	ˈoː	0.129
ˈɛː	ˈɔː	0.129
ˈɛː	ˈɛ	0.094
ˈɛː	ˈɛɪ̯	0.072
ˈɛː	ˈɛː	0.072
ˈɛː	-	0.06
ˈɪ	ˈɪ	0.398
ˈɪ	ˈiː	0.132
ˈɪ	ˈɛː	0.112
ˈɪ	j_ˈʊ	0.072
ˈɪ	ˈi	0.063
ˈʊ	ˈuː	0.345
ˈʊ	ˈʊ	0.333
ˈʊ	ˈoːu̯	0.091
ˈʊ	ˈu	0.074
ˈʊ	ˈɔ	0.06
ˈʊ	ˈɔː	0.06
